orcid,orcidFam,orcidGiven,eraCreator,resource
0000-0001-9492-0171,Peers,Danielle,"Peers, Danielle",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/95/93/tv/42/9593tv42t
0000-0003-0706-2792,El Gendy,Mohamed,"El Gendy, Mohamed, A M",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f7/62/3d/21/f7623d21k
0000-0002-1084-2039,Guo,Danny,"Guo, Danny",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/js/95/6g/74/js956g74g
0000-0003-2094-7835,Majumder,Kaustav,"Majumder, Kaustav",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7s/75/dg/14/7s75dg14j
,Majumder,Kaustav,"Majumder, Kaustav",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vh/53/ww/92/vh53ww92d
0000-0001-7072-3659,Afshar,Amir,"Afshar, Amir",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/46/55/g6/cs4655g604
0000-0002-8696-3232,Avey,Marc,"Avey, Marc",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/8p/58/pd/74/8p58pd740
0000-0001-7392-0287,Kwak,Jin-Hyeob ,"Kwak, Jin-Hyeob",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/8c/97/kt/56/8c97kt56p
0000-0002-3480-7502,Shi,Dawei,"Shi, Dawei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/08/61/2p/63/08612p632
0000-0002-5701-4855,Mahoutian,Mehrdad,"Mahoutian, Mehrdad",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/n5/83/xw/00/n583xw008
0000-0002-0794-8561,Chen,Minjie,"Chen, Minjie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/kw/52/j9/20/kw52j9208
0000-0003-1386-8274,Zhan,Yang,"Zhan, Yang",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0v/83/81/03/0v838103c
0000-0003-3406-8057,Lin,Mu,"Lin, Mu",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/tt/44/pn/84/tt44pn84v
,Lin,Mu,"Lin, Mu",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/s7/52/6c/67/s7526c67r
0000-0003-3332-3984,Yousefi,Nima,"Yousefi, Nima",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9w/03/25/79/9w0325792
0000-0001-9483-6949,Panahifar,Arash,"Panahifar, Arash",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/79/40/7z/15/79407z15w
0000-0001-5643-3014,Wang,Hui,"Wang, Hui",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7p/88/cg/94/7p88cg94m
,Wang,Hui,"Wang, Hui",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/kk/91/fk/90/kk91fk90r
,Wang,Hui,"Wang, Hui",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cj/82/k8/95/cj82k895q
0000-0001-7236-6923,Eslami,Mohsen,"Eslami, Mohsen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c5/42/5k/98/c5425k9805
0000-0001-5075-6357,Vajdi Hokmabad,Babak,"Vajdi Hokmabad, Babak",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g4/45/ch/13/g445ch13x
0000-0002-5312-9356,Pinzon,Jaime,"Pinzon, Jaime",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/d7/91/sg/40/d791sg40s
0000-0002-9587-563X,Burns,Michael,"Burns, Michael",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f7/62/3d/43/f7623d43m
0000-0002-1365-4981,Habkirk,Scott,"Habkirk, Scott",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vt/15/0j/73/vt150j734
0000-0003-1635-2783,Tang,Wei,"Tang, Wei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/28/01/pk/11/2801pk117
0000-0002-6142-6713,Kim,Hojeong,"Kim, Hojeong",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fq/97/7w/12/fq977w125
0000-0002-8988-0731,Shen,Chen,"Shen, Chen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/65/37/13/c765371390
0000-0002-0421-3754,Yang,Bo,"Yang, Bo",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7h/14/9q/04/7h149q04x
0000-0002-5443-8716,Gunda,Naga Siva Kumar,"Gunda, Naga Siva Kumar",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/s7/52/6g/05/s7526g05c
0000-0002-5702-9256,Roy,Birbickram,"Roy, Birbickram",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w0/89/2d/70/w0892d70g
0000-0002-0336-9271,Li,Meng,"Li, Meng",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5x/21/tj/21/5x21tj21k
0000-0001-9260-532X,Moldez,Marlon ,"Moldez, Marlon",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1n/79/h5/02/1n79h502g
0000-0001-8351-6034,Liu,Qi,"Liu, Qi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cb/r8/6b/35/cbr86b3584
0000-0001-9853-0832,Zhang,Yanfei,"Zhang, Yanfei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/98/80/vt/60/9880vt60d
0000-0002-3996-2560,Gangadharan,Aditya,"Gangadharan, Aditya",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/51/38/jh/47/5138jh47d
0000-0001-8668-6012,Davies,Joshua,"Davies, Joshua",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/31/97/xm/40/3197xm40d
,Davies,Joshua,"Davies, Joshua",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/tq/57/ns/67/tq57ns675
0000-0001-5943-9454,Sapkota,Yadav,"Sapkota, Yadav",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/k3/56/95/03/k3569503j
0000-0002-9325-7571,Danaie,Mohsen,"Danaie, Mohsen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/x0/59/c8/28/x059c828x
0000-0003-1623-0102,Luber,Erik,"Luber, Erik",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sx/61/dm/68/sx61dm68v
0000-0002-1852-8132,Sapieja,Klaudia,"Sapieja, Klaudia",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qn/59/q5/34/qn59q5348
0000-0002-5532-5043,Hoi,Hiofan,"Hoi, Hiofan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/57/12/m7/23/5712m723w
0000-0002-6764-0067,Wiber,Melanie,"Wiber, Melanie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4b/29/b8/18/4b29b8183
0000-0001-7676-1939,Miklavcic,John,"Miklavcic, John",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/m6/13/mx/76/m613mx76k
0000-0001-6279-5222,Nassif,Alexandre,"Nassif, Alexandre",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/38/6k/33/bc386k33m
