Column 1	LC-ID	Column 2	Column 3	LC-ID1	Column 4	blank
Dialogovyı̆ kompleks programm krab /		Guli͡aev, A. V. (Anatoliĭ Viktorovich)	Guli͡aev, A. V. (Anatoliĭ Viktorovich) | Dialogovyı̆ kompleks programm krab /		http://example.org/1324345#Work	
Krab (Computer program)			 | Krab (Computer program)		http://example.org/1324345#Work630-19	
Die Brüder Karamasow : zur Struktur der Romane F.M. Dostojewskis /		Dudek, Gerhard.	Dudek, Gerhard. | Die Brüder Karamasow : zur Struktur der Romane F.M. Dostojewskis /		http://example.org/1306446#Work	
Bratʹi͡a Karamazovy.		Dostoyevsky, Fyodor, 1821-1881.	Dostoyevsky, Fyodor, 1821-1881. | Bratʹi︠a︡ Karamazovy. | English	n82155569	http://example.org/1306446#Work600-21	
Berichte über die Verhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig. Philologisch-Historische Klasse	n84708462	Dudek, Gerhard.	Dudek, Gerhard. | Sitzungsberichte der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-Historische Klasse.		http://example.org/1306446#Work830-22	
Dietary fibre perspectives : reviews and bibliography /		Leeds, Anthony R.	Leeds, Anthony R. | Dietary fibre perspectives : reviews and bibliography /		http://example.org/1305090#Work	
Directory of non-governmental organizations for rural development.		Food and Agriculture Organization of the United Nations.	Food and Agriculture Organization of the United Nations. | Directory of non-governmental organizations for rural development.		http://example.org/1369249#Work	
Direct services for battered native women in Canada /		O'Hara, Maureen.	O'Hara, Maureen. | Direct services for battered native women in Canada /		http://example.org/1328553#Work	
Discourse and learning /		Riley, Philip.	Riley, Philip. | Discourse and learning /		http://example.org/1296421#Work	
Applied linguistics and language study	n42002589	Riley, Philip.	Riley, Philip. | Applied linguistics and language study.		http://example.org/1296421#Work830-26	
Disorders with defective hearing /		Colletti, V.	Colletti, V. | Disorders with defective hearing /		http://example.org/1310646#Work	
Advances in audiology	n90717817	Colletti, V.	Colletti, V. | Advances in audiology ;		http://example.org/1310646#Work830-31	
Treaties, etc. France, 1972 March 27		Canada.	Canada. | Treaties, etc. France, 1972 March 27		http://example.org/1370971#Work	
Annexes to the memorial submitted by Canada, February 22, 1985.			 | Annexes to the memorial submitted by Canada, February 22, 1985.		http://example.org/1370971#Work740-25	
Différend concernant le filetage à l'interieur du Golfe du St-Laurent par les chalutiers Français vises à l'article 4(b) de l'accord de pêche entre le Canada et la France du 27 Mars 1972.			 | Différend concernant le filetage à l'interieur du Golfe du St-Laurent par les chalutiers Français vises à l'article 4(b) de l'accord de pêche entre le Canada et la France du 27 Mars 1972.		http://example.org/1370971#Work740-26	
Does neoteny occur in holarctic lampreys (petromyzontidae)? /		Vladykov, Vadim D. (Vadim Dmitrij), 1898-1986.	Vladykov, Vadim D. (Vadim Dmitrij), 1898-1986. | Does neoteny occur in holarctic lampreys (petromyzontidae)? /		http://example.org/1387517#Work	
Domestic factors in foreign policy : a cross-national statistical analysis /		Geller, Daniel S.	Geller, Daniel S. | Domestic factors in foreign policy : a cross-national statistical analysis /		http://example.org/1319372#Work	
Donkey dance &amp; other poems /		Henden, Neil.	Henden, Neil. | Donkey dance &amp; other poems /		http://example.org/1336099#Work	
D.W. Griffith and the Biograph Company /		Graham, Cooper C., 1938-	Graham, Cooper C., 1938- | D.W. Griffith and the Biograph Company /		http://example.org/1380019#Work	
Filmmakers series	n42011513	Graham, Cooper C., 1938-	Graham, Cooper C., 1938- | Filmmakers series. ;		http://example.org/1380019#Work830-26	
Ean Máššan		Somby, Áslak A.	Somby, Áslak A. | Ean Máššan		http://example.org/1330790#Work	
Early childhood classroom observation /		National Academy of Early Childhood Programs (U.S.)	National Academy of Early Childhood Programs (U.S.) | Early childhood classroom observation /		http://example.org/1347059#Work	
Education and development : some essays and thoughts on Korean education /		Kim, Chong-ch'ŏl, 1923-	Kim, Chong-ch'ŏl, 1923- | Education and development : some essays and thoughts on Korean education /		http://example.org/1385419#Work	
Korean education.			 | Korean education.		http://example.org/1385419#Work740-21	
Education and social change in India /		Kamat, A. R., 1912-	Kamat, A. R., 1912- | Education and social change in India /		http://example.org/1303997#Work	
Education and youth unemployment : contributions to the ninth conference of Commonwealth education ministers.		Commonwealth Secretariat.	Commonwealth Secretariat. | Education and youth unemployment : contributions to the ninth conference of Commonwealth education ministers.		http://example.org/1323221#Work	
El Niño North : Niño effects in the Eastern Subarctic Pacific Ocean /		Wooster, Warren S. (Warren Scriver), 1921-	Wooster, Warren S. (Warren Scriver), 1921- | El Niño North : Niño effects in the Eastern Subarctic Pacific Ocean /		http://example.org/1001639#Work	
El ser social del texto literario : a partir de Los funerales de la Mamá Grande de Gabriel García Márquez /		García Méndez, Javier, 1945-2006.	García Méndez, Javier, 1945-2006. | El ser social del texto literario : a partir de Los funerales de la Mamá Grande de Gabriel García Márquez /		http://example.org/1326228#Work	
Funerales de la Mamá Grande.		García Márquez, Gabriel, 1927-2014.	García Márquez, Gabriel, 1927-2014. | Funerales de la Mamá Grande.		http://example.org/1326228#Work600-23	
El Siglo XIX en México : cinco procesos regionales--Morelos, Monterrey, Yucatán, Jalisco y Puebla /		Síndico, Doménico.	Síndico, Doménico. | El Siglo XIX en México : cinco procesos regionales--Morelos, Monterrey, Yucatán, Jalisco y Puebla /		http://example.org/1334445#Work	
Embermalom /		Hajnal, László Gábor.	Hajnal, László Gábor. | Embermalom /		http://example.org/1329424#Work	
Emma /		Austen, Jane, 1775-1817.	Austen, Jane, 1775-1817. | Emma. | English | (Shapard)	no2015003455	http://example.org/1339375#Work	
Employee participation in training program development : a tool for organizational change /		Squires, Darlene C.	Squires, Darlene C. | Employee participation in training program development : a tool for organizational change /		http://example.org/1328919#Work	
En el fiel de América : estudios de literatura hispanoamericana /		Arrom, José Juan, 1910-2007.	Arrom, José Juan, 1910-2007. | En el fiel de América : estudios de literatura hispanoamericana /		http://example.org/1361037#Work	
Giraldilla	n84711046	Arrom, José Juan, 1910-2007.	Arrom, José Juan, 1910-2007. | Giraldilla.		http://example.org/1361037#Work830-24	
Energy reduction techniques in metal electrochemical processes: proceedings of a symposium /		Bautista, Renato G.	Bautista, Renato G. | Energy reduction techniques in metal electrochemical processes: proceedings of a symposium /		http://example.org/1344332#Work	
Concertos. Selections		Bach, Johann Christian, 1735-1782.	Bach, Johann Christian, 1735-1782. | Concertos. Selections		http://example.org/1338676#Work	
Erbe deutscher Musik ;		Bach, Johann Christian, 1735-1782.	Bach, Johann Christian, 1735-1782. | Erbe deutscher Musik ;		http://example.org/1338676#Work830-30	
Correspondence		Drovetti, Bernardino, 1776-1852.	Drovetti, Bernardino, 1776-1852. | Correspondence		http://example.org/1000231#Work	
Ernesto Sábato en la crisis de la modernidad /		Maturo, Graciela, 1928-	Maturo, Graciela, 1928- | Ernesto Sábato en la crisis de la modernidad /		http://example.org/1403173#Work	
Colección Estudios latinoamericanos. ;		Maturo, Graciela, 1928-	Maturo, Graciela, 1928- | Colección Estudios latinoamericanos. ;		http://example.org/1403173#Work830-25	
Es sang vor langen Jahren für Alt (oder Contratenor), Violine und Viola /		Pärt, Arvo.	Pärt, Arvo. | Es sang vor langen Jahren für Alt (oder Contratenor), Violine und Viola /		http://example.org/1372606#Work	
Studien zur dialektalen Situation Zentralfrankreichs. French		Dahmen, Wolfgang.	Dahmen, Wolfgang. | Studien zur dialektalen Situation Zentralfrankreichs. | French	n88617933	http://example.org/1327805#Work	
Situation dialectale dans le Centre de la France.			 | Situation dialectale dans le Centre de la France.		http://example.org/1327805#Work740-32	
Etude de l'impact culturel, social et économique des tendances démographiques actuelles sur l'avenir du Québec comme société distincte /		Québec (Province). Assemblée nationale. Commission permanente de la culture.	Québec (Province). Assemblée nationale. Commission permanente de la culture. | Etude de l'impact culturel, social et économique des tendances démographiques actuelles sur l'avenir du Québec comme société distincte /		http://example.org/1298184#Work	
Études-tableaux, op. 33		Rachmaninoff, Sergei, 1873-1943.	Rachmaninoff, Sergei, 1873-1943. | Études-tableaux, op. 33. No 7; arranged	no2007064966	http://example.org/1317439#Work	
Études-tableaux, op. 39.		Rachmaninoff, Sergei, 1873-1943.	Rachmaninoff, Sergei, 1873-1943. | Études-tableaux, op. 39. No 2; arranged	n89650895	http://example.org/1317439#Work700-25	
EUROGRAPHICS '85 : proceedings of the European Graphics Conference and Exhibition, Nice, France, 9-13 September, 1985 /		EUROGRAPHICS '85 (1985 ; Nice, France)	EUROGRAPHICS '85 (1985 ; Nice, France) | EUROGRAPHICS '85 : proceedings of the European Graphics Conference and Exhibition, Nice, France, 9-13 September, 1985 /		http://example.org/1339335#Work	
Europe today : an atlas of reproducible pages.		World Eagle, Inc.	World Eagle, Inc. | Europe today : an atlas of reproducible pages.		http://example.org/1303935#Work	
World Eagle's today series	n86712757	World Eagle, Inc.	World Eagle, Inc. | World Eagle's today series.		http://example.org/1303935#Work830-30	
Evaluation, treatment and prevention of musculoskeletal disorders /		Saunders, Duane.	Saunders, Duane. | Evaluation, treatment and prevention of musculoskeletal disorders /		http://example.org/1316903#Work	
Every day : the story of Joe Williams /		Gourse, Leslie.	Gourse, Leslie. | Every day : the story of Joe Williams /		http://example.org/1349670#Work	
Excellence in exporting : advice and comments from Canada Export Award winners /		Rosson, Philip J.	Rosson, Philip J. | Excellence in exporting : advice and comments from Canada Export Award winners /		http://example.org/1342180#Work	
Exercices pratiques pour ensemble de saxophones Practical exercises for saxophone ensemble = Praktische Übungen für Saxophonensemble /		Londeix, Jean-Marie, 1932-	Londeix, Jean-Marie, 1932- | Exercices pratiques pour ensemble de saxophones Practical exercises for saxophone ensemble = Praktische Übungen für Saxophonensemble /		http://example.org/1328517#Work	
Practical exercises for saxophone ensemble.			 | Practical exercises for saxophone ensemble.		http://example.org/1328517#Work740-23	
Praktische Übungen für Saxophonensemble.			 | Praktische Übungen für Saxophonensemble.		http://example.org/1328517#Work740-24	
Enseignement moderne du saxophone	n84742505	Londeix, Jean-Marie, 1932-	Londeix, Jean-Marie, 1932- | Enseignement moderne du saxophone.		http://example.org/1328517#Work830-25	
Exploring construction /		Henak, Richard M.	Henak, Richard M. | Exploring construction /		http://example.org/1301990#Work	
Student manual for exploring construction.			 | Student manual for exploring construction.		http://example.org/1301990#Work740-24	
Activity sheets for exploring construction.			 | Activity sheets for exploring construction.		http://example.org/1301990#Work740-25	
Exploring manufacturing /		Wright, R. Thomas.	Wright, R. Thomas. | Exploring manufacturing /		http://example.org/1301983#Work	
Student manual for exploring manufacturing.			 | Student manual for exploring manufacturing.		http://example.org/1301983#Work740-27	
Instructor's guide and answer key for use with exploring manufacturing.			 | Instructor's guide and answer key for use with exploring manufacturing.		http://example.org/1301983#Work740-28	
Goodheart-Willcox exploring technology series	n84723809	Wright, R. Thomas.	Wright, R. Thomas. | Goodheart-Willcox exploring technology series.		http://example.org/1301983#Work830-29	
Exploring production /		Wright, R. Thomas.	Wright, R. Thomas. | Exploring production /		http://example.org/1301987#Work	
Exquisite creatures : photographs /		Larrain, Gilles.	Larrain, Gilles. | Exquisite creatures : photographs /		http://example.org/1371885#Work	
Facade. Selections.		Walton, William, 1902-1983.	Walton, William, 1902-1983. | Facade. Selections.		http://example.org/1373011#Work	
Till Eulenspiegels lustige Streiche; arranged.		Strauss, Richard, 1864-1949.	Strauss, Richard, 1864-1949. | Till Eulenspiegels lustige Streiche; arranged.		http://example.org/1373011#Work700-33	
Waltzes, piano, op. 38; arranged.		Scriabin, Aleksandr Nikolayevich, 1872-1915.	Scriabin, Aleksandr Nikolayevich, 1872-1915. | Waltzes, piano, op. 38; arranged	n87136732	http://example.org/1373011#Work700-34	
Serenata-invano.		Nielsen, Carl, 1865-1931.	Nielsen, Carl, 1865-1931. | Serenata-invano.		http://example.org/1373011#Work700-35	
Till Eulenspiegel einmal anders!			 | Till Eulenspiegel einmal anders!		http://example.org/1373011#Work740-37	
Fertility projections of registered Indians, 1982 to 1996 /		Ram, Bali.	Ram, Bali. | Fertility projections of registered Indians, 1982 to 1996 /		http://example.org/1295879#Work	
Figured silks. Part one, Silk and secrecy		Yang, Emoretta.	Yang, Emoretta. | Figured silks. Part one, Silk and secrecy		http://example.org/1346663#Work	
Silk and secrecy.			 | Silk and secrecy.		http://example.org/1346663#Work740-23	
Film sound : theory and practice /		Weis, Elisabeth, 1944-	Weis, Elisabeth, 1944- | Film sound : theory and practice /		http://example.org/1375638#Work	
Financiers and traders /		Franck, Irene M.	Franck, Irene M. | Financiers and traders /		http://example.org/1000802#Work	
Work throughout history	n84748708	Franck, Irene M.	Franck, Irene M. | Work throughout history.		http://example.org/1000802#Work830-30	
Finding answers to disruption : discussion exercises for secondary teachers /		Grunsell, Rob.	Grunsell, Rob. | Finding answers to disruption : discussion exercises for secondary teachers /		http://example.org/1309360#Work	
SCDC publications.		Grunsell, Rob.	Grunsell, Rob. | SCDC publications.		http://example.org/1309360#Work830-27	
Flashman and the dragon : from the Flashman papers, 1860 /		Fraser, George MacDonald, 1925-2008.	Fraser, George MacDonald, 1925-2008. | Flashman and the dragon : from the Flashman papers, 1860 /		http://example.org/1348705#Work	
Folk treasures of historic Ontario /		Kobayashi, Terry, 1939-	Kobayashi, Terry, 1939- | Folk treasures of historic Ontario /		http://example.org/1386728#Work	
Food drying : a beginner's guide.		Alberta. Home Economics Branch.	Alberta. Home Economics Branch. | Food drying : a beginner's guide.		http://example.org/1358427#Work	
For the children : 25 years with the Saskatchewan Society for Education Through Art /		Messer, Margaret.	Messer, Margaret. | For the children : 25 years with the Saskatchewan Society for Education Through Art /		http://example.org/1373735#Work	
Twentyfive years with the Saskatchewan Society for Education Through Art.			 | Twentyfive years with the Saskatchewan Society for Education Through Art.		http://example.org/1373735#Work740-27	
Fortran 77 fundamentals and style /		Brainerd, Walter S.	Brainerd, Walter S. | Fortran 77 fundamentals and style /		http://example.org/1309894#Work	
Fragile 4		Rosenberg, M. R. (Marilyn R.)	Rosenberg, M. R. (Marilyn R.) | Fragile 4		http://example.org/1375302#Work	
Surround.			 | Surround.		http://example.org/1375302#Work740-22	
Fragments of war : stories from survivors of World War II /		Hibbert, Joyce, 1923-	Hibbert, Joyce, 1923- | Fragments of war : stories from survivors of World War II /		http://example.org/1373592#Work	
Stories from survivors of World War II.			 | Stories from survivors of World War II.		http://example.org/1373592#Work740-25	
Framed narratives : Diderot's genealogy of the beholder /		Caplan, Jay.	Caplan, Jay. | Framed narratives : Diderot's genealogy of the beholder /		http://example.org/1001394#Work	
Religieuse.		Diderot, Denis, 1713-1784.	Diderot, Denis, 1713-1784. | Religieuse. | English	n92012380	http://example.org/1001394#Work600-27	
Theory and history of literature. ;		Caplan, Jay.	Caplan, Jay. | Theory and history of literature. ;		http://example.org/1001394#Work830-30	
Froggett's revenge /		Peyton, K. M.	Peyton, K. M. | Froggett's revenge /		http://example.org/1001989#Work	
From out of the dustbin : Bakunin's basic writings, 1869-1871 /		Bakunin, Mikhail Aleksandrovich, 1814-1876.	Bakunin, Mikhail Aleksandrovich, 1814-1876. | From out of the dustbin : Bakunin's basic writings, 1869-1871 /		http://example.org/1318946#Work	
From Russia to USSR : a narrative and documentary history /		Vaillant, Janet G.	Vaillant, Janet G. | From Russia to USSR : a narrative and documentary history /		http://example.org/1329058#Work	
Gastech 84 : Gastech 84 LNG/LPG Conference, November 6-9, 1984, Amsterdam.		Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)	Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland) | Gastech 84 : Gastech 84 LNG/LPG Conference, November 6-9, 1984, Amsterdam.		http://example.org/1002810#Work	
Généalogies de l'auto-organisation.		Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.	Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie. | Généalogies de l'auto-organisation.		http://example.org/1383488#Work	
Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)		Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.	Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie. | Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)		http://example.org/1383488#Work830-22	
Genetic manipulation for plant improvement /		White, D. W. R.	White, D. W. R. | Genetic manipulation for plant improvement /		http://example.org/1309985#Work	
DSIR discussion paper	n42009985	White, D. W. R.	White, D. W. R. | DSIR discussion paper. ;		http://example.org/1309985#Work830-24	
Genetics and breeding of triticale : proceedings of the 3rd EUCARPIA Meeting of the Cereal Section on Triticale = Génétique et sélection du triticale : comptes-rendus des conférences présentées au Congrès de la Section Céréales d'EUCARPIA sur le Triticale, INRA, Station d'Amélioration des Plantes, Clermont-Ferrand, France, 2-5 Juillet 1984 /		EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France)	EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France) | Genetics and breeding of triticale : proceedings of the 3rd EUCARPIA Meeting of the Cereal Section on Triticale = Génétique et sélection du triticale : comptes-rendus des conférences présentées au Congrès de la Section Céréales d'EUCARPIA sur le Triticale, INRA, Station d'Amélioration des Plantes, Clermont-Ferrand, France, 2-5 Juillet 1984 /		http://example.org/1359151#Work	
Génétique et sélection du triticale.			 | Génétique et sélection du triticale.		http://example.org/1359151#Work740-25	
Geology and offshore resources of Pacific island arcs--Tonga region /		Scholl, David W.	Scholl, David W. | Geology and offshore resources of Pacific island arcs--Tonga region /		http://example.org/1319655#Work	
Earth science series (Houston, Tex.)	n84740719	Scholl, David W.	Scholl, David W. | Earth science series (Houston, Tex.) ;		http://example.org/1319655#Work830-27	
Geology in the field /		Compton, Robert R.	Compton, Robert R. | Geology in the field /		http://example.org/1350201#Work	
German woodcut in the 20th century.		Thiem, Gunther.	Thiem, Gunther. | German woodcut in the 20th century.		http://example.org/1371328#Work	
Glacial sedimentary environments /		Ashley, Gail Mowry.	Ashley, Gail Mowry. | Glacial sedimentary environments /		http://example.org/1298265#Work	
SEPM short course	n91069095	Ashley, Gail Mowry.	Ashley, Gail Mowry. | SEPM short course. ;		http://example.org/1298265#Work830-25	
[Glint glister]		Kyle, Hedi.	Kyle, Hedi. | [Glint glister]		http://example.org/1339679#Work	
Grade eight : educators information kit : Canada career week.			 | Grade eight : educators information kit : Canada career week.		http://example.org/1328569#Work	
Educators information kit, Canada career week.			 | Educators information kit, Canada career week.		http://example.org/1328569#Work740-21	
Great battlefields of the world /		Macdonald, John, 1945-	Macdonald, John, 1945- | Great battlefields of the world /		http://example.org/1339768#Work	
GTAW handbook /		Minnick, William H.	Minnick, William H. | GTAW handbook /		http://example.org/1298603#Work	
Guide to documentary credit operations : including uniform customs and practice for documentary credits.		Boudinot, André.	Boudinot, André. | Guide to documentary credit operations : including uniform customs and practice for documentary credits.		http://example.org/1392757#Work	
Uniform customs and practice for documentary credits.			International Chamber of Commerce. | Uniform customs and practice for documentary credits. | Korean & English	n85105367	http://example.org/1392757#Work740-28	
ICC standard credit application and credit forms.			 | ICC standard credit application and credit forms.		http://example.org/1392757#Work740-29	
Publication (International Chamber of Commerce)	n42020298	Boudinot, André.	Boudinot, André. | Publication (International Chamber of Commerce) ;		http://example.org/1392757#Work830-30	
Guide to Korean culture /		Ha, Tae Hung.	Ha, Tae Hung. | Guide to Korean culture /		http://example.org/1385543#Work	
Günter Grass, Werk und Wirkung /		Grass, Günter, 1927-	Grass, Günter, 1927- | Günter Grass, Werk und Wirkung /		http://example.org/1002120#Work	
Sammlung Profile	n83703818	Grass, Günter, 1927-	Grass, Günter, 1927- | Sammlung Profile. ;		http://example.org/1002120#Work830-24	
Handbook of meat analysis /		Koniecko, Edward S., 1913-	Koniecko, Edward S., 1913- | Handbook of meat analysis /		http://example.org/1298993#Work	
Handbook for meat chemists.		Koniecko, Edward S., 1913-	Koniecko, Edward S., 1913- | Handbook for meat chemists.		http://example.org/1298993#Work700-25	
Hannah : roman /		Sulitzer, Paul-Loup, 1946-	Sulitzer, Paul-Loup, 1946- | Hannah : roman /		http://example.org/1400896#Work	
Harbach harpsichord music of the 20th century.		Harbach, Barbara.	Harbach, Barbara. | Harbach harpsichord music of the 20th century.		http://example.org/1312517#Work	
Sonatas, harpsichord.		Adler, Samuel, 1928-	Adler, Samuel, 1928- | Sonatas, harpsichord.		http://example.org/1312517#Work700-31	
Fancies, harpsichord.		Albright, William.	Albright, William. | Fancies, harpsichord.		http://example.org/1312517#Work700-32	
Harpsichord music.		Martinů, Bohuslav, 1890-1959.	Martinů, Bohuslav, 1890-1959. | Harpsichord music.		http://example.org/1312517#Work700-33	
Sonata, harpsichord, no. 7, op. 56.		Persichetti, Vincent, 1915-1987.	Persichetti, Vincent, 1915-1987. | Sonata, harpsichord, no. 7, op. 56.		http://example.org/1312517#Work700-34	
Bach goes to town.		Templeton, Alec Andrew, 1910-1963.	Templeton, Alec Andrew, 1910-1963. | Bach goes to town.		http://example.org/1312517#Work700-35	
Barbara Harbach performs music of the twentieth century.			 | Barbara Harbach performs music of the twentieth century.		http://example.org/1312517#Work740-36	
Harold Klunder : paintings = tableaux /		Paikowsky, Sandra, 1945-	Paikowsky, Sandra, 1945- | Harold Klunder : paintings = tableaux /		http://example.org/1337589#Work	
Health effects of welding fumes and gases /		Sampara, Paul.	Sampara, Paul. | Health effects of welding fumes and gases /		http://example.org/1372123#Work	
Health-related population issues : report of a study group, Brazzaville, 7-9 October 1985.		World Health Organization. Regional Office for Africa.	World Health Organization. Regional Office for Africa. | Health-related population issues : report of a study group, Brazzaville, 7-9 October 1985.		http://example.org/1348121#Work	
Helmut Löhr, Buchobjekte.		Löhr, Helmut, 1955-2010.	Löhr, Helmut, 1955-2010. | Helmut Löhr, Buchobjekte.		http://example.org/1333615#Work	
Henry's leg /		Pilling, Ann.	Pilling, Ann. | Henry's leg /		http://example.org/1001724#Work	
Herbs and apples /		Santmyer, Helen Hooven, 1895-1986.	Santmyer, Helen Hooven, 1895-1986. | Herbs and apples /		http://example.org/1321220#Work	
Heritage north : proceedings of the first international conference, Yellowknife, Northwest Territories, September 1985 /		Bielawski, E.	Bielawski, E. | Heritage north : proceedings of the first international conference, Yellowknife, Northwest Territories, September 1985 /		http://example.org/1408285#Work	
Hispanic children's literature /		Pérez, Janet.	Pérez, Janet. | Hispanic children's literature /		http://example.org/1336681#Work	
Monographic review	n95021142	Pérez, Janet.	Pérez, Janet. | Monographic review. ;		http://example.org/1336681#Work830-26	
Histoires de cybernetique.			 | Histoires de cybernetique.		http://example.org/1380227#Work	
Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)			 | Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)		http://example.org/1380227#Work830-20	
Hitchcock as activist : politics and the war films /		Simone, Sam P., 1945-	Simone, Sam P., 1945- | Hitchcock as activist : politics and the war films /		http://example.org/1378225#Work	
Politics and the war films.			 | Politics and the war films.		http://example.org/1378225#Work740-26	
Studies in cinema. ;		Simone, Sam P., 1945-	Simone, Sam P., 1945- | Studies in cinema. ;		http://example.org/1378225#Work830-27	
Hoists and lifts /		Wilshere, E. R.	Wilshere, E. R. | Hoists and lifts /		http://example.org/1313298#Work	
Equipment for the disabled (Series)		Wilshere, E. R.	Wilshere, E. R. | Equipment for the disabled (Series)		http://example.org/1313298#Work830-31	
Hoòponopono : contemporary Uses of a Hawaiian problem-Solving process /		Shook, E. Victoria.	Shook, E. Victoria. | Hoòponopono : contemporary Uses of a Hawaiian problem-Solving process /		http://example.org/1382918#Work	
Contemporary uses of a Hawaiian problem-solving process.			 | Contemporary uses of a Hawaiian problem-solving process.		http://example.org/1382918#Work740-27	
Horizons		Fred Hersch Trio.	Fred Hersch Trio. | Horizons		http://example.org/1369450#Work	
How workplace chemicals enter the body /		Halton, David M. (David Michael), 1948-	Halton, David M. (David Michael), 1948- | How workplace chemicals enter the body /		http://example.org/1372115#Work	
Huai-nan tzu : philosophical synthesis in early Han thought : the idea of resonance (kan-ying) with a translation and analysis of chapter six = [Huai-nan tzu] /		Le Blanc, Charles.	Le Blanc, Charles. | Huai-nan tzu : philosophical synthesis in early Han thought : the idea of resonance (kan-ying) with a translation and analysis of chapter six = [Huai-nan tzu] /		http://example.org/1365454#Work	
Huainan zi	n80004623	Huai-nan tzu, -122 B.C.	Huai-nan tzu, -122 B.C. | Huai-nan tzu.		http://example.org/1365454#Work600-23	
Haui-nan tzu. Selections. English. 1979.		Huai-nan tzu, -122 B.C.	Huai-nan tzu, -122 B.C. | Haui-nan tzu. Selections. English. 1979.		http://example.org/1365454#Work700-24	
Ausrottungskampf Ungarns gegen seine nationalen Minderheiten. English		Pâclişanu, Zenobius.	Pâclişanu, Zenobius. | Ausrottungskampf Ungarns gegen seine nationalen Minderheiten. | English	n85256793	http://example.org/1379603#Work	
Romanian historical studies	n86731719	Pâclişanu, Zenobius.	Pâclişanu, Zenobius. | Romanian historical studies. ;		http://example.org/1379603#Work830-29	
Hunger /		Le Magnen, Jacques.	Le Magnen, Jacques. | Hunger /		http://example.org/1353902#Work	
Problems in the behavioural sciences	n42019760	Le Magnen, Jacques.	Le Magnen, Jacques. | Problems in the behavioural sciences. ;		http://example.org/1353902#Work830-31	
Hydrothermal vents of the eastern Pacific : an overview /		Jones, Meredith L.	Jones, Meredith L. | Hydrothermal vents of the eastern Pacific : an overview /		http://example.org/1367064#Work	
Bulletin of the Biological Society of Washington	n84719080	Jones, Meredith L.	Jones, Meredith L. | Bulletin of the Biological Society of Washington. ;		http://example.org/1367064#Work830-25	
Iamblichus and the theory of the vehicle of the soul /		Finamore, John F., 1951-	Finamore, John F., 1951- | Iamblichus and the theory of the vehicle of the soul /		http://example.org/1401638#Work	
American classical studies ;		Finamore, John F., 1951-	Finamore, John F., 1951- | American classical studies ;		http://example.org/1401638#Work830-24	
Illustrated news : Juliana Horatia Ewing's Canadian pictures, 1867-1869 /		McDonald, Donna, 1942-	McDonald, Donna, 1942- | Illustrated news : Juliana Horatia Ewing's Canadian pictures, 1867-1869 /		http://example.org/1373720#Work	
Madrigals, book 5		Monteverdi, Claudio, 1567-1643.	Monteverdi, Claudio, 1567-1643. | Madrigals, book 5		http://example.org/1345144#Work	
Il Trentino nel Settecento fra Sacro Romano Impero e antichi stati italiani /		Mozzarelli, Cesare.	Mozzarelli, Cesare. | Il Trentino nel Settecento fra Sacro Romano Impero e antichi stati italiani /		http://example.org/1349153#Work	
Annali dell'Istituto storico italo-germanico. Quaderno	n42002126	Mozzarelli, Cesare.	Mozzarelli, Cesare. | Annali dell'Istituto storico italo-germanico. Quaderno. ;		http://example.org/1349153#Work830-28	
Menaechmi. Italian		Plautus, Titus Maccius.	Plautus, Titus Maccius. | Menaechmi. | Italian	n87908941	http://example.org/1306245#Work	
Testi e studi umanistici. ;		Plautus, Titus Maccius.	Plautus, Titus Maccius. | Testi e studi umanistici. ;		http://example.org/1306245#Work830-26	
Immigration to Alberta (overview from ... to ... ).		Alberta. Settlement Services.	Alberta. Settlement Services. | Immigration to Alberta (overview from ... to ... ).		http://example.org/1385748#Work	
Implementation for sustainability : lessons from integrated rural development /		Honadle, George.	Honadle, George. | Implementation for sustainability : lessons from integrated rural development /		http://example.org/1401550#Work	
Improving boiler efficiency /		Dukelow, S. G.	Dukelow, S. G. | Improving boiler efficiency /		http://example.org/1353280#Work	
Improvisation level 3 : collective creation improvision to script /		Blazuk, Julia.	Blazuk, Julia. | Improvisation level 3 : collective creation improvision to script /		http://example.org/1372937#Work	
Edmonton Public School Board handbooks ;		Blazuk, Julia.	Blazuk, Julia. | Edmonton Public School Board handbooks ;		http://example.org/1372937#Work830-25	
Indexing and searching in perspective /		Brenner, Everett H.	Brenner, Everett H. | Indexing and searching in perspective /		http://example.org/1335775#Work	
