Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Dikshit, K. N.	n85299345	n81071755	Organization	http://example.org/1345912#Agent710-23	n81071755	
Wranitzky, Paul, 1756-1808	n84046776	n84046776	Person	http://example.org/1338625#Agent700-24		
Young, Deborah A.	n91060659	n91060659	Person	http://example.org/1405299#Agent100-11		
Art Gallery of Nova Scotia.		n84183559	Organization	http://example.org/1405299#Agent710-27	n84183559	
Museum Assistance Programmes (Canada)		n80026448	Organization	http://example.org/1405299#Agent710-28	n80026448	
Tchaikovsky, Peter Ilich, 1840-1893	n79072979	n79072979	Person	http://example.org/1345022#Agent100-14	n85119689	
Maser, Werner, 1922-2007	n79119013	n79119013	Person	http://example.org/1345022#Agent700-25		
Elisseeff, Danielle	n82070690	n82070690	Person	http://example.org/1001312#Agent100-15		
Elisseeff, Danielle	n82070690	n82070690	Person	http://example.org/1001312#Agent700-29		
Vercors, 1902-1991	n79062921	no94025785	Organization	http://example.org/1001312#Agent710-30	no94025785	
Veltruský, Jarmila F.	n85060312	n85060312	Person	http://example.org/1300143#Agent100-13		
Edmonton Public School Board. Instructional Services Division.		n90652739	Organization	http://example.org/1375614#Agent710-20	n90652739	
Wormith, J. S.	n88622056	n88622056	Person	http://example.org/1343658#Agent100-10		
Borzecki, Mark	n89628278	n89628278	Person	http://example.org/1343658#Agent700-24		
Canada. Ministry of the Solicitor General.		n80152367	Jurisdiction	http://example.org/1343658#Agent710-25	n80152367	
Canada. Ministry of the Solicitor General. Programs Branch.		n82119823	Jurisdiction	http://example.org/1343658#Agent710-26	n82119823	
Mintz, Morton	n50032621	n50032621	Person	http://example.org/1001376#Agent100-13		
A.H. Robins Company.		n84220470	Organization	http://example.org/1001376#Agent610-24	n84220470	http://example.org/1001376#Agent610-24
Bü̈hler, Karl, 1879-1963	n81128253	n81128253	Person	http://example.org/1370972#Agent700-25		
Bémová, Alla	n86125562	n86125562	Person	http://example.org/1370972#Agent700-26		
Johnson, Daniel M. (Daniel Morgan), 1945-	n82237399	n82237399	Person	http://example.org/1371462#Agent700-26		
Alberta Research Council. Atmospheric Sciences Department.		no88001564	Organization	http://example.org/1402306#Agent710-20	no88001564	
Wilde, Oscar, 1854-1900.	n79042038	n79042038	Person	http://example.org/1405075#Agent100-12		
Wilde, Oscar, 1854-1900.	n79042038	n79042038	Person	http://example.org/1405075#Agent600-23		http://example.org/1405075#Agent600-23
Foot, Michael, 1913-2010	n50060550	n50060550	Person	http://example.org/1405075#Agent700-24		
Italy. Soprintendenza speciale alla Galleria nazionale d'arte moderna e contemporanea.		n80099106	Jurisdiction	http://example.org/1405075#Agent710-25	n80099106	
Gill, Eric, 1882-1940	n50027765	n79066252	Organization	http://example.org/1405075#Agent710-26	n79066252	
Bragg, William Lawrence, sir, 1890-1971	n79109781	n80008782	Organization	http://example.org/1405075#Agent710-27	n80008782	
Abercrombie, Patrick, 1879-1957	n81012435	n81012435	Person	http://example.org/1319662#Agent100-13		
Dallwitz, M. J.	n86800910	n86800910	Person	http://example.org/1319662#Agent700-26		
Landau, Jacob M.	n79096944	n79096944	Person	http://example.org/1400868#Agent700-26		
Crandell, W. Dean	n92116747	n92116747	Person	http://example.org/1400868#Agent700-27		
O'Neill, Timothy, 1947-....	n84218668	n84218668	Person	http://example.org/1341994#Agent100-13		
Bakke, Allan Paul	n77009958	n77009958	Person	http://example.org/1341994#Agent600-24		http://example.org/1341994#Agent600-24
Pears, Nigel.	n83184586	n83184586	Person	http://example.org/1302718#Agent100-12		
Hahn, Emily, 1905-1997	n50019689	n50019689	Person	http://example.org/1355182#Agent100-17		
Adamo Muscettola, Stefania	n86095109	n86095109	Person	http://example.org/1332563#Agent700-25		
Balasco, Alfredo	n86095110	n86095110	Person	http://example.org/1332563#Agent700-26		
Giampaola, Daniela	n86095111	n86095111	Person	http://example.org/1332563#Agent700-27		
Giampaola, Daniela	n86095111	n86095112	Organization	http://example.org/1332563#Agent710-28	n86095112	
Buchan, John, 1875-1940.	n79045167	n79045167	Person	http://example.org/1399470#Agent100-13		
Jennings, Linda, 1946-....	n85027297	n85027297	Person	http://example.org/1397874#Agent100-12		
Lamp, Mary L.	n85027298	n85027298	Person	http://example.org/1397874#Agent700-22		
Stenberg, Jerome, 1955-	n85027299	n85027299	Person	http://example.org/1397874#Agent700-23		
British Library. Bibliographic Services Division.		n85304601	Organization	http://example.org/1299654#Agent710-22	n85304601	
British Library Automated Information Service.			Organization	http://example.org/1299654#Agent710-23		
Birds Australia		nr00030977	Organization	http://example.org/1001399#Agent610-22	n85033037	http://example.org/1001399#Agent610-22
Keast, Allen.	n80009715	n80009715	Person	http://example.org/1001399#Agent700-25		
Royal Australasian Ornithologists' Union.		n85033037	Organization	http://example.org/1001399#Agent710-26	n85033037	
Lockridge, Richard, 1898-1982	n80045195	n80045195	Person	http://example.org/1350666#Agent100-12		
Grave, Jonquil.			Person	http://example.org/1350666#Agent700-25		
Northwest Territories. Dept. of Renewable Resources.		n98053127	Jurisdiction	http://example.org/1350666#Agent710-26	n98053127	
Canada. Energy, Mines and Resources Canada.		n82025292	Jurisdiction	http://example.org/1334974#Agent710-20	n79058470	
Laverychev, V. I︠A︡. (Vladimir I︠A︡kovlevich)	n83034629	n83034629	Person	http://example.org/1341592#Agent100-11		
Solovʹeva, A. M. (Aida Mikhaĭlovna)	n85227495	n85227495	Person	http://example.org/1341592#Agent700-23		
Jenness, Doug	n97111718	n97111718	Person	http://example.org/1310571#Agent700-22		
Guevara, Che, 1928-1967	n79018345	n79018345	Person	http://example.org/1310571#Agent700-23		
‏Lenin, Vladimir Ilʹich, 1870-1924‏	n80067085	n80067085	Person	http://example.org/1310571#Agent700-24		
Arts Manitoba		no99084163	Organization	http://example.org/1399611#Agent610-32	n80046909	http://example.org/1399611#Agent610-32
Arts Manitoba.		no99084163	Organization	http://example.org/1399611#Agent710-34	n80046909	
Knudsvig, Peter	nr95002075	n88625380	Organization	http://example.org/1300457#Agent110-15	n88625380	
Farkas, Ferenc, 1905-2000.	n80086158	n80086158	Person	http://example.org/1300457#Agent700-30		
Tomkins, Thomas, 1572-1656	n79081351	n79081351	Person	http://example.org/1300457#Agent700-31		
Händel, George Frideric, 1685-1759	n79129204	n79129204	Person	http://example.org/1300457#Agent700-32	n81073693	
Stravinsky, Igor, 1882-1971	n79070061	n79070061	Person	http://example.org/1300457#Agent700-33	n81139912	
Joplin, Scott, 1868-1917.	n50039880	n50039880	Person	http://example.org/1300457#Agent700-34		
