Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Recognition of fluvial depositional systems and their resource potential /	Flores, Romeo M.	Flores, Romeo M. | Recognition of fluvial depositional systems and their resource potential /		http://example.org/1298245#Work	blank
SEPM short course. ;	Flores, Romeo M.	Flores, Romeo M. | SEPM short course. ;		http://example.org/1298245#Work830-28	blank
Recommended code of nautical procedures and practices.	Canadian Coast Guard. Ship Operations.	Canadian Coast Guard. Ship Operations. | Recommended code of nautical procedures and practices.		http://example.org/1330266#Work	blank
Code des méthodes et pratiques nautiques.		 | Code des méthodes et pratiques nautiques.		http://example.org/1330266#Work740-28	blank
Recommended code of navigation practices and procedures.		 | Recommended code of navigation practices and procedures.		http://example.org/1330266#Work740-29	blank
Relationship of organic matter and mineral diagenesis /	Gautier, Donald L.	Gautier, Donald L. | Relationship of organic matter and mineral diagenesis /		http://example.org/1298278#Work	blank
SEPM short course. ;	Gautier, Donald L.	Gautier, Donald L. | SEPM short course. ;		http://example.org/1298278#Work830-29	blank
Religion, science, and worldview : essays in honor of Richard S. Westfall /	Westfall, Richard S.	Westfall, Richard S. | Religion, science, and worldview : essays in honor of Richard S. Westfall /		http://example.org/1359159#Work	blank
Rendering in mixed media /	Ungar, Joseph, 1948-	Ungar, Joseph, 1948- | Rendering in mixed media /		http://example.org/1398279#Work	blank
Report of the meeting of governmental experts of donor countries and multilateral and bilateral financial and technical assistance institutions with representatives of the least developed countries ... /	United Nations Conference on Trade and Development. Trade and Development Board.	United Nations Conference on Trade and Development. Trade and Development Board. | Report of the meeting of governmental experts of donor countries and multilateral and bilateral financial and technical assistance institutions with representatives of the least developed countries ... /		http://example.org/1339915#Work	blank
Research and development strategic plans 1985/86 -- 1988/89.	Canada. Ministry of the Solicitor General. Programs Branch.	Canada. Ministry of the Solicitor General. Programs Branch. | Research and development strategic plans 1985/86 -- 1988/89.		http://example.org/1323474#Work	blank
Resources : environment &amp; policy /	Fernie, John, 1948-	Fernie, John, 1948- | Resources : environment &amp; policy /		http://example.org/1391527#Work	blank
Respond : teaching children self protection, a text for everyone /	Anderson, Joanna.	Anderson, Joanna. | Respond : teaching children self protection, a text for everyone /		http://example.org/1325855#Work	blank
Reuse of sewage effluent : proceedings of the international symposium /	Institution of Civil Engineers (Great Britain)	Institution of Civil Engineers (Great Britain) | Reuse of sewage effluent : proceedings of the international symposium /		http://example.org/1298995#Work	blank
Revision of the modern : the Frankfurt Architecture Museum collection /	Klotz, Heinrich.	Klotz, Heinrich. | Revision of the modern : the Frankfurt Architecture Museum collection /		http://example.org/1356485#Work	blank
Architectural design.		Architectural design profile	176596130	http://example.org/1356485#Work730-26	blank
Architectural design profile. ;	Klotz, Heinrich.	Klotz, Heinrich. | Architectural design profile. ;		http://example.org/1356485#Work830-27	blank
Richard Wagner : Vorbote des Antisemitismus /	Katz, Jacob, 1904-1998.	Katz, Jacob, 1904-1998. | Richard Wagner : Vorbote des Antisemitismus /		http://example.org/1002112#Work	blank
Veröffentlichung des Leo Baeck Instituts.	Katz, Jacob, 1904-1998.	Katz, Jacob, 1904-1998. | Veröffentlichung des Leo Baeck Instituts.		http://example.org/1002112#Work830-24	blank
Robert Rauschenberg, work from four series : a sesquicentennial exhibition /	Rauschenberg, Robert, 1925-2008.	Rauschenberg, Robert, 1925-2008. | Robert Rauschenberg, work from four series : a sesquicentennial exhibition /		http://example.org/1369092#Work	blank
Rauschenberg: work from four series.		 | Rauschenberg: work from four series.		http://example.org/1369092#Work740-26	blank
Works. Selections. English. 1985	Walser, Robert, 1878-1956.	Walser, Robert, 1878-1956. | Works. Selections. English. 1985		http://example.org/1352734#Work	blank
Roman kao postupak u savremenoj srpskoj književnosti : B. Ćosić, D. Kiš i M. Kovač /	Srebro, Milivoj, 1957-	Srebro, Milivoj, 1957- | Roman kao postupak u savremenoj srpskoj književnosti : B. Ćosić, D. Kiš i M. Kovač /		http://example.org/1351953#Work	blank
Biblioteka Prva knjiga (Novi Sad, Serbia) ;	Srebro, Milivoj, 1957-	Srebro, Milivoj, 1957- | Biblioteka Prva knjiga (Novi Sad, Serbia) ;		http://example.org/1351953#Work830-26	blank
Romantic works	Baerg, Irmgard, 1942- ,	Baerg, Irmgard, 1942- , | Romantic works		http://example.org/1303996#Work	blank
Piano music. Selections.	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974.	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974. | Piano music. Selections	174979281	http://example.org/1303996#Work700-28	blank
Papillons.	Schumann, Robert, 1810-1856.	Schumann, Robert, 1810-1856. | Papillons	185384500	http://example.org/1303996#Work700-29	blank
Ballades, piano, no. 4, op. 52, F minor.	Chopin, Frédéric, 1810-1849.	Chopin, Frédéric, 1810-1849. | Ballades, piano. no. 4, op. 52, | F minor	184092271	http://example.org/1303996#Work700-30	blank
Rubāʻīyāt. English	Omar Khayyam.	Omar Khayyam. | Rubāʻīyāt. English		http://example.org/1295856#Work	blank
Classic collector's series.	Omar Khayyam.	Omar Khayyam. | Classic collector's series.		http://example.org/1295856#Work830-22	blank
Rudolf Bultmann, 100 Jahre : Oldenburger Vorträge /	Bultmann, Rudolf, 1884-1976.	Bultmann, Rudolf, 1884-1976. | Rudolf Bultmann, 100 Jahre : Oldenburger Vorträge /		http://example.org/1002074#Work	blank
Russkai͡a kulʹtura i romanskiĭ mir /	Alekseev, Mikhail Pavlovich, 1896-1981	Alekseev, Mikhail Pavlovich, 1896-1981 | Russkai͡a kulʹtura i romanskiĭ mir /		http://example.org/1370255#Work	blank
Saaz, raag aur taal	Vohra, Vinayak.	Vohra, Vinayak. | Saaz, raag aur taal		http://example.org/1396348#Work	blank
Lucky 13	Vohra, Vinayak.	Vohra, Vinayak. | Lucky 13		http://example.org/1396348#Work830-30	blank
Safer lifting for patient care /	Hollis, Margaret.	Hollis, Margaret. | Safer lifting for patient care /		http://example.org/1394366#Work	blank
Saggi e ricerche sulle culture extraeuropee /	Bellini, Giuseppe, 1923-	Bellini, Giuseppe, 1923- | Saggi e ricerche sulle culture extraeuropee /		http://example.org/1315685#Work	blank
Africa, America, Asia, Australia. ;	Bellini, Giuseppe, 1923-	Bellini, Giuseppe, 1923- | Africa, America, Asia, Australia. ;		http://example.org/1315685#Work830-27	blank
Sámi duodji = Samisk håndverk.	Nordenfjeldske kunstindustrimuseum.	Nordenfjeldske kunstindustrimuseum. | Sámi duodji = Samisk håndverk.		http://example.org/1387253#Work	blank
Samisk håndverk.		 | Samisk håndverk.		http://example.org/1387253#Work740-26	blank
Science and research in Austria.	Austria. Bundespressedienst.	Austria. Bundespressedienst. | Science and research in Austria.		http://example.org/1298369#Work	blank
Austria documentation.	Austria. Bundespressedienst.	Austria documentation	181049365	http://example.org/1298369#Work830-23	blank
Science fiction films /	Cross, Robin.	Cross, Robin. | Science fiction films /		http://example.org/1316651#Work	blank
Science indicators : the 1985 report /	National Science Board (U.S.)	National Science Board (U.S.) | Science indicators : the 1985 report /		http://example.org/1378545#Work	blank
Annual report, 1985.	National Science Board (U.S.).	National Science Board (U.S.). | Annual report, 1985.		http://example.org/1378545#Work710-23	blank
Science indicators--1985.		 | Science indicators--1985.		http://example.org/1378545#Work740-24	blank
Scribbling in the dark /	Oakley, Barry.	Oakley, Barry. | Scribbling in the dark /		http://example.org/1405242#Work	blank
Search and seizure checklist /	Paisley, Victor.	Paisley, Victor. | Search and seizure checklist /		http://example.org/1333943#Work	blank
What to do when the police arrive to search a law office.		 | What to do when the police arrive to search a law office.		http://example.org/1333943#Work740-23	blank
Second opinion : Lapacho and the cancer controversy /	Wead, Bill.	Wead, Bill. | Second opinion : Lapacho and the cancer controversy /		http://example.org/1394374#Work	blank
Secret spells &amp; curious charms /	Beisner, Monika.	Beisner, Monika. | Secret spells &amp; curious charms /		http://example.org/1001609#Work	blank
Secret spells and curious charms.		 | Secret spells and curious charms.		http://example.org/1001609#Work740-23	blank
Seismic stratigraphic interpretation and petroleum exploration /	Brown, L. F. (Leonard Franklin), 1928-	Brown, L. F. (Leonard Franklin), 1928- | Seismic stratigraphic interpretation and petroleum exploration /		http://example.org/1316348#Work	blank
Principles of seismic stratigraphic interpretation.		Brown, L. F. (Leonard Franklin), 1928- | Principles of seismic stratigraphic interpretation	186672312	http://example.org/1316348#Work740-25	blank
Geology and geometry of depositional systems.		 | Geology and geometry of depositional systems.		http://example.org/1316348#Work740-26	blank
AAPG continuing education course note series ;	Brown, L. F. (Leonard Franklin), 1928-	Brown, L. F. (Leonard Franklin), 1928- | AAPG continuing education course note series ;		http://example.org/1316348#Work830-27	blank
Semantic automata /	Benthem, J. F. A. K. van, 1949-	Benthem, J. F. A. K. van, 1949- | Semantic automata /		http://example.org/1333340#Work	blank
Report (Center for the Study of Language and Information (U.S.)) ;	Benthem, J. F. A. K. van, 1949-	Benthem, J. F. A. K. van, 1949- | Report (Center for the Study of Language and Information (U.S.)) ;		http://example.org/1333340#Work830-21	blank
Semantic mapping	Johnson, Dale D.	Johnson, Dale D. | Semantic mapping		http://example.org/1344415#Work	blank
Teaching reading comprehension. ;	Johnson, Dale D.	Johnson, Dale D. | Teaching reading comprehension. ;		http://example.org/1344415#Work830-30	blank
Sense and sensibility /	Austen, Jane, 1775-1817.	Austen, Jane, 1775-1817. | Sense and sensibility	180122632	http://example.org/1339374#Work	blank
