Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Domestic factors in foreign policy : a cross-national statistical analysis /	Geller, Daniel S.	Geller, Daniel S. | Domestic factors in foreign policy : a cross-national statistical analysis /		http://example.org/1319372#Work	blank
Donkey dance &amp; other poems /	Henden, Neil.	Henden, Neil. | Donkey dance &amp; other poems /		http://example.org/1336099#Work	blank
D.W. Griffith and the Biograph Company /	Graham, Cooper C., 1938-	Graham, Cooper C., 1938- | D.W. Griffith and the Biograph Company /		http://example.org/1380019#Work	blank
Filmmakers series. ;	Graham, Cooper C., 1938-	Graham, Cooper C., 1938- | Filmmakers series. ;		http://example.org/1380019#Work830-26	blank
Ean Máššan	Somby, Áslak A.	Somby, Áslak A. | Ean Máššan		http://example.org/1330790#Work	blank
Early childhood classroom observation /	National Academy of Early Childhood Programs (U.S.)	National Academy of Early Childhood Programs (U.S.) | Early childhood classroom observation /		http://example.org/1347059#Work	blank
Education and development : some essays and thoughts on Korean education /	Kim, Chong-ch'ŏl, 1923-	Kim, Chong-ch'ŏl, 1923- | Education and development : some essays and thoughts on Korean education /		http://example.org/1385419#Work	blank
Korean education.		 | Korean education.		http://example.org/1385419#Work740-21	blank
Education and social change in India /	Kamat, A. R., 1912-	Kamat, A. R., 1912- | Education and social change in India /		http://example.org/1303997#Work	blank
Education and youth unemployment : contributions to the ninth conference of Commonwealth education ministers.	Commonwealth Secretariat.	Commonwealth Secretariat. | Education and youth unemployment : contributions to the ninth conference of Commonwealth education ministers.		http://example.org/1323221#Work	blank
El Niño North : Niño effects in the Eastern Subarctic Pacific Ocean /	Wooster, Warren S. (Warren Scriver), 1921-	Wooster, Warren S. (Warren Scriver), 1921- | El Niño North : Niño effects in the Eastern Subarctic Pacific Ocean /		http://example.org/1001639#Work	blank
El ser social del texto literario : a partir de Los funerales de la Mamá Grande de Gabriel García Márquez /	García Méndez, Javier, 1945-2006.	García Méndez, Javier, 1945-2006. | El ser social del texto literario : a partir de Los funerales de la Mamá Grande de Gabriel García Márquez /		http://example.org/1326228#Work	blank
Funerales de la Mamá Grande.	García Márquez, Gabriel, 1927-2014.	García Márquez, Gabriel, 1927-2014. | Funerales de la Mama Grande	309565978	http://example.org/1326228#Work600-23	blank
El Siglo XIX en México : cinco procesos regionales--Morelos, Monterrey, Yucatán, Jalisco y Puebla /	Síndico, Doménico.	Síndico, Doménico. | El Siglo XIX en México : cinco procesos regionales--Morelos, Monterrey, Yucatán, Jalisco y Puebla /		http://example.org/1334445#Work	blank
Embermalom /	Hajnal, László Gábor.	Hajnal, László Gábor. | Embermalom /		http://example.org/1329424#Work	blank
Emma /	Austen, Jane, 1775-1817.	Austen, Jane, 1775-1817. | Emma	178480306	http://example.org/1339375#Work	blank
Employee participation in training program development : a tool for organizational change /	Squires, Darlene C.	Squires, Darlene C. | Employee participation in training program development : a tool for organizational change /		http://example.org/1328919#Work	blank
En el fiel de América : estudios de literatura hispanoamericana /	Arrom, José Juan, 1910-2007.	Arrom, José Juan, 1910-2007. | En el fiel de América : estudios de literatura hispanoamericana /		http://example.org/1361037#Work	blank
Giraldilla.	Arrom, José Juan, 1910-2007.	Arrom, José Juan, 1910-2007. | Giraldilla.		http://example.org/1361037#Work830-24	blank
Energy reduction techniques in metal electrochemical processes: proceedings of a symposium /	Bautista, Renato G.	Bautista, Renato G. | Energy reduction techniques in metal electrochemical processes: proceedings of a symposium /		http://example.org/1344332#Work	blank
Concertos. Selections	Bach, Johann Christian, 1735-1782.	Bach, Johann Christian, 1735-1782. | Concertos. Selections	178429025	http://example.org/1338676#Work	blank
Erbe deutscher Musik ;	Bach, Johann Christian, 1735-1782.	Bach, Johann Christian, 1735-1782. | Erbe deutscher Musik ;		http://example.org/1338676#Work830-30	blank
Correspondence	Drovetti, Bernardino, 1776-1852.	Drovetti, Bernardino, 1776-1852. | Correspondence	185925612	http://example.org/1000231#Work	blank
Ernesto Sábato en la crisis de la modernidad /	Maturo, Graciela, 1928-	Maturo, Graciela, 1928- | Ernesto Sábato en la crisis de la modernidad /		http://example.org/1403173#Work	blank
Colección Estudios latinoamericanos. ;	Maturo, Graciela, 1928-	Maturo, Graciela, 1928- | Colección Estudios latinoamericanos. ;		http://example.org/1403173#Work830-25	blank
Es sang vor langen Jahren für Alt (oder Contratenor), Violine und Viola /	Pärt, Arvo.	Pärt, Arvo. | Es sang vor langen Jahren für Alt (oder Contratenor), Violine und Viola /		http://example.org/1372606#Work	blank
Studien zur dialektalen Situation Zentralfrankreichs. French	Dahmen, Wolfgang.	Dahmen, Wolfgang. | Studien zur dialektalen Situation Zentralfrankreichs. French		http://example.org/1327805#Work	blank
Situation dialectale dans le Centre de la France.		 | Situation dialectale dans le Centre de la France.		http://example.org/1327805#Work740-32	blank
Etude de l'impact culturel, social et économique des tendances démographiques actuelles sur l'avenir du Québec comme société distincte /	Québec (Province). Assemblée nationale. Commission permanente de la culture.	Québec (Province). Assemblée nationale. Commission permanente de la culture. | Etude de l'impact culturel, social et économique des tendances démographiques actuelles sur l'avenir du Québec comme société distincte /		http://example.org/1298184#Work	blank
Études-tableaux, op. 33	Rachmaninoff, Sergei, 1873-1943.	Rachmaninoff, Sergei, 1873-1943. | Études-tableaux, op. 33	295429891	http://example.org/1317439#Work	blank
Études-tableaux, op. 39.	Rachmaninoff, Sergei, 1873-1943.	Rachmaninoff, Sergei, 1873-1943. | Études-tableaux, op. 39	185577800	http://example.org/1317439#Work700-25	blank
EUROGRAPHICS '85 : proceedings of the European Graphics Conference and Exhibition, Nice, France, 9-13 September, 1985 /	EUROGRAPHICS '85 (1985 ; Nice, France)	EUROGRAPHICS '85 (1985 ; Nice, France) | EUROGRAPHICS '85 : proceedings of the European Graphics Conference and Exhibition, Nice, France, 9-13 September, 1985 /		http://example.org/1339335#Work	blank
Europe today : an atlas of reproducible pages.	World Eagle, Inc.	World Eagle, Inc. | Europe today : an atlas of reproducible pages.		http://example.org/1303935#Work	blank
World Eagle's today series.	World Eagle, Inc.	World Eagle, Inc. | World Eagle's today series.		http://example.org/1303935#Work830-30	blank
Evaluation, treatment and prevention of musculoskeletal disorders /	Saunders, Duane.	Saunders, Duane. | Evaluation, treatment and prevention of musculoskeletal disorders /		http://example.org/1316903#Work	blank
Every day : the story of Joe Williams /	Gourse, Leslie.	Gourse, Leslie. | Every day : the story of Joe Williams /		http://example.org/1349670#Work	blank
Excellence in exporting : advice and comments from Canada Export Award winners /	Rosson, Philip J.	Rosson, Philip J. | Excellence in exporting : advice and comments from Canada Export Award winners /		http://example.org/1342180#Work	blank
Exercices pratiques pour ensemble de saxophones Practical exercises for saxophone ensemble = Praktische Übungen für Saxophonensemble /	Londeix, Jean-Marie, 1932-	Londeix, Jean-Marie, 1932- | Exercices pratiques pour ensemble de saxophones Practical exercises for saxophone ensemble = Praktische Übungen für Saxophonensemble /		http://example.org/1328517#Work	blank
Practical exercises for saxophone ensemble.		 | Practical exercises for saxophone ensemble.		http://example.org/1328517#Work740-23	blank
Praktische Übungen für Saxophonensemble.		 | Praktische Übungen für Saxophonensemble.		http://example.org/1328517#Work740-24	blank
Enseignement moderne du saxophone.	Londeix, Jean-Marie, 1932-	Londeix, Jean-Marie, 1932- | Enseignement moderne du saxophone.		http://example.org/1328517#Work830-25	blank
Exploring construction /	Henak, Richard M.	Henak, Richard M. | Exploring construction /		http://example.org/1301990#Work	blank
Student manual for exploring construction.		 | Student manual for exploring construction.		http://example.org/1301990#Work740-24	blank
Activity sheets for exploring construction.		 | Activity sheets for exploring construction.		http://example.org/1301990#Work740-25	blank
Exploring manufacturing /	Wright, R. Thomas.	Wright, R. Thomas. | Exploring manufacturing /		http://example.org/1301983#Work	blank
Student manual for exploring manufacturing.		 | Student manual for exploring manufacturing.		http://example.org/1301983#Work740-27	blank
Instructor's guide and answer key for use with exploring manufacturing.		 | Instructor's guide and answer key for use with exploring manufacturing.		http://example.org/1301983#Work740-28	blank
Goodheart-Willcox exploring technology series.	Wright, R. Thomas.	Wright, R. Thomas. | Goodheart-Willcox exploring technology series.		http://example.org/1301983#Work830-29	blank
Exploring production /	Wright, R. Thomas.	Wright, R. Thomas. | Exploring production /		http://example.org/1301987#Work	blank
Exquisite creatures : photographs /	Larrain, Gilles.	Larrain, Gilles. | Exquisite creatures : photographs /		http://example.org/1371885#Work	blank
Facade. Selections.	Walton, William, 1902-1983.	Walton, William, 1902-1983. | Songs (1932)	185104433	http://example.org/1373011#Work	blank
Till Eulenspiegels lustige Streiche; arranged.	Strauss, Richard, 1864-1949.	Strauss, Richard, 1864-1949. | Till Eulenspiegels lustige Streiche; arranged.		http://example.org/1373011#Work700-33	blank
Waltzes, piano, op. 38; arranged.	Scriabin, Aleksandr Nikolayevich, 1872-1915.	Scriabin, Aleksandr Nikolayevich, 1872-1915. | Waltzes, piano, op. 38; arranged.		http://example.org/1373011#Work700-34	blank
Serenata-invano.	Nielsen, Carl, 1865-1931.	Nielsen, Carl, 1865-1931. | Serenata-invano	181854372	http://example.org/1373011#Work700-35	blank
Till Eulenspiegel einmal anders!		Hasenöhrl, Franz, 1885-1970. | Till Eulenspiegel einmal anders!	271500771	http://example.org/1373011#Work740-37	blank
Fertility projections of registered Indians, 1982 to 1996 /	Ram, Bali.	Ram, Bali. | Fertility projections of registered Indians, 1982 to 1996 /		http://example.org/1295879#Work	blank
Figured silks. Part one, Silk and secrecy	Yang, Emoretta.	Yang, Emoretta. | Figured silks. Part one, Silk and secrecy		http://example.org/1346663#Work	blank
Silk and secrecy.		 | Silk and secrecy.		http://example.org/1346663#Work740-23	blank
Film sound : theory and practice /	Weis, Elisabeth, 1944-	Weis, Elisabeth, 1944- | Film sound : theory and practice /		http://example.org/1375638#Work	blank
Financiers and traders /	Franck, Irene M.	Franck, Irene M. | Financiers and traders /		http://example.org/1000802#Work	blank
Work throughout history.	Franck, Irene M.	Franck, Irene M. | Work throughout history.		http://example.org/1000802#Work830-30	blank
Finding answers to disruption : discussion exercises for secondary teachers /	Grunsell, Rob.	Grunsell, Rob. | Finding answers to disruption : discussion exercises for secondary teachers /		http://example.org/1309360#Work	blank
SCDC publications.	Grunsell, Rob.	Grunsell, Rob. | SCDC publications.		http://example.org/1309360#Work830-27	blank
Flashman and the dragon : from the Flashman papers, 1860 /	Fraser, George MacDonald, 1925-2008.	Fraser, George MacDonald, 1925-2008. | Flashman and the dragon : from the Flashman papers, 1860 /		http://example.org/1348705#Work	blank
Folk treasures of historic Ontario /	Kobayashi, Terry, 1939-	Kobayashi, Terry, 1939- | Folk treasures of historic Ontario /		http://example.org/1386728#Work	blank
Food drying : a beginner's guide.	Alberta. Home Economics Branch.	Alberta. Home Economics Branch. | Food drying : a beginner's guide.		http://example.org/1358427#Work	blank
For the children : 25 years with the Saskatchewan Society for Education Through Art /	Messer, Margaret.	Messer, Margaret. | For the children : 25 years with the Saskatchewan Society for Education Through Art /		http://example.org/1373735#Work	blank
Twentyfive years with the Saskatchewan Society for Education Through Art.		 | Twentyfive years with the Saskatchewan Society for Education Through Art.		http://example.org/1373735#Work740-27	blank
Fortran 77 fundamentals and style /	Brainerd, Walter S.	Brainerd, Walter S. | Fortran 77 fundamentals and style /		http://example.org/1309894#Work	blank
Fragile 4	Rosenberg, M. R. (Marilyn R.)	Rosenberg, M. R. (Marilyn R.) | Fragile 4		http://example.org/1375302#Work	blank
Surround.		 | Surround.		http://example.org/1375302#Work740-22	blank
Fragments of war : stories from survivors of World War II /	Hibbert, Joyce, 1923-	Hibbert, Joyce, 1923- | Fragments of war : stories from survivors of World War II /		http://example.org/1373592#Work	blank
Stories from survivors of World War II.		 | Stories from survivors of World War II.		http://example.org/1373592#Work740-25	blank
Framed narratives : Diderot's genealogy of the beholder /	Caplan, Jay.	Caplan, Jay. | Framed narratives : Diderot's genealogy of the beholder /		http://example.org/1001394#Work	blank
Religieuse.	Diderot, Denis, 1713-1784.	Diderot, Denis, 1713-1784. | Religieuse	176573195	http://example.org/1001394#Work600-27	blank
Theory and history of literature. ;	Caplan, Jay.	Caplan, Jay. | Theory and history of literature. ;		http://example.org/1001394#Work830-30	blank
Froggett's revenge /	Peyton, K. M.	Peyton, K. M. | Froggett's revenge /		http://example.org/1001989#Work	blank
From out of the dustbin : Bakunin's basic writings, 1869-1871 /	Bakunin, Mikhail Aleksandrovich, 1814-1876.	Bakunin, Mikhail Aleksandrovich, 1814-1876. | From out of the dustbin : Bakunin's basic writings, 1869-1871 /		http://example.org/1318946#Work	blank
From Russia to USSR : a narrative and documentary history /	Vaillant, Janet G.	Vaillant, Janet G. | From Russia to USSR : a narrative and documentary history /		http://example.org/1329058#Work	blank
Gastech 84 : Gastech 84 LNG/LPG Conference, November 6-9, 1984, Amsterdam.	Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)	Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland) | Gastech 84 : Gastech 84 LNG/LPG Conference, November 6-9, 1984, Amsterdam.		http://example.org/1002810#Work	blank
Généalogies de l'auto-organisation.	Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.	Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie. | Généalogies de l'auto-organisation.		http://example.org/1383488#Work	blank
Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)	Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.	Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie. | Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)		http://example.org/1383488#Work830-22	blank
Genetic manipulation for plant improvement /	White, D. W. R.	White, D. W. R. | Genetic manipulation for plant improvement /		http://example.org/1309985#Work	blank
DSIR discussion paper. ;	White, D. W. R.	White, D. W. R. | DSIR discussion paper. ;		http://example.org/1309985#Work830-24	blank
Genetics and breeding of triticale : proceedings of the 3rd EUCARPIA Meeting of the Cereal Section on Triticale = Génétique et sélection du triticale : comptes-rendus des conférences présentées au Congrès de la Section Céréales d'EUCARPIA sur le Triticale, INRA, Station d'Amélioration des Plantes, Clermont-Ferrand, France, 2-5 Juillet 1984 /	EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France)	EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France) | Genetics and breeding of triticale : proceedings of the 3rd EUCARPIA Meeting of the Cereal Section on Triticale = Génétique et sélection du triticale : comptes-rendus des conférences présentées au Congrès de la Section Céréales d'EUCARPIA sur le Triticale, INRA, Station d'Amélioration des Plantes, Clermont-Ferrand, France, 2-5 Juillet 1984 /		http://example.org/1359151#Work	blank
Génétique et sélection du triticale.		 | Génétique et sélection du triticale.		http://example.org/1359151#Work740-25	blank
Geology and offshore resources of Pacific island arcs--Tonga region /	Scholl, David W.	Scholl, David W. | Geology and offshore resources of Pacific island arcs--Tonga region /		http://example.org/1319655#Work	blank
Earth science series (Houston, Tex.) ;	Scholl, David W.	Scholl, David W. | Earth science series (Houston, Tex.) ;		http://example.org/1319655#Work830-27	blank
Geology in the field /	Compton, Robert R.	Compton, Robert R. | Geology in the field /		http://example.org/1350201#Work	blank
German woodcut in the 20th century.	Thiem, Gunther.	Thiem, Gunther. | German woodcut in the 20th century.		http://example.org/1371328#Work	blank
Glacial sedimentary environments /	Ashley, Gail Mowry.	Ashley, Gail Mowry. | Glacial sedimentary environments /		http://example.org/1298265#Work	blank
SEPM short course. ;	Ashley, Gail Mowry.	Ashley, Gail Mowry. | SEPM short course. ;		http://example.org/1298265#Work830-25	blank
[Glint glister]	Kyle, Hedi.	Kyle, Hedi. | [Glint glister]		http://example.org/1339679#Work	blank
Grade eight : educators information kit : Canada career week.		 | Grade eight : educators information kit : Canada career week.		http://example.org/1328569#Work	blank
Educators information kit, Canada career week.		 | Educators information kit, Canada career week.		http://example.org/1328569#Work740-21	blank
Great battlefields of the world /	Macdonald, John, 1945-	Macdonald, John, 1945-. | Great Battlefields of the World	309271442	http://example.org/1339768#Work	blank
GTAW handbook /	Minnick, William H.	Minnick, William H. | GTAW handbook /		http://example.org/1298603#Work	blank
Guide to documentary credit operations : including uniform customs and practice for documentary credits.	Boudinot, André.	Boudinot, André. | Guide to documentary credit operations : including uniform customs and practice for documentary credits.		http://example.org/1392757#Work	blank
Uniform customs and practice for documentary credits.		 | Uniform customs and practice for documentary credits.		http://example.org/1392757#Work740-28	blank
ICC standard credit application and credit forms.		 | ICC standard credit application and credit forms.		http://example.org/1392757#Work740-29	blank
Publication (International Chamber of Commerce) ;	Boudinot, André.	Boudinot, André. | Publication (International Chamber of Commerce) ;		http://example.org/1392757#Work830-30	blank
Guide to Korean culture /	Ha, Tae Hung.	Ha, Tae Hung. | Guide to Korean culture /		http://example.org/1385543#Work	blank
Günter Grass, Werk und Wirkung /	Grass, Günter, 1927-	Grass, Günter, 1927- | Günter Grass, Werk und Wirkung /		http://example.org/1002120#Work	blank
Sammlung Profile. ;	Grass, Günter, 1927-	Grass, Günter, 1927- | Sammlung Profile. ;		http://example.org/1002120#Work830-24	blank
Handbook of meat analysis /	Koniecko, Edward S., 1913-	Koniecko, Edward S., 1913- | Handbook of meat analysis /		http://example.org/1298993#Work	blank
Handbook for meat chemists.	Koniecko, Edward S., 1913-	Koniecko, Edward S., 1913- | Handbook for meat chemists	186660679	http://example.org/1298993#Work700-25	blank
Hannah : roman /	Sulitzer, Paul-Loup, 1946-	Sulitzer, Paul-Loup, 1946- | Hannah : roman /		http://example.org/1400896#Work	blank
Harbach harpsichord music of the 20th century.	Harbach, Barbara.	Harbach, Barbara. | Harbach harpsichord music of the 20th century.		http://example.org/1312517#Work	blank
Sonatas, harpsichord.	Adler, Samuel, 1928-	Adler, Samuel, 1928- | Sonatas, harpsichord	176414827	http://example.org/1312517#Work700-31	blank
Fancies, harpsichord.	Albright, William.	Albright, William. | Fancies, harpsichord. Danza ostinata	186563822	http://example.org/1312517#Work700-32	blank
Harpsichord music.	Martinů, Bohuslav, 1890-1959.	Martinů, Bohuslav, 1890-1959. | Harpsichord music	233547401	http://example.org/1312517#Work700-33	blank
Sonata, harpsichord, no. 7, op. 56.	Persichetti, Vincent, 1915-1987.	Persichetti, Vincent, 1915-1987. | Sonata, harpsichord, no. 7, op. 56.		http://example.org/1312517#Work700-34	blank
Bach goes to town.	Templeton, Alec Andrew, 1910-1963.	Templeton, Alec Andrew, 1910-1963. | Bach goes to town.		http://example.org/1312517#Work700-35	blank
Barbara Harbach performs music of the twentieth century.		 | Barbara Harbach performs music of the twentieth century.		http://example.org/1312517#Work740-36	blank
Harold Klunder : paintings = tableaux /	Paikowsky, Sandra, 1945-	Paikowsky, Sandra, 1945- | Harold Klunder : paintings = tableaux /		http://example.org/1337589#Work	blank
Health effects of welding fumes and gases /	Sampara, Paul.	Sampara, Paul. | Health effects of welding fumes and gases /		http://example.org/1372123#Work	blank
Health-related population issues : report of a study group, Brazzaville, 7-9 October 1985.	World Health Organization. Regional Office for Africa.	World Health Organization. Regional Office for Africa. | Health-related population issues : report of a study group, Brazzaville, 7-9 October 1985.		http://example.org/1348121#Work	blank
Helmut Löhr, Buchobjekte.	Löhr, Helmut, 1955-2010.	Löhr, Helmut, 1955-2010. | Helmut Löhr, Buchobjekte.		http://example.org/1333615#Work	blank
Henry's leg /	Pilling, Ann.	Pilling, Ann. | Henry's leg	309286301	http://example.org/1001724#Work	blank
Herbs and apples /	Santmyer, Helen Hooven, 1895-1986.	Santmyer, Helen Hooven, 1895-1986. | Herbs and apples /		http://example.org/1321220#Work	blank
Heritage north : proceedings of the first international conference, Yellowknife, Northwest Territories, September 1985 /	Bielawski, E.	Bielawski, E. | Heritage north : proceedings of the first international conference, Yellowknife, Northwest Territories, September 1985 /		http://example.org/1408285#Work	blank
Hispanic children's literature /	Pérez, Janet.	Pérez, Janet. | Hispanic children's literature /		http://example.org/1336681#Work	blank
Monographic review. ;	Pérez, Janet.	Pérez, Janet. | Monographic review. ;		http://example.org/1336681#Work830-26	blank
Histoires de cybernetique.		 | Histoires de cybernetique.		http://example.org/1380227#Work	blank
Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)		 | Cahier (Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie)		http://example.org/1380227#Work830-20	blank
Hitchcock as activist : politics and the war films /	Simone, Sam P., 1945-	Simone, Sam P., 1945- | Hitchcock as activist : politics and the war films /		http://example.org/1378225#Work	blank
Politics and the war films.		 | Politics and the war films.		http://example.org/1378225#Work740-26	blank
Studies in cinema. ;	Simone, Sam P., 1945-	Simone, Sam P., 1945- | Studies in cinema. ;		http://example.org/1378225#Work830-27	blank
Hoists and lifts /	Wilshere, E. R.	Wilshere, E. R. | Hoists and lifts /		http://example.org/1313298#Work	blank
Equipment for the disabled (Series)	Wilshere, E. R.	Wilshere, E. R. | Equipment for the disabled (Series)		http://example.org/1313298#Work830-31	blank
Hoòponopono : contemporary Uses of a Hawaiian problem-Solving process /	Shook, E. Victoria.	Shook, E. Victoria. | Hoòponopono : contemporary Uses of a Hawaiian problem-Solving process /		http://example.org/1382918#Work	blank
Contemporary uses of a Hawaiian problem-solving process.		 | Contemporary uses of a Hawaiian problem-solving process.		http://example.org/1382918#Work740-27	blank
Horizons	Fred Hersch Trio.	Fred Hersch Trio. | Horizons		http://example.org/1369450#Work	blank
How workplace chemicals enter the body /	Halton, David M. (David Michael), 1948-	Halton, David M. (David Michael), 1948- | How workplace chemicals enter the body /		http://example.org/1372115#Work	blank
Huai-nan tzu : philosophical synthesis in early Han thought : the idea of resonance (kan-ying) with a translation and analysis of chapter six = [Huai-nan tzu] /	Le Blanc, Charles.	Le Blanc, Charles. | Huai-nan tzu : philosophical synthesis in early Han thought : the idea of resonance (kan-ying) with a translation and analysis of chapter six = [Huai-nan tzu] /		http://example.org/1365454#Work	blank
Huai-nan tzu.	Huai-nan tzu, -122 B.C.	Huainan zi, m. 122 av. J.-C | Huainan zi	8.71454245730868E+019	http://example.org/1365454#Work600-23	blank
Haui-nan tzu. Selections. English. 1979.	Huai-nan tzu, -122 B.C.	Huai-nan tzu, -122 B.C. | Haui-nan tzu. Selections. English. 1979.		http://example.org/1365454#Work700-24	blank
Ausrottungskampf Ungarns gegen seine nationalen Minderheiten. English	Pâclişanu, Zenobius.	Pâclişanu, Zenobius. | Ausrottungskampf Ungarns gegen seine nationalen Minderheiten. English		http://example.org/1379603#Work	blank
Romanian historical studies. ;	Pâclişanu, Zenobius.	Pâclişanu, Zenobius. | Romanian historical studies. ;		http://example.org/1379603#Work830-29	blank
Hunger /	Le Magnen, Jacques.	Le Magnen, Jacques. | Hunger /		http://example.org/1353902#Work	blank
Problems in the behavioural sciences. ;	Le Magnen, Jacques.	Le Magnen, Jacques. | Problems in the behavioural sciences. ;		http://example.org/1353902#Work830-31	blank
Hydrothermal vents of the eastern Pacific : an overview /	Jones, Meredith L.	Jones, Meredith L. | Hydrothermal vents of the eastern Pacific : an overview /		http://example.org/1367064#Work	blank
Bulletin of the Biological Society of Washington. ;	Jones, Meredith L.	Jones, Meredith L. | Bulletin of the Biological Society of Washington. ;		http://example.org/1367064#Work830-25	blank
Iamblichus and the theory of the vehicle of the soul /	Finamore, John F., 1951-	Finamore, John F., 1951- | Iamblichus and the theory of the vehicle of the soul /		http://example.org/1401638#Work	blank
American classical studies ;	Finamore, John F., 1951-	Finamore, John F., 1951- | American classical studies ;		http://example.org/1401638#Work830-24	blank
Illustrated news : Juliana Horatia Ewing's Canadian pictures, 1867-1869 /	McDonald, Donna, 1942-	McDonald, Donna, 1942- | Illustrated news : Juliana Horatia Ewing's Canadian pictures, 1867-1869 /		http://example.org/1373720#Work	blank
Madrigals, book 5	Monteverdi, Claudio, 1567-1643.	Monteverdi, Claudio, 1567-1643. | Madrigals. book 5	175419739	http://example.org/1345144#Work	blank
Il Trentino nel Settecento fra Sacro Romano Impero e antichi stati italiani /	Mozzarelli, Cesare.	Mozzarelli, Cesare. | Il Trentino nel Settecento fra Sacro Romano Impero e antichi stati italiani /		http://example.org/1349153#Work	blank
Annali dell'Istituto storico italo-germanico. Quaderno. ;	Mozzarelli, Cesare.	Mozzarelli, Cesare. | Annali dell'Istituto storico italo-germanico. Quaderno. ;		http://example.org/1349153#Work830-28	blank
Menaechmi. Italian	Plautus, Titus Maccius.	Plautus, Titus Maccius. | Menaechmi. Italian		http://example.org/1306245#Work	blank
Testi e studi umanistici. ;	Plautus, Titus Maccius.	Plautus, Titus Maccius. | Testi e studi umanistici. ;		http://example.org/1306245#Work830-26	blank
Immigration to Alberta (overview from ... to ... ).	Alberta. Settlement Services.	Alberta. Settlement Services. | Immigration to Alberta (overview from ... to ... ).		http://example.org/1385748#Work	blank
Implementation for sustainability : lessons from integrated rural development /	Honadle, George.	Honadle, George. | Implementation for sustainability : lessons from integrated rural development /		http://example.org/1401550#Work	blank
Improving boiler efficiency /	Dukelow, S. G.	Dukelow, S. G. | Improving boiler efficiency /		http://example.org/1353280#Work	blank
Improvisation level 3 : collective creation improvision to script /	Blazuk, Julia.	Blazuk, Julia. | Improvisation level 3 : collective creation improvision to script /		http://example.org/1372937#Work	blank
Edmonton Public School Board handbooks ;	Blazuk, Julia.	Blazuk, Julia. | Edmonton Public School Board handbooks ;		http://example.org/1372937#Work830-25	blank
Indexing and searching in perspective /	Brenner, Everett H.	Brenner, Everett H. | Indexing and searching in perspective /		http://example.org/1335775#Work	blank
NFAIS/UNESCO indexing in perspective education kit.		 | NFAIS/UNESCO indexing in perspective education kit.		http://example.org/1335775#Work740-29	blank
Indoor air and human health /	Gammage, Richard B.	Gammage, Richard B. | Indoor air and human health /		http://example.org/1398455#Work	blank
In memory of our dearly loved and loyal friend Alice Rueter, 17 July 1968-16 March 1985.	Baudelaire, Charles, 1821-1867.	Baudelaire, Charles, 1821-1867. | In memory of our dearly loved and loyal friend Alice Rueter, 17 July 1968-16 March 1985.		http://example.org/1352960#Work	blank
C'est l'esprit familier du lieu.		 | C'est l'esprit familier du lieu.		http://example.org/1352960#Work740-22	blank
In memory of Robert Hunter Middleton, 1898-1985.	Horace.	Horace. | In memory of Robert Hunter Middleton, 1898-1985.		http://example.org/1352966#Work	blank
Sit mihi quod nunc est, etiam minus, et mihi vivam.		 | Sit mihi quod nunc est, etiam minus, et mihi vivam.		http://example.org/1352966#Work740-25	blank
Innovations and developments : a selection of projects.	Wotke, Herbert.	Wotke, Herbert. | Innovations and developments : a selection of projects.		http://example.org/1300365#Work	blank
Austria documentation.	Wotke, Herbert.	Wotke, Herbert. | Austria documentation.		http://example.org/1300365#Work830-24	blank
In search of the Trojan War /	Wood, Michael, 1948-	Wood, Michael, 1948-. | In search of the Trojan war	307978346	http://example.org/1347433#Work	blank
Institute on legal aspects of doing business in Canada and the United States /	Institute on Legal Aspects of Doing Business in Canada and the United States (1985 : Toronto, Ont.)	Institute on Legal Aspects of Doing Business in Canada and the United States (1985 : Toronto, Ont.) | Institute on legal aspects of doing business in Canada and the United States /		http://example.org/1001976#Work	blank
Institute on mine to market : the legal issues /	Bryden, William M.	Bryden, William M. | Institute on mine to market : the legal issues /		http://example.org/1321809#Work	blank
Mine to market.		 | Mine to market.		http://example.org/1321809#Work740-24	blank
The legal issues.		 | The legal issues.		http://example.org/1321809#Work740-25	blank
Institute on Oil and Gas Conservation Law and Practice /	Vanderwerf, Gretchen A.	Vanderwerf, Gretchen A. | Institute on Oil and Gas Conservation Law and Practice /		http://example.org/1325224#Work	blank
Organ music. Selections	Duruflé, Maurice, 1902-1986.	Duruflé, Maurice, 1902-1986. | Organ music. Selections	184289641	http://example.org/1378930#Work	blank
Integrated mountain development /	Singh, Tejvir, 1930-	Singh, Tejvir, 1930- | Integrated mountain development /		http://example.org/1298015#Work	blank
