Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
EUROGRAPHICS '85.		398149294302680521476	Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22EUROGRAPHICS%20'85.	http://example.org/1339335#Agent711-24	398149294302680521476	
World Eagle, Inc.		155859751	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22World%20Eagle,%20Inc.	http://example.org/1303935#Agent110-14	155859751	
Saunders, Duane	77839191	77839191	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Saunders,%20Duane.	http://example.org/1316903#Agent100-12		
Gourse, Leslie.	37027602	37027602	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gourse,%20Leslie.	http://example.org/1349670#Agent100-12		
Williams, Joe, 1918-1999	22339127	22339127	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Williams,%20Joe,%201918-1999.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Williams,%20Joe,%201918-1999.	121014091	http://example.org/1349670#Agent600-25
Rosson, Philip J.	59149034	59149034	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rosson,%20Philip%20J.	http://example.org/1342180#Agent700-21		
Clark, Joe, 1939-	67724915	135594287	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Dept.%20of%20External%20Affairs.	http://example.org/1342180#Agent710-22	135594287	
Dalhousie University. Centre for International Business Studies.		147666151	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dalhousie%20University.%20Centre%20for%20International%20Business %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Studies.	http://example.org/1342180#Agent710-23	147666151	
Londeix, Jean-Marie, 1932-....	112915967	112915967	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Londeix,%20Jean-Marie,%201932-	http://example.org/1328517#Agent100-12		
Henak, Richard M.	271615280	271615280	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Henak,%20Richard%20M.	http://example.org/1301990#Agent100-12		
Bede, the Venerable, Saint, 673-735	61539765	61539765	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wright,%20R.%20Thomas.	http://example.org/1301983#Agent100-12		
Bede, the Venerable, Saint, 673-735	61539765	61539765	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wright,%20R.%20Thomas.	http://example.org/1301987#Agent100-12		
Henak, Richard M.	271615280	271615280	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Henak,%20Richard%20M.	http://example.org/1301987#Agent700-26		
Larrain, Gilles	92026284	92026284	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Larrain,%20Gilles.	http://example.org/1371885#Agent700-21		
