Column 1	LC-ID-Per	LC-ID-names	org	Column 3	Column 4	LC-ID-Cor	Column 5
Massey, Vincent, 1887-1967	n82101630	n79043161	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22National%20Museums%20of%20Canada.	http://example.org/1387517#Agent710-25	n79043161	
Geller, Daniel S.	n85025474	n85025474	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Geller,%20Daniel%20S.	http://example.org/1319372#Agent100-12		
Henden, Neil.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Henden,%20Neil.	http://example.org/1336099#Agent100-10		
Griffith, D.W. David Wark 1875-1948	n79083582	n79083582	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Griffith,%20D.%20W.%20(David%20Wark),%201875-1948.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Griffith,%20D.%20W.%20(David%20Wark),%201875-1948.	n50057783	http://example.org/1380019#Agent600-23
Biograph Company.		n50070038	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Biograph%20Company.http://www.loc.gov/mads/rdf/v1#CorporateName	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Biograph%20Company.	n50070038	http://example.org/1380019#Agent610-24
Graham, Cooper C., 1938-....	n84214740	n84214740	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Graham,%20Cooper%20C.,%201938-	http://example.org/1380019#Agent700-25		
Somby, Áslak A.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Somby,%20Áslak%20A.	http://example.org/1330790#Agent100-14		
Somby, Karen K.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Somby,%20Karen%20K.	http://example.org/1330790#Agent700-30		
National Academy of Early Childhood Programs (U.S.)		n84199456	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22National%20Academy%20of%20Early%20Childhood%20Programs%20(U.S.)	http://example.org/1347059#Agent710-18	n84199456	
Kim, Chong-chʻŏl, 1923-	n82257859	n82257859	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kim,%20Chong-ch'ŏl,%201923-	http://example.org/1385419#Agent100-10		
Kamat, A. R., 1912-....	n50045084	n50045084	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kamat,%20A.%20R.,%201912-	http://example.org/1303997#Agent100-13		
Woods, Ngaire.	no96036999	n79150416	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commonwealth%20Secretariat.	http://example.org/1323221#Agent710-23	n79150416	
Wooster, Warren S. (Warren Scriver), 1921-2008	n83175698	n83175698	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wooster,%20Warren%20S.%20(Warren%20Scriver),%201921-	http://example.org/1001639#Agent700-23	no2016145780	
Fluharty, David L., 1946-	n85040493	n85040493	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fluharty,%20David%20L.,%201946-	http://example.org/1001639#Agent700-24		
Washington Sea Grant Program.		n50062754	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Washington%20Sea%20Grant%20Program.	http://example.org/1001639#Agent710-25	n50062754	
International Recruitment Investigations in the Subarctic (Group)		n85272892	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Recruitment%20Investigations%20in%20the%20Subarctic %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20(Group)	http://example.org/1001639#Agent710-26	n85272892	
García Méndez, Javier, 1945-2006	n88665823	n88665823	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22García%20Méndez,%20Javier,%201945-2006.	http://example.org/1326228#Agent100-12		
García Márquez, Gabriel, 1927-2014	n79063441	n79063441	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22García%20Márquez,%20Gabriel,%201927-2014.	http://example.org/1326228#Agent600-23		
Síndico, Doménico	n82013747	n82013747	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Síndico,%20Doménico.	http://example.org/1334445#Agent700-27		
Cerutti, Mario	n82163567	n82163567	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cerutti,%20Mario.	http://example.org/1334445#Agent700-28		
Kun, Miklós, 1946-	n86026255	n86026255	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hajnal,%20László%20Gábor.	http://example.org/1329424#Agent100-9		
Austen, Jane, 1775-1817.	n79032879	n79032879	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Austen,%20Jane,%201775-1817.	http://example.org/1339375#Agent100-9		
Squires, Darlene C.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Squires,%20Darlene%20C.	http://example.org/1328919#Agent100-9		
Arrom, José Juan, 1910-2007	n50001571	n50001571	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Arrom,%20José%20Juan,%201910-2007.	http://example.org/1361037#Agent100-12		
Bautista, Renato G.	n84168368	n84168368	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bautista,%20Renato%20G.	http://example.org/1344332#Agent700-20		
Wesely, Rolf J.	n86112595	n86112595	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wesely,%20Rolf%20J.	http://example.org/1344332#Agent700-21		
Metallurgical Society of AIME. Electrolytic Processes Committee.		n83187469	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Metallurgical%20Society%20of%20AIME.%20Electrolytic%20Processes %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Committee.	http://example.org/1344332#Agent710-22	n83187469	
AIME Meeting. (114th : 1985 : New York, N.Y.)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22AIME%20Meeting.%20(114th%20:%201985%20:%20New%20York,%20N.Y.)	http://example.org/1344332#Agent711-23		
Bach, Johann Sebastian, 1685-1750.	n79021425	n79021425	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bach,%20Johann%20Christian,%201735-1782.	http://example.org/1338676#Agent100-16	n86080304	
Fletcher, John Gould, 1886-1950	n79034407	n79034407	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Simon,%20Edwin%20J.	http://example.org/1338676#Agent700-29		
Drovetti, Bernardino, 1776-1852	n86107465	n86107465	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Drovetti,%20Bernardino,%201776-1852.	http://example.org/1000231#Agent100-13		
Drovetti, Bernardino, 1776-1852	n86107465	n86107465	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Drovetti,%20Bernardino,%201776-1852http://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Drovetti,%20Bernardino,%201776-1852		http://example.org/1000231#Agent600-25
Curto, Silvio	n82040905	n82040905	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Curto,%20Silvio.	http://example.org/1000231#Agent700-29		
Donatelli, Laura.	n86107467	n86107467	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Donatelli,%20Laura.	http://example.org/1000231#Agent700-30		
Sábato, Ernesto R.	n80028392	n80028392	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sábato,%20Ernesto%20Rhttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Sábato,%20Ernesto%20R		http://example.org/1403173#Agent600-22
Maturo, Graciela, 1928-	n84008792	n84008792	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Maturo,%20Graciela,%201928-	http://example.org/1403173#Agent700-23		
Centro de Estudios Latinoamericanos (Argentina)		n79067991	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Centro%20de%20Estudios%20Latinoamericanos%20(Argentina)	http://example.org/1403173#Agent710-24	n79067991	
Pärt, Arvo	n82003117	n82003117	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Pärt,%20Arvo.	http://example.org/1372606#Agent100-15	no95014731	
Arnim, Bettina von 1785-1859	n50001544	n50001544	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brentano,%20Clemens,%201778-1842http://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Brentano,%20Clemens,%201778-1842		http://example.org/1372606#Agent600-25
Arnim, Bettina von 1785-1859	n50001544	n50001544	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brentano,%20Clemens,%201778-1842.	http://example.org/1372606#Agent700-28		
Dahmen, Wolfgang, 1949-....	n89126157	n89126157	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dahmen,%20Wolfgang.	http://example.org/1327805#Agent100-14		
Québec (Province). Assemblée nationale. Commission permanente de la culture.		n86125618	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Québec%20(Province).%20Assemblée%20nationale.%20Commission%20permanente%20de%20la %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20culture.	http://example.org/1298184#Agent710-24	n86125618	
Rachmaninoff, Sergei, 1873-1943	n50054908	n50054908	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rachmaninoff,%20Sergei,%201873-1943.	http://example.org/1317439#Agent100-12		
Donohoe, Peter	n84172811	n84172811	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Donohoe,%20Peter.	http://example.org/1317439#Agent700-24	n81014580	
Rachmaninoff, Sergei, 1873-1943	n50054908	n50054908	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rachmaninoff,%20Sergei,%201873-1943.	http://example.org/1317439#Agent700-25		
EUROGRAPHICS '85 (1985 ; Nice, France)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22EUROGRAPHICS%20'85%20(1985%20;%20Nice,%20France)	http://example.org/1339335#Agent111-12		
Vandoni, C. E.	n80104490	n80104490	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vandoni,%20C.%20E.	http://example.org/1339335#Agent700-22		
European Association for Computer Graphics.		n80105702	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22European%20Association%20for%20Computer%20Graphics.	http://example.org/1339335#Agent710-23	n80105702	
EUROGRAPHICS '85.			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22EUROGRAPHICS%20'85.	http://example.org/1339335#Agent711-24		
World Eagle, Inc.		n82235245	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22World%20Eagle,%20Inc.	http://example.org/1303935#Agent110-14	n82235245	
Saunders, Duane	n87842975	n87842975	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Saunders,%20Duane.	http://example.org/1316903#Agent100-12		
Gourse, Leslie.	n83071567	n83071567	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gourse,%20Leslie.	http://example.org/1349670#Agent100-12		
Williams, Joe, 1918-1999	n83051519	n83051519	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Williams,%20Joe,%201918-1999.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Williams,%20Joe,%201918-1999.	n82026471	http://example.org/1349670#Agent600-25
Rosson, Philip J.	n86124130	n86124130	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rosson,%20Philip%20J.	http://example.org/1342180#Agent700-21		
Clark, Joe, 1939-	n78064599	n80126017	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Dept.%20of%20External%20Affairs.	http://example.org/1342180#Agent710-22	n80126017	
Dalhousie University. Centre for International Business Studies.		n78058170	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dalhousie%20University.%20Centre%20for%20International%20Business %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Studies.	http://example.org/1342180#Agent710-23	n78058170	
Londeix, Jean-Marie, 1932-....	n85178829	n85178829	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Londeix,%20Jean-Marie,%201932-	http://example.org/1328517#Agent100-12		
Henak, Richard M.	n79067946	n79067946	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Henak,%20Richard%20M.	http://example.org/1301990#Agent100-12		
Bede, the Venerable, Saint, 673-735	n80039744	n80039744	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wright,%20R.%20Thomas.	http://example.org/1301983#Agent100-12		
Bede, the Venerable, Saint, 673-735	n80039744	n80039744	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wright,%20R.%20Thomas.	http://example.org/1301987#Agent100-12		
Henak, Richard M.	n79067946	n79067946	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Henak,%20Richard%20M.	http://example.org/1301987#Agent700-26		
Larrain, Gilles	n84132143	n84132143	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Larrain,%20Gilles.	http://example.org/1371885#Agent700-21		
Clyne, Jim	n84132144	n84132144	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Clyne,%20Jim.	http://example.org/1371885#Agent700-22		
Sitwell, Edith, 1887-1964	n79018072	n79018072	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Walton,%20William,%201902-1983.	http://example.org/1373011#Agent100-13		
Sitwell, Edith, 1887-1964	n79018072	n79018072	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sitwell,%20Edith,%201887-1964.	http://example.org/1373011#Agent700-32		
Wilde, Oscar, 1854-1900.	n79042038	n79042038	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Strauss,%20Richard,%201864-1949.	http://example.org/1373011#Agent700-33	n81139912	
Scriabin, Aleksandr Nikolayevich, 1872-1915	n80086161	n80086161	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Scriabin,%20Aleksandr%20Nikolayevich,%201872-1915.	http://example.org/1373011#Agent700-34		
Nielsen, Carl, 1865-1931.	n83017365	n83017365	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nielsen,%20Carl,%201865-1931.	http://example.org/1373011#Agent700-35		
Kapp, Richard	n82047878	n90658256	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Chicago%20Pro%20Musica.,	http://example.org/1373011#Agent710-36	n90658256	
Deepak, B.R.	no2001053118	no2001053118	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ram,%20Bali.	http://example.org/1295879#Agent100-16		
Romaniuk, Anatole.	n90721210	n90721210	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Romani͡uk,%20A.	http://example.org/1295879#Agent700-30		
Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch.		n86816212	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Indian%20and%20Northern%20Affairs%20Canada.%20Corporate%20Policy. %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Research%20Branch.	http://example.org/1295879#Agent710-31	n86816212	
Canada. Dept. of Indian Affairs and Northern Development.		n81066121	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Dept.%20of%20Indian%20Affairs%20and%20Northern %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Development.	http://example.org/1295879#Agent710-32	n81066121	
Corak, Miles	n95102452	n82068132	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Statistics%20Canada.	http://example.org/1295879#Agent710-33	n82068132	
Yang, Emoretta	n2001060643	n2001060643	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Yang,%20Emoretta.	http://example.org/1346663#Agent100-10		
Korf, Kumi	n2001060644	n2001060644	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Korf,%20Kumi.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Korf,%20Kumi.		http://example.org/1346663#Agent600-20
Korf, Kumi	n2001060644	n2001060644	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Korf,%20Kumi.	http://example.org/1346663#Agent700-22		
Weis, Elisabeth, 1944-....	n50022781	n50022781	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Weis,%20Elisabeth,%201944-	http://example.org/1375638#Agent700-26		
Belton, John.	n82103059	n82103059	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Belton,%20John.	http://example.org/1375638#Agent700-27		
Franck, Irène M.	n79017204	n79017204	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Franck,%20Irene%20M.	http://example.org/1000802#Agent100-12		
Brownstone, David M.	n79053617	n79053617	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brownstone,%20David%20M.	http://example.org/1000802#Agent700-29		
Grunsell, Rob	n78024485	n78024485	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Grunsell,%20Rob.	http://example.org/1309360#Agent100-14		
Great Britain. School Curriculum Development Committee.		n85129883	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Great%20Britain.%20School%20Curriculum%20Development %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Committee.	http://example.org/1309360#Agent710-26	n85129883	
Fraser, George Macdonald, 1925-2008	n50025462	n50025462	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fraser,%20George%20MacDonald,%201925-2008.	http://example.org/1348705#Agent100-13		
Kobayashi, Terry, 1939-....	n83181186	n83181186	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kobayashi,%20Terry,%201939-	http://example.org/1386728#Agent100-13		
Bird, Michael S., 1941-....	n78011734	n78011734	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bird,%20Michael%20S.,%201941-	http://example.org/1386728#Agent700-25		
Sheridan, Richard Brinsley, 1751-1816.	n79089813	n79089813	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Price,%20Elizabeth.	http://example.org/1386728#Agent700-26		
Stagg, Ronald John, 1942-	n86844688	n79067576	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Ontario%20Heritage%20Foundation.	http://example.org/1386728#Agent710-27	n79067576	
McGill, Judith, 1959-	n90655916	n80051797	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Ontario.%20Ministry%20of%20Citizenship%20and%20Culture.	http://example.org/1386728#Agent710-28	n80051797	
Luke, Alexandra, 1901-1967	nr91037259	n82222358	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Robert%20McLaughlin%20Gallery.	http://example.org/1386728#Agent710-29	n82222358	
Alberta. Home Economics Branch.		n83233048	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta.%20Home%20Economics%20Branch.	http://example.org/1358427#Agent710-21	n83233048	
Saskatchewan Society for Education Through Art			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Saskatchewan%20Society%20for%20Education%20Through%20Arthttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Saskatchewan%20Society%20for%20Education%20Through%20Art		http://example.org/1373735#Agent610-21
Messer, Margaret	no2010086653	no2010086653	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Messer,%20Margaret.	http://example.org/1373735#Agent700-25		
Saskatchewan Society for Education Through Art.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Saskatchewan%20Society%20for%20Education%20Through%20Art.	http://example.org/1373735#Agent710-26		
Brainerd, Walter S.	n82105386	n82105386	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brainerd,%20Walter%20S.	http://example.org/1309894#Agent100-13		
Goldberg, Charles H.	n78035102	n78035102	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Goldberg,%20Charles%20H.	http://example.org/1309894#Agent700-24		
Gross, Jonathan L.	n82105387	n82105387	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gross,%20Jonathan%20L.	http://example.org/1309894#Agent700-25		
Rosenberg, M. R. (Marilyn R.)	n88639762	n88639762	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rosenberg,%20M.%20R.%20(Marilyn%20R.)	http://example.org/1375302#Agent100-10		
Rosenberg, M. R. (Marilyn R.)	n88639762	n88639762	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rosenberg,%20M.%20R.%20(Marilyn%20R.)http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Rosenberg,%20M.%20R.%20(Marilyn%20R.)		http://example.org/1375302#Agent600-19
Hibbert, Joyce, 1923-....	n79007537	n79007537	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hibbert,%20Joyce,%201923-	http://example.org/1373592#Agent100-15		
Caplan, Jay	n84167821	n84167821	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Caplan,%20Jay.	http://example.org/1001394#Agent100-15		
Holbach, Paul Henri Thiry, baron d', 1723-1789	n80106712	n80106712	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Diderot,%20Denis,%201713-1784http://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Diderot,%20Denis,%201713-1784		http://example.org/1001394#Agent600-26
Holbach, Paul Henri Thiry, baron d', 1723-1789	n80106712	n80106712	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Diderot,%20Denis,%201713-1784.	http://example.org/1001394#Agent600-27		
Peyton, K.M.	n79086499	n79086499	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Peyton,%20K.%20M.	http://example.org/1001989#Agent100-13		
Sendak, Maurice	n80015694	n80015694	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smith,%20Lesley.	http://example.org/1001989#Agent700-24		
Bakunin, Mikhail Aleksandrovich, 1814-1876	n79056734	n79056734	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bakunin,%20Mikhail%20Aleksandrovich,%201814-1876.	http://example.org/1318946#Agent100-14		
Cutler, Robert M.	n84057550	n84057550	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cutler,%20Robert%20M.	http://example.org/1318946#Agent700-26		
Vaillant, Janet G.	n88670099	n88670099	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vaillant,%20Janet%20G.	http://example.org/1329058#Agent100-11		
Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gastech%20LNG%20&amp;%20LPG%20Conference.%20(10th%20:%201984%20:%20Amsterdam, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Holland)	http://example.org/1002810#Agent111-10		
Gastech Ltd.		n83068668	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gastech%20Ltd.	http://example.org/1002810#Agent710-25	n83068668	
Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.		n85309907	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Ecole%20polytechnique%20(France).%20Centre%20de%20recherche%20sur %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20l'épistémologie%20et%20l'autonomie.	http://example.org/1383488#Agent710-21	n85309907	
Knox, Wilfred L. (Wilfred Lawrence), 1886-1950	n85822370	n85822370	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22White,%20D.%20W.%20R.	http://example.org/1309985#Agent700-22		
New Zealand. Dept. of Scientific and Industrial Research.		n80044901	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22New%20Zealand.%20Dept.%20of%20Scientific%20and%20Industrial %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Research.	http://example.org/1309985#Agent710-23	n80044901	
EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22EUCARPIA%20Meeting%20of%20the%20Cereal%20Section%20on%20Triticale%20(1984%20: %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Clermont-Ferrand,%20France)	http://example.org/1359151#Agent111-10		
Thomas, Aquinas, Saint, 1225?-1274	n78095790	n78095790	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bernard,%20S.	http://example.org/1359151#Agent700-22	n81032523	
Rousseau, Jean-Jacques, 1712-1778.	n79008220	n79008220	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bernard,%20M.%20(Michel)	http://example.org/1359151#Agent700-23		
Chisci, G.	n88065357	n50079561	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Eucarpia.	http://example.org/1359151#Agent710-24	n50079561	
Scholl, David W.	n82107688	n82107688	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Scholl,%20David%20W.	http://example.org/1319655#Agent700-24		
Vallier, Tracy L. (Tracy Lowell), 1936-	n77012851	n77012851	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vallier,%20T.%20L.%20(Tracy%20L.)	http://example.org/1319655#Agent700-25		
Circum-Pacific Council for Energy and Mineral Resources.		n82003044	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Circum-Pacific%20Council%20for%20Energy%20and%20Mineral %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Resources.	http://example.org/1319655#Agent710-26	n82003044	
Compton, Robert Harold	no97054018	no97054018	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Compton,%20Robert%20R.	http://example.org/1350201#Agent100-13		
Rössing, Karl, 1897-1987	n82025209	n82025209	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Thiem,%20Gunther.	http://example.org/1371328#Agent700-20		
Baselitz, Georg, 1938-....	n50018431	n80089854	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Institut%20für%20Auslandsbeziehungen.	http://example.org/1371328#Agent710-21	n80089854	
Ashley, Gail M. (Gail Mowry)	n88640906	n88640906	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ashley,%20Gail%20Mowry.	http://example.org/1298265#Agent700-21		
Tubb, E. C.	n86838800	n86838800	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Shaw,%20John,%20M.D.	http://example.org/1298265#Agent700-22		
Smith, Norman Kemp, 1872-1958	n81063044	n81063044	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smith,%20Norman%20Kemp,%201872-1958.	http://example.org/1298265#Agent700-23		
