Column 1	id	Column 2	Column 3	Column 4	Column 1
Cummins, Maureen.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cummins,%20Maureen.	http://example.org/1330813#Agent100-9	Cummins, Maureen.
Owechko, Iwan.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Owechko,%20Iwan.	http://example.org/1325902#Agent700-24	Owechko, Iwan.
Volodymyr, R., 1920-2007		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Volodymyr,%20R.,%201920-2007	http://example.org/1325902#Agent700-25	Volodymyr, R., 1920-2007
Tatchyn, Roman Orest.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Tatchyn,%20Roman%20Orest.	http://example.org/1325902#Agent700-26	Tatchyn, Roman Orest.
Schömel, Wolfgang.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schömel,%20Wolfgang.	http://example.org/1348752#Agent100-12	Schömel, Wolfgang.
Keyfitz, Nathan, 1913-2010.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Keyfitz,%20Nathan,%201913-2010.	http://example.org/1401909#Agent100-12	Keyfitz, Nathan, 1913-2010.
Gerald, Curtis F., 1915-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gerald,%20Curtis%20F.,%201915-	http://example.org/1340362#Agent100-10	Gerald, Curtis F., 1915-
Wheatley, Patrick O.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wheatley,%20Patrick%20O.	http://example.org/1340362#Agent700-23	Wheatley, Patrick O.
Bruce, C. J. (Christopher J.), 1948-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruce,%20C.%20J.%20(Christopher%20J.),%201948-	http://example.org/1359382#Agent100-13	Bruce, C. J. (Christopher J.), 1948-
Kerr, William A. (William Alexander)		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kerr,%20William%20A.%20(William%20Alexander)	http://example.org/1359382#Agent700-29	Kerr, William A. (William Alexander)
University of Calgary. Department of Economics	154689320	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Calgary.%20Dept.%20of%20Economics.	http://example.org/1359382#Agent710-30	University of Calgary. Department of Economics
Dikshit, K. N.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dikshit,%20K.%20N.	http://example.org/1345912#Agent700-22	Dikshit, K. N.
Indian Archaeological society	140146071	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Indian%20Archaeological%20Society.	http://example.org/1345912#Agent710-23	Indian Archaeological society
Ackerman, Robert E.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ackerman,%20Robert%20E.	http://example.org/1338625#Agent700-24	Ackerman, Robert E.
Young, Deborah A.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Young,%20Deborah%20A.	http://example.org/1405299#Agent100-11	Young, Deborah A.
Art gallery of Nova Scotia	158201313	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Art%20Gallery%20of%20Nova%20Scotia.	http://example.org/1405299#Agent710-27	Art gallery of Nova Scotia
