Column 1	fname	lname	ID	Column 2	Column 3
Vige, Bjørn E.	 Bjørn E	Vige		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vige,%20Bjørn%20E.
Dagsland, Sigvart 1963-	 Sigvart	Dagsland	129776750	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dagsland,%20Sigvart.
Hovland, Per Egil	 Per Egil	Hovland	8432148997616359870000	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hovland,%20Per%20Egil.
Nagell, Gylve Fenris 1971-	 Leif	Rygg	225217758	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rygg,%20Leif.
Endresen, Stein	 Stein	Endresen	9145971329532330158	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Endresen,%20Stein.
Odland, Nils Ole	 Nils	Odland	35149365915485600652	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Odland,%20Nils.
Sommerro, Henning	 Henning	Sommerro	70573426	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sommerro,%20Henning.
Nordby, Ingar Ben.	 Ben	Nordby	406149294366280522065	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nordby,%20Ben.
Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)	 NWT)	Wildlife Agreement Workshop (1985 : Yellowknife		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Wildlife%20Agreement%20Workshop%20(1985%20:%20Yellowknife, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20N.W.T.)
Cheezie, Gerry.	 Gerry	Cheezie		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cheezie,%20Gerry.
Trip-de-Roch, Emil.	 Emil	Trip-de-Roch		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Trip-de-Roch,%20Emil.
Dene/Metis Negotiations Secretariat.		Dene/Metis Negotiations Secretariat		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene/Metis%20Negotiations%20Secretariat.
Metis Association of the Northwest Territories.		Metis Association of the Northwest Territories		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Metis%20Association%20of%20the%20Northwest%20Territories.
Dalhart, Vernon, 1883-1948	 Marion	Hall	19864964	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hall,%20Marion.
Macintyre, Sally	 Sally	Macintyre	53154451	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Macintyre,%20Sally.
Frank, Bruno, 1887-1945.	 Maureen	Porter	37123104	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porter,%20Maureen.
Bodley, John H.	 John H	Bodley	85888789	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bodley,%20John%20H.
Giles, W. H., 1930-	 W H	Giles	73030295	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Giles,%20W.%20H.,%201930-
Laidler, David E. W., 1938-		Commission of the European Communities	108918401	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.
Cummins, Maureen	 Maureen	Cummins	11538624	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cummins,%20Maureen.
Owechko, Iwan	 Iwan	Owechko	25165878	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Owechko,%20Iwan.
