Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Heisler, Philipp Jakob, 1718-1781	52045637	52045637	1.0	Heisler, Philipp Jakob, 1718-1781			Person		http://example.org/1061155#Agent100-9
Büsch, Johann Georg, 1728-1800	76752134	76752134	1.0	Büsch, Johann Georg, 1728-1800			Person		http://example.org/1017381#Agent100-10
Hamburg (Germany) Handlungs-akademie				Hamburg (Germany) Handlungs-akademie			Jurisdiction		http://example.org/1017381#Agent610-18
Zerener, Friedrich Nikolaus, 1760-	61982684	61982684	0.8648648648648649	Zerener, Friedrich Nikolaus, 1760-			Person		http://example.org/1073871#Agent100-10
Schrank, Franz von Paula, 1747-1835	14922389	14922389	1.0	Schrank, Franz von Paula, 1747-1835			Person		http://example.org/1076267#Agent100-9
Auersperg, Johann, Graf von, active 1781				Auersperg, Johann, Graf von, active 1781			Person		http://example.org/1076267#Agent700-20
Apelt, Friedrich			;	Apelt, Friedrich			Person		http://example.org/1055456#Agent100-10
Vasubandhu	106968525	106968525	1.0	Vasubandhu			Person		http://example.org/1062996#Agent100-9
Yaśomitra	263561458	263561458	1.0	Yaśomitra			Person		http://example.org/1062996#Agent700-18
Dwarikadas Shastri, Swami	111885987	111885987	1.0	Dwarikadas Shastri, Swami			Person		http://example.org/1062996#Agent700-19
Hyde, Douglas, 1860-1949	12310055	12310055	1.0	Hyde, Douglas, 1860-1949			Person		http://example.org/1092619#Agent100-16
Schoolcraft, Henry Rowe, 1793-1864	7451014	7451014	1.0	Schoolcraft, Henry Rowe, 1793-1864			Person		http://example.org/1043554#Agent100-9
Palfrey, Thomas Rossman, 1895-1973	32042599	32042599	1.0	Palfrey, Thomas Rossman, 1895-1973			Person		http://example.org/1093034#Agent100-11
Fucilla, Joseph Guerin, 1897-1981	228136630	228136630	1.0	Fucilla, Joseph Guerin, 1897-1981			Person		http://example.org/1093034#Agent700-22
