title	duplicates	num
Grade 12 diploma examination.	430	grade12diplomae001albe_15
Grade 12 diploma examination.	430	grade12diplomae2000albe_2
Grade 12 diploma examination.	430	grade12diplomae998albe_13
Grade 12 diploma examination.	430	grade12diplomae996albe_15
Grade 12 diploma examination.	430	grade12diplomae1987albe_4
Grade 12 diploma examination.	430	grade12diplomae2002albe_1
Grade 12 diploma examination.	430	grade12diplomae1999albe_2
Grade 12 diploma examination.	430	grade12diplomae999albe_21
Grade 12 diploma examination.	430	grade12diplomae1992albe_8
Grade 12 diploma examination.	430	grade12diplomae1990albe_8
Grade 12 diploma examination.	430	grade12diplomae995albe_11
Grade 12 diploma examination.	430	grade12diplomae987albe_10
Grade 12 diploma examination.	430	grade12diplomae999albe_16
Grade 12 diploma examination.	430	grade12diplomae994albe_10
Grade 12 diploma examination.	430	grade12diplomae1985albe_2
Grade 12 diploma examination.	430	grade12diplomae993albe_16
Grade 12 diploma examination.	430	grade12diplomae985albe_18
Grade 12 diploma examination.	430	grade12diplomae1992albe_0
Grade 12 diploma examination.	430	grade12diplomae1995albe_4
Grade 12 diploma examination.	430	grade12diplomae989albe_22
Grade 12 diploma examination.	430	grade12diplomae998albe_22
Grade 12 diploma examination.	430	grade12diplomae989albe_15
Grade 12 diploma examination.	430	grade12diplomae1989albe_5
Grade 12 diploma examination.	430	grade12diplomae1988albe_8
Grade 12 diploma examination.	430	grade12diplomae1996albe_9
Grade 12 diploma examination.	430	grade12diplomae987albe_21
Grade 12 diploma examination.	430	grade12diplomae992albe_16
Grade 12 diploma examination.	430	grade12diplomae986albe_14
Grade 12 diploma examination.	430	grade12diplomae1988albe_4
Grade 12 diploma examination.	430	grade12diplomae999albe_10
Grade 12 diploma examination.	430	grade12diplomae996albe_10
Grade 12 diploma examination.	430	grade12diplomae2002albe_4
Grade 12 diploma examination.	430	grade12diplomaex1999albe
Grade 12 diploma examination.	430	grade12diplomae1991albe_4
Grade 12 diploma examination.	430	grade12diplomae994albe_18
Grade 12 diploma examination.	430	grade12diplomae997albe_21
Grade 12 diploma examination.	430	grade12diplomae1999albe_8
Grade 12 diploma examination.	430	grade12diplomae1986albe_7
Grade 12 diploma examination.	430	grade12diplomae987albe_20
Grade 12 diploma examination.	430	grade12diplomae1986albe_3
Grade 12 diploma examination.	430	grade12diplomae2002albe_5
Grade 12 diploma examination.	430	grade12diplomae1993albe_8
Grade 12 diploma examination.	430	grade12diplomae994albe_19
Grade 12 diploma examination.	430	grade12diplomae2000albe_1
Grade 12 diploma examination.	430	grade12diplomae1993albe_9
Grade 12 diploma examination.	430	grade12diplomae1990albe_9
Grade 12 diploma examination.	430	grade12diplomae000albe_17
Grade 12 diploma examination.	430	grade12diplomae1994albe_9
Grade 12 diploma examination.	430	grade12diplomae996albe_16
Grade 12 diploma examination.	430	grade12diplomae988albe_10
Grade 12 diploma examination.	430	grade12diplomaex1992albe
Grade 12 diploma examination.	430	grade12diplomae999albe_17
Grade 12 diploma examination.	430	grade12diplomae990albe_12
Grade 12 diploma examination.	430	grade12diplomae1987albe_3
Grade 12 diploma examination.	430	grade12diplomae1986albe_2
Grade 12 diploma examination.	430	grade12diplomae1987albe_1
Grade 12 diploma examination.	430	grade12diplomae1989albe_4
Grade 12 diploma examination.	430	grade12diplomae984albe_19
Grade 12 diploma examination.	430	grade12diplomae994albe_13
Grade 12 diploma examination.	430	grade12diplomaex2002albe
Grade 12 diploma examination.	430	grade12diplomae001albe_22
Grade 12 diploma examination.	430	grade12diplomae1988albe_6
Grade 12 diploma examination.	430	grade12diplomae991albe_10
Grade 12 diploma examination.	430	grade12diplomae990albe_19
Grade 12 diploma examination.	430	grade12diplomae1988albe_3
Grade 12 diploma examination.	430	grade12diplomae995albe_17
Grade 12 diploma examination.	430	grade12diplomae1992albe_6
Grade 12 diploma examination.	430	grade12diplomaex1993albe
Grade 12 diploma examination.	430	grade12diplomae994albe_16
Grade 12 diploma examination.	430	grade12diplomae984albe_11
Grade 12 diploma examination.	430	grade12diplomae996albe_19
Grade 12 diploma examination.	430	grade12diplomae987albe_19
Grade 12 diploma examination.	430	grade12diplomae001albe_13
Grade 12 diploma examination.	430	grade12diplomae1997albe_4
Grade 12 diploma examination.	430	grade12diplomae997albe_23
Grade 12 diploma examination.	430	grade12diplomae1998albe_8
Grade 12 diploma examination.	430	grade12diplomae992albe_20
Grade 12 diploma examination.	430	grade12diplomae1998albe_0
Grade 12 diploma examination.	430	grade12diplomae985albe_10
Grade 12 diploma examination.	430	grade12diplomae1986albe_1
Grade 12 diploma examination.	430	grade12diplomae1994albe_1
Grade 12 diploma examination.	430	grade12diplomae1996albe_0
Grade 12 diploma examination.	430	grade12diplomae1987albe_9
Grade 12 diploma examination.	430	grade12diplomae1991albe_5
Grade 12 diploma examination.	430	grade12diplomae989albe_11
Grade 12 diploma examination.	430	grade12diplomae1999albe_1
Grade 12 diploma examination.	430	grade12diplomae000albe_12
Grade 12 diploma examination.	430	grade12diplomaex1985albe
Grade 12 diploma examination.	430	grade12diplomae1995albe_0
Grade 12 diploma examination.	430	grade12diplomae997albe_12
Grade 12 diploma examination.	430	grade12diplomae1996albe_2
Grade 12 diploma examination.	430	grade12diplomae1985albe_0
Grade 12 diploma examination.	430	grade12diplomae1984albe_6
Grade 12 diploma examination.	430	grade12diplomae1999albe_7
Grade 12 diploma examination.	430	grade12diplomae990albe_11
Grade 12 diploma examination.	430	grade12diplomae2001albe_2
