Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
American Counseling Association			Organization		http://example.org/6679338#Agent710-35	http://id.loc.gov/authorities/names/no98096675
Finnbogason, Jack, 1942-	105436166	1	Person		http://example.org/6356389#Agent100-13	
Valleau, Al, 1946-	105440705	1	Person		http://example.org/6356389#Agent700-26	
Altman, Yair M	232138614	0.9333333333333333	Person		http://example.org/6786234#Agent100-14	http://id.loc.gov/authorities/names/n2011069164
Raby, Nigel	314914871	1	Person		http://example.org/6622213#Agent100-16	http://id.loc.gov/authorities/names/nb2005000837
Bianculli, Andrea, 1968-	310714733	1	Person		http://example.org/6813498#Agent100-18	http://id.loc.gov/authorities/names/n2014062606
Fernàndez-i-Marøn, Xavier			Person		http://example.org/6813498#Agent700-33	
Jordana, Jacint, 1962-	51935832	1	Person		http://example.org/6813498#Agent700-34	http://id.loc.gov/authorities/names/n88054253
Bellassen, Valentin	78811644	1	Person		http://example.org/6849309#Agent700-28	http://id.loc.gov/authorities/names/n2014071125
Stephan, Nicolas			Person		http://example.org/6849309#Agent700-29	http://id.loc.gov/authorities/names/n2014071126
Ramirez, Juan, 1961-	21593161	0.8695652173913043	Person		http://example.org/6812149#Agent100-28	http://id.loc.gov/authorities/names/n2007046685
Fundació Alícia			Organization		http://example.org/6749006#Agent110-14	
Bowden-Jones, Henrietta	309824926	1	Person		http://example.org/6813477#Agent700-37	http://id.loc.gov/authorities/names/n2014042932
George, Sanju	309824927	1	Person		http://example.org/6813477#Agent700-38	http://id.loc.gov/authorities/names/n2014042933
Danby, F. William	310617855	1	Person		http://example.org/6797127#Agent100-19	http://id.loc.gov/authorities/names/n2014187426
Shepherd, Megan	307165747	1	Person		http://example.org/6808121#Agent100-16	http://id.loc.gov/authorities/names/n2012017491
Shepherd, Megan	307165747	1	Person		http://example.org/6808121#Agent800-30	http://id.loc.gov/authorities/names/n2012017491
