name	ingest key	viaf ID	LC ID
Valentich, Mary.	http://example.org/1806609#Agent700-31	http://viaf.org/viaf/28375610	http://id.loc.gov/authorities/names/n80092425
McAdam, David, 1838-1901.	http://example.org/3129145#Agent100-11	http://viaf.org/viaf/234703979	http://id.loc.gov/authorities/names/n85221103
MacGregor, James, -1551.	http://example.org/3129556#Agent700-24	http://viaf.org/viaf/89805808	http://id.loc.gov/authorities/names/n85252181
Davidge, Kenneth D.	http://example.org/2131005#Agent700-24	http://viaf.org/viaf/31654521	http://id.loc.gov/authorities/names/no2001095305
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812247#Agent710-29	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812283#Agent710-28	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812304#Agent710-27	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812306#Agent710-27	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812307#Agent710-28	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812308#Agent710-28	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
United States. Bureau of Land Management. Alaska State Office.	http://example.org/1812314#Agent710-26	http://viaf.org/viaf/155828908	http://id.loc.gov/authorities/names/n80165362
Quilty, P. G.	http://example.org/1991895#Agent100-13	http://viaf.org/viaf/93229373	http://id.loc.gov/authorities/names/n88640603
Quilty, P. G.	http://example.org/1991903#Agent100-11	http://viaf.org/viaf/93229373	http://id.loc.gov/authorities/names/n88640603
Jingfors, Kent.	http://example.org/2131006#Agent100-11	http://viaf.org/viaf/33513464	http://id.loc.gov/authorities/names/n87152841
Williams, T. Mark.	http://example.org/2130927#Agent100-11	http://viaf.org/viaf/9502535	http://id.loc.gov/authorities/names/no2001091935
Harper, J. R. (John Reed), 1951-	http://example.org/2060803#Agent100-15	http://viaf.org/viaf/70533892	http://id.loc.gov/authorities/names/n89610269
Canada. Patent Office.	http://example.org/2571961#Agent710-27	http://viaf.org/viaf/157021926	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n89652977
Canada. Patent Office.	http://example.org/2575209#Agent710-26	http://viaf.org/viaf/157021926	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n89652977
Ferguson, Michael A. D.	http://example.org/2130918#Agent100-11	http://viaf.org/viaf/68602162	http://id.loc.gov/authorities/names/no2002069719
Lunar and Planetary Institute.	http://example.org/2241647#Agent710-24	http://viaf.org/viaf/145217868	http://id.loc.gov/authorities/names/n78033961
Owens, E. H.	http://example.org/2060803#Agent700-30	http://viaf.org/viaf/4046139	http://id.loc.gov/authorities/names/n88620194
Teignmouth, John Shore, Baron, 1751-1834.	http://example.org/3129577#Agent700-22	http://viaf.org/viaf/35238861	http://id.loc.gov/authorities/names/n82094577
Doane, William Croswell, 1832-1913.	http://example.org/3129068#Agent700-24	http://viaf.org/viaf/53133671	http://id.loc.gov/authorities/names/n85221156
Yeung, Patrick, 1937-	http://example.org/1939110#Agent700-30	http://viaf.org/viaf/92942893	http://id.loc.gov/authorities/names/n85119609
Geonautics Limited.	http://example.org/2060378#Agent710-27	http://viaf.org/viaf/137140177	http://id.loc.gov/authorities/names/n90658550
Atomic Energy of Canada Limited.	http://example.org/2569355#Agent710-27	http://viaf.org/viaf/143954976	http://id.loc.gov/authorities/names/n50074670
Atomic Energy of Canada Limited.	http://example.org/2569472#Agent710-33	http://viaf.org/viaf/143954976	http://id.loc.gov/authorities/names/n50074670
Atomic Energy of Canada Limited.	http://example.org/2569599#Agent710-26	http://viaf.org/viaf/143954976	http://id.loc.gov/authorities/names/n50074670
Atomic Energy of Canada Limited.	http://example.org/2571961#Agent710-26	http://viaf.org/viaf/143954976	http://id.loc.gov/authorities/names/n50074670
Robinson, Scott.	http://example.org/1812247#Agent700-28	http://viaf.org/viaf/93387168	http://id.loc.gov/authorities/names/nr93046833
Rodgers, Joan.	http://example.org/3810077#Agent100-8	http://viaf.org/viaf/39571137	http://id.loc.gov/authorities/names/nr91015827
Hosie, Graham William.	http://example.org/2014261#Agent700-22	http://viaf.org/viaf/11472796	http://id.loc.gov/authorities/names/n90694348
Aspen Systems Corporation.	http://example.org/2730647#Agent710-43	http://viaf.org/viaf/137217671	http://id.loc.gov/authorities/names/n81086882
University of California Press.	http://example.org/2716203#Agent710-27	http://viaf.org/viaf/148948307	http://id.loc.gov/authorities/names/n82118305
Andrew, John A. (John Albion), 1818-1867.	http://example.org/3128852#Agent600-20	http://viaf.org/viaf/20039845	http://id.loc.gov/authorities/names/n85363531
Reid, J. S.	http://example.org/1991892#Agent100-12	http://viaf.org/viaf/276543345	http://id.loc.gov/authorities/names/no96047424
Calamari, D.	http://example.org/3155262#Agent100-12	http://viaf.org/viaf/121754935	http://id.loc.gov/authorities/names/n79004796
Ingalls, Henry, 1819-1896.	http://example.org/3129158#Agent600-20	http://viaf.org/viaf/3917086	http://id.loc.gov/authorities/names/n85221127
Throckmorton, Nicholas, Sir, 1515-1571,	http://example.org/3129574#Agent700-32	http://viaf.org/viaf/28500442	http://id.loc.gov/authorities/names/n85088926
Cleland, Dunsmuir Consulting Ltd.	http://example.org/1935273#Agent710-28	http://viaf.org/viaf/126801823	http://id.loc.gov/authorities/names/n91009904
Jhering, Rudolf von, 1818-1892.	http://example.org/3825414#Agent100-16	http://viaf.org/viaf/84101514	http://id.loc.gov/authorities/names/n83033048
Shibuya, Kazuo.	http://example.org/1980403#Agent700-24	http://viaf.org/viaf/50808232	http://id.loc.gov/authorities/names/n88657113
Hoadley, J. C. (John Chipman), 1818-1886.	http://example.org/3128698#Agent700-26	http://viaf.org/viaf/30998881	http://id.loc.gov/authorities/names/n85363383
