Column 1	uri	test	Column 3	acc	Column 5
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/25/14/np/30/2514np306		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2j/62/s5/18/2j62s518h		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2v/23/vx/57/2v23vx57f		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/31/97/xp/77/3197xp77g		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3r/07/4x/89/3r074x898		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/41/68/7m/55/41687m55f		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4x/51/hm/92/4x51hm92p		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5q/47/rp/83/5q47rp83p		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5t/34/sk/06/5t34sk06t		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/66/82/x5/23/6682x523q		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/69/69/z3/62/6969z3624		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6h/44/0w/49/6h440w491		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/73/66/65/83/73666583q	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7m/01/bm/26/7m01bm266		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/hz/13/8623hz13r	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9p/29/0d/12/9p290d12d		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b4/74/29/93/b47429932q		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b4/t6/4g/n3/b4t64gn36s		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b6/10/8v/b3/b6108vb39f		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b6/68/2x/41/b6682x414w		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b8/33/6h/19/b8336h196b		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b9/59/3t/v2/b9593tv288		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b9/c6/7w/m9/b9c67wm90b	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bb/27/73/v7/bb2773v775		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bb/z6/0c/w3/bbz60cw34c		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/53/4f/p0/bc534fp063		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/82/1g/j9/bc821gj99d		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/j8/2k/73/bcj82k7335	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/n6/9m/42/bcn69m427v		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/v4/3n/x0/bcv43nx02t		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bd/79/1s/g3/bd791sg308		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bd/n3/9x/16/bdn39x161w		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bd/z0/10/q2/bdz010q23s		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bf/18/81/m0/bf1881m08v		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bg/73/2d/91/bg732d919h		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/t2/4w/j4/bht24wj47b	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/x1/1x/f4/bhx11xf47g		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bj/w8/27/b8/bjw827b884	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bm/61/3m/x7/bm613mx701		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bm/g7/4q/m2/bmg74qm273		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bp/55/47/r4/bp5547r423	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bp/84/18/n3/bp8418n35w		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bp/v6/3g/04/bpv63g044w		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bp/v6/3g/05/bpv63g055g		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/br/n3/01/14/brn3011488		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bs/17/84/k8/bs1784k880		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bt/t4/4p/m9/btt44pm96j		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bv/m4/0x/r7/bvm40xr78s		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bv/x0/21/f2/bvx021f26z		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bw/m1/17/p2/bwm117p260		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bx/05/9c/75/bx059c7513		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bx/34/6d/42/bx346d422q		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bx/k8/1j/k4/bxk81jk440		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bx/p6/8k/g3/bxp68kg37c		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/g6/4t/m1/bzg64tm13r		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/k2/25/b4/c0k225b437	http://terms.library.ualberta.ca/public	| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
