s,m
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/gq/67/jt/75/gq67jt759,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/hm/50/tv/57/hm50tv57q,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/j6/73/16/55/j67316553,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/n8/70/zt/96/n870zt96j,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/qf/85/nf/23/qf85nf23d,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/s4/65/5k/47/s4655k47n,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/vh/53/wz/11/vh53wz11m,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/vt/15/0n/01/vt150n01h,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/vx/02/1h/98/vx021h98n,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/wh/24/6v/79/wh246v792,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/x0/59/c9/98/x059c998t,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/xg/94/hs/49/xg94hs495,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/bq/f8/5n/b4/bqf85nb481,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/bx/p6/8k/g4/bxp68kg423,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/bz/60/d0/20/bz60d020f,IRCommunity
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/0c/48/3m/90/0c483m90p,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/0c/48/3n/01/0c483n010,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/0v/83/83/13/0v8383131,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/18/31/cn/70/1831cn70j,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/25/14/np/17/2514np17n,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/2f/75/rb/86/2f75rb86t,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/2j/62/s7/55/2j62s7552,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/34/84/zk/85/3484zk85d,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/3j/33/34/83/3j3334831,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/3j/33/34/85/3j333485k,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/3r/07/4x/80/3r074x80s,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/3x/81/6q/47/3x816q476,IRCollection
http://uat.library.ualberta.ca:8080/fcrepo/rest/uat/41/68/7m/44/41687m44x,IRCollection
