Column 1	VIAFP	VIAF-ID	score	Cor	VIAFC	score-c	Column 2	Column 3	Column 4	blank
Bisenov, Khamid Izneevich				Bisenov, Khamid Izneevich			Person		http://example.org/1061310#Agent700-21	
Sikorskiĭ, Vsevolod Mikhaĭlovich				Sikorskiĭ, Vsevolod Mikhaĭlovich			Person		http://example.org/1038618#Agent100-10	
Kosit͡syn, A. P. (Aleksandr Pavlovich)	108864506	108864506	0.9487179487	Kosit͡syn, A. P. (Aleksandr Pavlovich)			Person		http://example.org/1042291#Agent100-10	
Mikhaĭlov, M. (Mark Vladimirovich)	73713199	73713199	0.9428571429	Mikhaĭlov, M. (Mark Vladimirovich)			Person		http://example.org/1040654#Agent100-10	
Motylev, Aleksandr Samuilovich	77634225	77634225	1	Motylev, Aleksandr Samuilovich			Person		http://example.org/1040654#Agent700-21	
Surin, Vladimir Ivanovich	1341775	1341775	1	Surin, Vladimir Ivanovich			Person		http://example.org/1040677#Agent100-10	
Chkhikvadze, V. M				Chkhikvadze, V. M			Person		http://example.org/1040005#Agent700-21	
Plekhanov, Georgiĭ Valentinovich, 1856-1918	27208870	27208870	1	Plekhanov, Georgiĭ Valentinovich, 1856-1918			Person		http://example.org/1038573#Agent100-10	
Poli͡anskiĭ, F. I͡A. (Fedor I͡Akovlevich)	108323956	108323956	0.8636363636	Poli͡anskiĭ, F. I͡A. (Fedor I͡Akovlevich)			Person		http://example.org/1037926#Agent100-10	
Kumanev, V. (Viktor)	66883692	66883692	1	Kumanev, V. (Viktor)			Person		http://example.org/1071239#Agent100-11	
Okhrimenko, I͡Uriĭ Moĭseĭovych				Okhrimenko, I͡Uriĭ Moĭseĭovych			Person		http://example.org/1025319#Agent100-10	
Catholic Church				Catholic Church			Organization		http://example.org/1025319#Agent610-19	
United Nations		144904638		United Nations	144904638	0.9333333333	Organization		http://example.org/1054999#Agent610-18	
Nesterenko, A. E				Nesterenko, A. E			Person		http://example.org/1054999#Agent700-19	
Institut mezhdunarodnogo rabochego dvizhenii͡a (Akademii͡a nauk SSSR)		144830138		Institut mezhdunarodnogo rabochego dvizhenii͡a (Akademii͡a nauk SSSR)	144830138	0.9436619718	Organization		http://example.org/1054999#Agent710-20	
Proshnev, Boris Fedorovich				Proshnev, Boris Fedorovich			Person		http://example.org/1023034#Agent100-10	
Lenin, Vladimir Ilʹich, 1870-1924	7393146	7393146	0.9428571429	Lenin, Vladimir Ilʹich, 1870-1924			Person		http://example.org/1023034#Agent600-19	
Boĭko, V. I. (Vladimir Ivanovich)	23701277	23701277	0.9411764706	Boĭko, V. I. (Vladimir Ivanovich)			Person		http://example.org/1028351#Agent700-20	
Institut istorii, filologii i filosofii (Akademii͡a nauk SSSR)		127300823		Institut istorii, filologii i filosofii (Akademii͡a nauk SSSR)	127300823	0.9682539683	Organization		http://example.org/1028351#Agent710-21	
Nadelʹ, S. N. (Semen Naumovich)	184285531	184285531	1	Nadelʹ, S. N. (Semen Naumovich)			Person		http://example.org/1034013#Agent100-10	
Klokman, I͡U. R				Klokman, I͡U. R			Person		http://example.org/1031590#Agent100-11	
Polozov, Vladimir Romanovich				Polozov, Vladimir Romanovich			Person		http://example.org/1001535#Agent100-11	
Pavlov, V. I. (Vladimir Ivanovich)	19800625	19800625	1	Pavlov, V. I. (Vladimir Ivanovich)			Person		http://example.org/1010755#Agent100-12	
Salishchev, Konstantin Alekseevich	204334636	204334636	1	Salishchev, Konstantin Alekseevich			Person		http://example.org/1007661#Agent700-20	
Saushkin, I͡Ulian Glebovich				Saushkin, I͡Ulian Glebovich			Person		http://example.org/1007661#Agent700-21	
Strongina, Maii͡a Lʹvovna				Strongina, Maii͡a Lʹvovna			Person		http://example.org/1031595#Agent100-11	
Prokhorov, Stepan Ivanovich				Prokhorov, Stepan Ivanovich			Person		http://example.org/1000405#Agent100-11	
Akademii͡a nauk SSSR. Otdelenie ėkonomicheskikh, filosofskikh i pravovykh nauk		151284907		Akademii͡a nauk SSSR. Otdelenie ėkonomicheskikh, filosofskikh i pravovykh nauk	151284907	0.9746835443	Organization		http://example.org/1000356#Agent110-10	
Dʹi͡achenko, V. P. (Vasiliĭ Petrovich), 1902-1971				Dʹi͡achenko, V. P. (Vasiliĭ Petrovich), 1902-1971			Person		http://example.org/1000356#Agent700-21	
Kunelʹskiĭ, L. Ė. (Leonid Ėmmanuilovich)	110008656	110008656	1	Kunelʹskiĭ, L. Ė. (Leonid Ėmmanuilovich)			Person		http://example.org/1024984#Agent100-11	
Zhitov, K. E., 1904-	111419349	111419349	1	Zhitov, K. E., 1904-			Person		http://example.org/1010206#Agent700-21	
Zii͡aev, Kh. Z. (Khamid Zii͡aevich)	112236891	112236891	0.8918918919	Zii͡aev, Kh. Z. (Khamid Zii͡aevich)			Person		http://example.org/1010206#Agent700-22	
I͡Uldashev, Abdusali͡am Maksudovich				I͡Uldashev, Abdusali͡am Maksudovich			Person		http://example.org/1010206#Agent700-23	
Tarikh instituti (Ŭzbekiston SSR fanlar akademii͡asi)				Tarikh instituti (Ŭzbekiston SSR fanlar akademii͡asi)			Organization		http://example.org/1010206#Agent710-24	
Z͡Huchenko, Volodymyr Semenovych				Z͡Huchenko, Volodymyr Semenovych			Person		http://example.org/1071573#Agent100-11	
Ostri͡akov, Viktor Vasilʹevich				Ostri͡akov, Viktor Vasilʹevich			Person		http://example.org/1049908#Agent100-10	
Kommunisticheskai͡a partii͡a Sovetskogo Soi͡uza		125435541		Kommunisticheskai͡a partii͡a Sovetskogo Soi͡uza	125435541	0.88	Organization		http://example.org/1049908#Agent610-19	
Stepanovičius, Albinas				Stepanovičius, Albinas			Person		http://example.org/1049908#Agent700-21	
Deborin, A. M. (Abram Moiseevich), 1881-1963	803336	803336	1	Deborin, A. M. (Abram Moiseevich), 1881-1963			Person		http://example.org/1040916#Agent100-10	
Aleksandrov, V. S	235959757	235959757	0.8823529412	Aleksandrov, V. S			Person		http://example.org/1028320#Agent700-23	
Lashin, A. G. (Anatoliĭ Grigorʹevich)	117673274	117673274	1	Lashin, A. G. (Anatoliĭ Grigorʹevich)			Person		http://example.org/1028320#Agent700-24	
Horovsʹkyĭ, Froïm I͡Akovych	114958277	114958277	0.9285714286	Horovsʹkyĭ, Froïm I͡Akovych			Person		http://example.org/1041659#Agent100-10	
Penʹkov, E. M	65434949	65434949	0.9285714286	Penʹkov, E. M			Person		http://example.org/1040660#Agent100-10	
Rutkevich, M. N. (Mikhail Nikolaevich)	192557181	192557181	1	Rutkevich, M. N. (Mikhail Nikolaevich)			Person		http://example.org/1028316#Agent100-11	
Filippov, Friedrikh Rafailovich				Filippov, Friedrikh Rafailovich			Person		http://example.org/1028316#Agent700-22	
Timofeev, Viktor Dmitrievich	111588705	111588705	1	Timofeev, Viktor Dmitrievich			Person		http://example.org/1038152#Agent100-10	
Shti͡uka, V. G. (Vladimir Georgievich)	38233811	38233811	0.9487179487	Shti͡uka, V. G. (Vladimir Georgievich)			Person		http://example.org/1028348#Agent100-10	
Osipov, G. V. (Gennadiĭ Vasilʹevich), 1929-				Osipov, G. V. (Gennadiĭ Vasilʹevich), 1929-			Person		http://example.org/1001547#Agent700-25	
Szczepański, Jan, 1913-2004	89568756	89568756	0.9642857143	Szczepański, Jan, 1913-2004			Person		http://example.org/1001547#Agent700-26	
Akademii͡a nauk SSSR. Institut konkretnyki, sot͡sialʹnykh issledovaniĭ				Akademii͡a nauk SSSR. Institut konkretnyki, sot͡sialʹnykh issledovaniĭ			Organization		http://example.org/1001547#Agent710-27	
Polskia Akademia Nauk. Instytut Filozofii i Socjologii				Polskia Akademia Nauk. Instytut Filozofii i Socjologii			Organization		http://example.org/1001547#Agent710-28	
Kobishchanov, I͡Uriĭ Mikhaĭlovich	292027111	292027111	0.9411764706	Kobishchanov, I͡Uriĭ Mikhaĭlovich			Person		http://example.org/1026809#Agent700-21	
Kubbelʹ, L. E	35269229	35269229	0.8461538462	Kubbelʹ, L. E			Person		http://example.org/1026809#Agent700-22	
Institut Afriki (Akademii͡a nauk SSSR)		146036771		Institut Afriki (Akademii͡a nauk SSSR)	146036771	0.9487179487	Organization		http://example.org/1026809#Agent710-23	
Popov, Sergeĭ Ivanovich	15822118	15822118	1	Popov, Sergeĭ Ivanovich			Person		http://example.org/1038238#Agent100-10	
Fedenko, Panas	27531304	27531304	1	Fedenko, Panas			Person		http://example.org/1036772#Agent100-10	
Tʻbilisi (Georgia). Universitet				Tʻbilisi (Georgia). Universitet			Jurisdiction		http://example.org/1022543#Agent710-19	
Shubkin, V. N. (Vladimir Nikolaevich)	261055750	261055750	1	Shubkin, V. N. (Vladimir Nikolaevich)			Person		http://example.org/1023700#Agent100-10	
Konstantinov, F. V				Konstantinov, F. V			Person		http://example.org/1040292#Agent700-22	
