Column 1	LC-ID	match-ID	score	VIAF-C	VIAF-IDC	score-c	org	Column 3	Column 4	blank
Europe				Europe			Organization		http://example.org/1010141#Agent610-19	
Goodwin, Albert.				Goodwin, Albert.			Person		http://example.org/1046635#Agent100-15	
Goodwin, Albert,				Goodwin, Albert,			Person		http://example.org/1043175#Agent100-11	
Goodwin, Albert.				Goodwin, Albert.			Person		http://example.org/1043178#Agent100-11	
Williams, Peter, 1937 May 14-	101043313	101043313	1	Williams, Peter, 1937 May 14-			Person		http://example.org/1083100#Agent100-13	
Myres, M. T. (Miles Timothy), 1931-				Myres, M. T. (Miles Timothy), 1931-			Person		http://example.org/1046813#Agent100-11	
International Confederation of Free Trade Unions.		155182982		International Confederation of Free Trade Unions.	155182982	1	Organization		http://example.org/1000492#Agent110-11	
International Confederation of Free Trade Unions.		155182982		International Confederation of Free Trade Unions.	155182982	1	Organization		http://example.org/1000492#Agent610-20	
Standing Conference of Rectors and Vice-Chancellors of the European Universities, Bologna, 1974.				Standing Conference of Rectors and Vice-Chancellors of the European Universities, Bologna, 1974.			Meeting		http://example.org/107662#Agent111-12	
Council of Europe.				Council of Europe.			Organization		http://example.org/1071825#Agent710-19	
Beyerly, Elizabeth.	32040603	32040603	1	Beyerly, Elizabeth.			Person		http://example.org/1045016#Agent100-12	
Duby, Georges.				Duby, Georges.			Person		http://example.org/1084264#Agent100-16	
American Podiatry Association.		136616550		American Podiatry Association.	136616550	0.9666666667	Organization		http://example.org/1043010#Agent110-11	
Shaw, Alan H.,	14592761	14592761	0.9285714286	Shaw, Alan H.,			Person		http://example.org/1043010#Agent700-20	
Fear, Richard A.	65344455	65344455	1	Fear, Richard A.			Person		http://example.org/1012387#Agent100-12	
Walrath, Arthur J. (Arthur Joseph), 1913-	1634923	1634923	1	Walrath, Arthur J. (Arthur Joseph), 1913-			Person		http://example.org/1019078#Agent100-13	
Gibson, W. L. (William Lloyd), 1910- ,	112386541	112386541	0.9473684211	Gibson, W. L. (William Lloyd), 1910- ,			Person		http://example.org/1019078#Agent700-25	
Virginia Polytechnic Institute. Agricultural and Life Sciences.				Virginia Polytechnic Institute. Agricultural and Life Sciences.			Organization		http://example.org/1019078#Agent710-26	
Colwell, Richard.	111184200	111184200	0.9411764706	Colwell, Richard.			Person		http://example.org/1075382#Agent100-16	
Eckstein, Harry.	109096226	109096226	0.9375	Eckstein, Harry.			Person		http://example.org/1040165#Agent100-13	
Gershman, Janis, 1950-	103955403	103955403	1	Gershman, Janis, 1950-			Person		http://example.org/100650#Agent100-9	
National Education Association of the United States. Dept. of Supervisors and Directors of Instruction.		151256422		National Education Association of the United States. Dept. of Supervisors and Directors of Instruction.	151256422	0.9345794393	Organization		http://example.org/1067085#Agent110-10	
Woody, Clifford, 1884-1948.				Woody, Clifford, 1884-1948.			Person		http://example.org/1067085#Agent700-19	
Beecher, Dwight E. (Dwight Everett), 1901-	277462859	277462859	1	Beecher, Dwight E. (Dwight Everett), 1901-			Person		http://example.org/1069906#Agent100-10	
Lewis, Gertrude M. (Gertrude Minnie), 1896-1996.	92057060	92057060	0.9791666667	Lewis, Gertrude M. (Gertrude Minnie), 1896-1996.			Person		http://example.org/1059615#Agent100-10	
National Education Association of the United States. Department of Elementary-Kindergarten-Nursery Education.		147270098		National Education Association of the United States. Department of Elementary-Kindergarten-Nursery Education.	147270098	0.9908256881	Organization		http://example.org/1059615#Agent710-19	
College of Family Physicians of Canada.		154715550		College of Family Physicians of Canada.	154715550	0.9743589744	Organization		http://example.org/1059847#Agent110-9	
Stanley, Robert A., 1929-	53436784	53436784	1	Stanley, Robert A., 1929-			Person		http://example.org/1059847#Agent700-20	
Connolly, Cyril, 1903-1974.	22140262	22140262	0.962962963	Connolly, Cyril, 1903-1974.			Person		http://example.org/1005226#Agent100-10	
Colette, 1873-1954.	68937443	68937443	1	Colette, 1873-1954.			Person		http://example.org/1027459#Agent100-12	
Colette, 1873-1954.	68937443	68937443	1	Colette, 1873-1954.			Person		http://example.org/1027459#Agent600-22	
Heffelfinger, Charles Hook.				Heffelfinger, Charles Hook.			Person		http://example.org/1045239#Agent100-11	
Shuster, Ronald L., 1927-.	14456336	14456336	0.9615384615	Shuster, Ronald L., 1927-.			Person		http://example.org/1074929#Agent100-10	
Scott, John Martin, 1913-				Scott, John Martin, 1913-			Person		http://example.org/1064664#Agent100-12	
Thomson, Peter, 1938-	64020126	64020126	0.84	Thomson, Peter, 1938-			Person		http://example.org/1002689#Agent100-12	
Salgādo, Gāmini, 1929-1985.	108264711	108264711	0.8148148148	Salgādo, Gāmini, 1929-1985.			Person		http://example.org/1002689#Agent700-22	
Bernard, William Bayle, 1807-1875.	50006920	50006920	0.9705882353	Bernard, William Bayle, 1807-1875.			Person		http://example.org/1026633#Agent100-9	
Northrop, Birdsey Grant, 1817-1898.	14688524	14688524	0.9714285714	Northrop, Birdsey Grant, 1817-1898.			Person		http://example.org/1060246#Agent100-11	
Fraser, Stewart E.,	8629804	8629804	0.9473684211	Fraser, Stewart E.,			Person		http://example.org/1060246#Agent700-21	
Northrop, Birdsey Grant, 1817-1898.	14688524	14688524	0.9714285714	Northrop, Birdsey Grant, 1817-1898.			Person		http://example.org/1060246#Agent700-22	
Irwin, Richard Gregg, 1909-	12000064	12000064	1	Irwin, Richard Gregg, 1909-			Person		http://example.org/1099273#Agent100-10	
