olac - dc:contributor	olac - dc:identifier
Carlson, Lynn	LDC2002T07
Marcu, Daniel	LDC2002T07
Okurowski, Mary Ellen	LDC2002T07
Palmer, Martha	LDC2002T26
Han, Chung-Hye	LDC2002T26
Han, Na-Rae	LDC2002T26
Ko, Eon-Suk	LDC2002T26
Yi, Hee-Jong	LDC2002T26
Lee, Alan	LDC2002T26
Walker, Chris	LDC2002T26
Duda, John	LDC2002T26
Xue, Nianwen	LDC2002T26
Graff, David	LDC2002T31
Linguistic Data Consortium	LDC2002T38
Bird, Steven	LDC2003L01
Han, Na-Rae	LDC2003L02
Graff, David	LDC2003L02
Kim, Myeonchul	LDC2003L02
Walker, Marilyn	LDC2003S01
Aberdeen, John	LDC2003S01
Sanders, Gregory	LDC2003S01
Bird, Steven	LDC2003S02
Ko, Eon-Suk	LDC2003S03
Han, Na-Rae	LDC2003S03
Caravan, Alexandra	LDC2003S03
Zipperlen, George	LDC2003S03
LaRocca, Stephen A.	LDC2003S05
Tomei, Christine	LDC2003S05
Du Bois, John W.	LDC2003S06
Chafe, Wallace L.	LDC2003S06
Meyer, Charles	LDC2003S06
Thompson, Sandra A.	LDC2003S06
Martey, Nii	LDC2003S06
Martin, Alvin	LDC2003T02
Martin, Alvin	LDC2003T03
Martin, Alvin	LDC2003T04
Graff, David	LDC2003T05
Cieri, Christopher	LDC2003T05
Maamouri, Mohamed	LDC2003T06
Bies, Ann	LDC2003T06
Jin, Hubert	LDC2003T06
Buckwalter, Tim	LDC2003T06
Maamouri, Mohamed	LDC2003T07
Jin, Hubert	LDC2003T07
Bies, Ann	LDC2003T07
Ma, Xiaoyi	LDC2003T07
Ko, Eon-Suk	LDC2003T08
Han, Na-Rae	LDC2003T08
Strassel, Stephanie	LDC2003T08
Martey, Nii	LDC2003T08
Graff, David	LDC2003T09
Chen, Ke	LDC2003T09
Kuiper, Koenraad	LDC2003T10
McCann, Heather	LDC2003T10
Quinn, Heidi	LDC2003T10
Aitchison, Therese	LDC2003T10
van der Veer, Kees	LDC2003T10
Mitchell, Alexis	LDC2003T11
Strassel, Stephanie	LDC2003T11
Przybocki, Mark	LDC2003T11
Davis, J.K.	LDC2003T11
Doddington, George R.	LDC2003T11
Grishman, Ralph	LDC2003T11
Meyers, Adam	LDC2003T11
Brunstein, Ada	LDC2003T11
Ferro, Lisa	LDC2003T11
Sundheim, Beth	LDC2003T11
Graff, David	LDC2003T12
Chinchor, Nancy	LDC2003T13
Sundheim, Beth	LDC2003T13
Strassel, Stephanie	LDC2003T15
Conn, Jeffrey	LDC2003T15
Evans, Suzanne Wagner	LDC2003T15
Cieri, Christopher	LDC2003T15
Labov, William	LDC2003T15
Maeda, Kazuaki	LDC2003T15
Radev, Dragomir	LDC2003T16
Teufel, Simone	LDC2003T16
Saggion, Horacio	LDC2003T16
Lam, Wai	LDC2003T16
Blitzer, John	LDC2003T16
Celebi, Arda	LDC2003T16
Drabek, Elliott	LDC2003T16
Liu, Danyu	LDC2003T16
Qi, Hong	LDC2003T16
Allison, Tim	LDC2003T16
Huang, Shudong	LDC2003T17
Graff, David	LDC2003T17
Walker, Kevin	LDC2003T17
Miller, David	LDC2003T17
Ma, Xiaoyi	LDC2003T17
Cieri, Christopher	LDC2003T17
Doddington, George R.	LDC2003T17
Walker, Kevin	LDC2003T18
Bamba, Moussa	LDC2003T18
Miller, David	LDC2003T18
Ma, Xiaoyi	LDC2003T18
Cieri, Christopher	LDC2003T18
Doddington, George R.	LDC2003T18
Martell, Craig	LDC2003V01
Howard, Paul	LDC2003V01
Osborn, Chris	LDC2003V01
Britt, Lisa	LDC2003V01
Myers, Kari	LDC2003V01
Han, Na-Rae	LDC2004L01
Du Bois, John W.	LDC2005S25
Englebretson, Robert	LDC2005S25
Ma, Xiaoyi	LDC2007T24
Zakhary, Dalal	LDC2007T24
Strassel, Stephanie	LDC2007T24
Muthusamy, Yeshwant	LDC2006S14
Cole, Ronald Allan	LDC2006S14
Oshika, Beatrice	LDC2006S14
Buckwalter, Tim	LDC2004L02
Hajič, Jan	LDC2006T01
Panevová, Jarmila	LDC2006T01
Hajičová, Eva	LDC2006T01
Sgall, Petr	LDC2006T01
Pajas, Petr	LDC2006T01
Štěpánek, Jan	LDC2006T01
Havelka, Jiří	LDC2006T01
Mikulová, Marie	LDC2006T01
Žabokrtský, Zdeněk	LDC2006T01
Ševčíková-Razímová, Magda	LDC2006T01
