olac	olac - dc:language	olac - dcterms:language	olac - dc:identifier
"
      "	English	eng	LDC2006T04
"
      "	Mandarin Chinese	cmn	LDC2006T04
"
      "	English	eng	LDC2006S01
"
      "	Mandarin Chinese	cmn	LDC2006T06
"
      "	Standard Arabic	arb	LDC2006T06
"
      "	English	eng	LDC2006T06
"
      "	English	eng	LDC2006T08
"
      "	North Levantine Arabic	apc	LDC2006S29
"
      "	South Levantine Arabic	ajp	LDC2006S29
"
      "	North Levantine Arabic	apc	LDC2006T07
"
      "	South Levantine Arabic	ajp	LDC2006T07
"
      "	English	eng	LDC2006S30
"
      "	Korean	kor	LDC2006T09
"
      "	English	eng	LDC2006S15
"
      "	English	eng	LDC2006S26
"
      "	Tamil	tam	LDC2008L01
"
      "	English	eng	LDC2008L01
"
      "	Russian	rus	LDC2006S34
"
      "	Korean	kor	LDC2006S36
"
      "	Vietnamese	vie	LDC2006S35
"
      "	Tamil	tam	LDC2006S35
"
      "	Spanish	spa	LDC2006S35
"
      "	Iranian Persian	pes	LDC2006S35
"
      "	Korean	kor	LDC2006S35
"
      "	Japanese	jpn	LDC2006S35
"
      "	Hindi	hin	LDC2006S35
"
      "	French	fra	LDC2006S35
"
      "	English	eng	LDC2006S35
"
      "	German	deu	LDC2006S35
"
      "	Mandarin Chinese	cmn	LDC2006S35
"
      "	Dutch	nld	LDC2006S13
"
      "	English	eng	LDC2006S13
"
      "	German	deu	LDC2006S13
"
      "	Vietnamese	vie	LDC2006S31
"
      "	Tamil	tam	LDC2006S31
"
      "	Spanish	spa	LDC2006S31
"
      "	Iranian Persian	pes	LDC2006S31
"
      "	Korean	kor	LDC2006S31
"
      "	Japanese	jpn	LDC2006S31
"
      "	Hindi	hin	LDC2006S31
"
      "	French	fra	LDC2006S31
"
      "	English	eng	LDC2006S31
"
      "	German	deu	LDC2006S31
"
      "	Mandarin Chinese	cmn	LDC2006S31
"
      "	Egyptian Arabic	arz	LDC2006S31
"
      "	Turkish	tur	LDC2006S33
"
      "	Mandarin Chinese	cmn	LDC2005S15
"
      "	North Levantine Arabic	apc	LDC2007S01
"
      "	South Levantine Arabic	ajp	LDC2007S01
"
      "	North Levantine Arabic	apc	LDC2007T01
"
      "	South Levantine Arabic	ajp	LDC2007T01
"
      "	English	eng	LDC2007T02
"
      "	Mandarin Chinese	cmn	LDC2007T03
"
      "	Portuguese	por	LDC2006S16
"
      "	Czech	ces	LDC2008T22
"
      "	Korean	kor	LDC2006S42
"
      "	English	eng	LDC2006T13
"
      "	Korean	kor	LDC2006T14
"
      "	Gulf Arabic	afb	LDC2006S43
"
      "	English	eng	LDC2006S44
"
      "	North Mesopotamian Arabic	ayp	LDC2006S45
"
      "	Gulf Arabic	afb	LDC2006S45
"
      "	Mesopotamian Arabic	acm	LDC2006S45
"
      "	North Mesopotamian Arabic	ayp	LDC2006T16
"
      "	Gulf Arabic	afb	LDC2006T16
"
      "	Mesopotamian Arabic	acm	LDC2006T16
"
      "	French	fra	LDC2006T17
"
      "	North Levantine Arabic	apc	LDC2007S02
"
      "	South Levantine Arabic	ajp	LDC2007S02
"
      "	North Levantine Arabic	apc	LDC2007T04
"
      "	South Levantine Arabic	ajp	LDC2007T04
"
      "	Urdu	urd	LDC2007S03
"
      "	English	eng	LDC2007T07
"
      "	English	eng	LDC2006T18
"
      "	Mandarin Chinese	cmn	LDC2006T18
"
      "	Standard Arabic	arb	LDC2006T18
"
      "	Standard Arabic	arb	LDC2006S46
"
      "	Standard Arabic	arb	LDC2006T20
"
      "	English	eng	LDC2007T08
"
      "	Standard Arabic	arb	LDC2007T08
"
      "	English	eng	LDC2007T09
"
      "	Mandarin Chinese	cmn	LDC2007T09
"
      "	English	eng	LDC2007T19
"
      "	English	eng	LDC2007V01
"
      "	Standard Arabic	arb	LDC2007V01
"
      "	Mandarin Chinese	cmn	LDC2007V01
"
      "	English	eng	LDC2007T22
"
      "	English	eng	LDC2007T20
"
      "	Standard Arabic	arb	LDC2007T20
"
      "	Mandarin Chinese	cmn	LDC2007T20
"
      "	English	eng	LDC2007V02
"
      "	English	eng	LDC2007T21
"
      "	Mandarin Chinese	cmn	LDC2007T21
"
      "	English	eng	LDC2007S11
"
      "	English	eng	LDC2007S12
"
      "	Mandarin Chinese	cmn	LDC2007T36
"
      "	English	eng	LDC2007T23
"
      "	Mandarin Chinese	cmn	LDC2007T23
"
      "	Korean	kor	LDC2003S07
"
      "	Mandarin Chinese	cmn	LDC2007T38
"
      "	English	eng	LDC2007S18
"
      "	Standard Arabic	arb	LDC2007T40
"
      "	Hungarian	hun	LDC2008T01
"
      "	Standard Arabic	arb	LDC2008T02
"
      "	English	eng	LDC2008T02
"
      "	English	eng	LDC2008T03
"
      "	English	eng	LDC2008S01
"
      "	English	eng	LDC2008S02
"
      "	English	eng	LDC2008T04
"
      "	Mandarin Chinese	cmn	LDC2008T04
"
      "	English	eng	LDC2008T05
"
      "	English	eng	LDC2008S03
"
      "	English	eng	LDC2008T06
"
      "	Mandarin Chinese	cmn	LDC2008T06
"
      "	Standard Arabic	arb	LDC2010T08
"
      "	Arabic	ara	LDC2010T08
"
      "	Hindi	hin	LDC2008L02
"
      "	Mandarin Chinese	cmn	LDC2008T07
"
      "	Portuguese	por	LDC2008S04
"
      "	English	eng	LDC2008T08
"
      "	Mandarin Chinese	cmn	LDC2008T08
"
      "	English	eng	LDC2008T09
"
      "	Standard Arabic	arb	LDC2008T09
"
      "	Tamil	tam	LDC2008S05
"
      "	Korean	kor	LDC2008S05
"
      "	Japanese	jpn	LDC2008S05
"
      "	Hindi	hin	LDC2008S05
"
      "	English	eng	LDC2008S05
"
      "	Spanish	spa	LDC2008S05
"
      "	Mandarin Chinese	cmn	LDC2008S05
"
      "	English	eng	LDC2008S06
"
      "	Yoruba	yor	LDC2008L03
"
      "	Trinidadian Creole English	trf	LDC2008L03
"
      "	Lucumi	luq	LDC2008L03
"
      "	Sea Island Creole English	gul	LDC2008L03
"
      "	English	eng	LDC2008L03
"
      "	Spanish	spa	LDC2008L03
"
      "	English	eng	LDC2008T20
"
      "	English	eng	LDC2008T13
"
      "	English	eng	LDC2008T14
"
      "	English	eng	LDC2008T15
"
      "	English	eng	LDC2008T16
"
      "	Mandarin Chinese	cmn	LDC2008T17
"
      "	English	eng	LDC2008T18
"
      "	Mandarin Chinese	cmn	LDC2008T18
"
      "	English	eng	LDC2008S07
"
      "	English	eng	LDC2008T19
"
      "	English	eng	LDC2008T21
