Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Gillespie, Brenda W., 1950- 	n2014013427		Gillespie, Brenda W., 1950-	n2014013427	n2014013427	1	Gillespie, Brenda W., 1950- 			Person		http://example.org/6657805#Agent700-31	288737541
Mišić, Vojislav B	n2005028402		Mišić, Vojislav B	n2005028402	n2005028402	0.9444444444444444	Mišić, Vojislav B			Person		http://example.org/6657806#Agent700-29	48632502
Mišić, Jelena	n2005028401		Mišić, Jelena	n2005028401	n2005028401	0.9285714285714286	Mišić, Jelena			Person		http://example.org/6657806#Agent700-30	166285281
Sarkar, Prabir K. (Prabir Kumar)	n2014181159		Sarkar, Prabir K. (Prabir Kumar)	n2014181159	n2014181159	1	Sarkar, Prabir K. (Prabir Kumar)			Person		http://example.org/6657807#Agent700-30	307434687
Nout, M. J. Robert	n00008886		Nout, M. J. Robert	n00008886	n00008886	0.9444444444444444	Nout, M. J. Robert			Person		http://example.org/6657807#Agent700-31	32215002
Longford, Nicholas T., 1955- 	n89664099		Longford, Nicholas T., 1955- 	n89664099	n89664099	0.875	Longford, Nicholas T., 1955- 			Person		http://example.org/6657808#Agent100-15	69025771
Das, Moumita	no2014014519		Das, Moumita	no2014014519	no2014014519	1	Das, Moumita			Person		http://example.org/6657813#Agent100-14	307458812
Squires, V. R. (Victor R.), 1937- 			Squires, V. R. (Victor R.), 1937- 				Squires, V. R. (Victor R.), 1937- 			Person		http://example.org/6657814#Agent700-28	54317663
Milner, Hugh M	no2014066502		Milner, Hugh M	no2014066502	no2014066502	0.9333333333333333	Milner, Hugh M			Person		http://example.org/6657814#Agent700-29	308761903
Daniell, Katherine A., 1981- 	n2011077954		Daniell, Katherine A., 1981- 	n2011077954	n2011077954	0.875	Daniell, Katherine A., 1981- 			Person		http://example.org/6657814#Agent700-30	201897686
Sutariya, Vijaykumar B	n2014183982		Sutariya, Vijaykumar B	n2014183982	n2014183982	0.9565217391304348	Sutariya, Vijaykumar B			Person		http://example.org/6657817#Agent700-29	308233812
Pathak, Yashwant	n2006184918		Pathak, Yashwant	n2006184918	n2006184918	0.9411764705882353	Pathak, Yashwant			Person		http://example.org/6657817#Agent700-30	39150202077403111281
Selimović, Šeila			Selimović, Šeila				Selimović, Šeila			Person		http://example.org/6657819#Agent700-28	315701923
Iniewski, Krzysztof, 1960- 	n2007019278		Iniewski, Krzysztof, 1960-	n2007019278	n2007019278	1	Iniewski, Krzysztof, 1960- 			Person		http://example.org/6657819#Agent700-29	51135089
Bortone, Stephen A	n81146135		Bortone, Stephen A	n81146135	n81146135	0.9473684210526315	Bortone, Stephen A			Person		http://example.org/6657820#Agent700-30	44481780
Choi, Jung Han	n2014020185		Choi, Jung Han	n2014020185	n2014020185	1	Choi, Jung Han			Person		http://example.org/6657821#Agent700-31	308228335
Iniewski, Krzysztof, 1960- 	n2007019278		Iniewski, Krzysztof, 1960-	n2007019278	n2007019278	1	Iniewski, Krzysztof, 1960- 			Person		http://example.org/6657821#Agent700-32	51135089
Hingray, Benoît	no2014045745		Hingray, Benoît	no2014045745	no2014045745	1	Hingray, Benoît			Person		http://example.org/6657822#Agent700-30	103655849
Picouet, Cécile	no2014045746		Picouet, Cécile	no2014045746	no2014045746	1	Picouet, Cécile			Person		http://example.org/6657822#Agent700-31	103663525
Musy, A	nr91018865		Musy, A	nr91018865	nr91018865	0.875	Musy, A			Person		http://example.org/6657822#Agent700-32	314846879
Hingray, Benoît	no2014045745		Hingray, Benoît	no2014045745	no2014045745	1	Hingray, Benoît			Person		http://example.org/6657822#Agent700-33	103655849
Christopher, Kenneth, 1954- 	nb2009010558		Christopher, Kenneth, 1954-	nb2009010558	nb2009010558	1	Christopher, Kenneth, 1954- 			Person		http://example.org/6657823#Agent100-14	88439571
Obla, Karthikeyan H	n2014009292		Obla, Karthikeyan H	n2014009292	n2014009292	0.95	Obla, Karthikeyan H			Person		http://example.org/6657824#Agent100-14	306380540
Sá, Jacinto	n2014023208		Sá, Jacinto	n2014023208	n2014023208	0.8333333333333334	Sá, Jacinto			Person		http://example.org/6657825#Agent700-30	109147602532857641142
Ischenko, A. A			Ischenko, A. A				Ischenko, A. A			Person		http://example.org/6657826#Agent100-14	311741142
Fetisov, G. V	n97105729		Fetisov, G. V	n97105729	n97105729	0.9285714285714286	Fetisov, G. V			Person		http://example.org/6657826#Agent700-27	164612830
Aslanov, L. A. (Leonid Aleksandrovich)	n2013066773		Aslanov, L. A. (Leonid Aleksandrovich)	n2013066773	n2013066773	1	Aslanov, L. A. (Leonid Aleksandrovich)			Person		http://example.org/6657826#Agent700-28	273863315
Lee, Sunggyu	n88155475		Lee, Sunggyu	n88155475	n88155475	0.9230769230769231	Lee, Sunggyu			Person		http://example.org/6657827#Agent700-33	66597379
Speight, James G	n78072990		Speight, James G	n78072990	n78072990	0.9411764705882353	Speight, James G			Person		http://example.org/6657827#Agent700-34	85223413
Loyalka, S. K	n83062391		Loyalka, S. K	n83062391	n83062391	0.9285714285714286	Loyalka, S. K			Person		http://example.org/6657827#Agent700-35	112051522
Timmerman, Jos G	nb2007006838		Timmerman, Jos G	nb2007006838	nb2007006838	0.9411764705882353	Timmerman, Jos G			Person		http://example.org/6657828#Agent100-14	277350678
Mujumdar, Arun S	n78042350		Mujumdar, Arun S	n78042350	n78042350	0.9411764705882353	Mujumdar, Arun S			Person		http://example.org/6657829#Agent700-29	270342119
Martín, Mariano Martín			Martín, Mariano Martín				Martín, Mariano Martín			Person		http://example.org/6657832#Agent700-27	
Wang, Yi-Hong			Wang, Yi-Hong				Wang, Yi-Hong			Person		http://example.org/6657834#Agent700-30	
Upadhyaya, Hari D	no2014008059		Upadhyaya, Hari D	no2014008059	no2014008059	0.9444444444444444	Upadhyaya, Hari D			Person		http://example.org/6657834#Agent700-31	306488676
Kole, Chittaranjan	nb2006026533		Kole, Chittaranjan	nb2006026533	nb2006026533	0.9473684210526315	Kole, Chittaranjan			Person		http://example.org/6657834#Agent700-32	464144783131237622369
Kythe, Prem K	n95014146		Kythe, Prem K	n95014146	n95014146	0.9285714285714286	Kythe, Prem K			Person		http://example.org/6657835#Agent100-14	42067904
Raghavan, K. V	n89271336		Raghavan, K. V	n89271336	n89271336	0.9333333333333333	Raghavan, K. V			Person		http://example.org/6657840#Agent700-28	21277890
Reddy, B. M	n89264088		Reddy, B. M	n89264088	n89264088	0.9166666666666666	Reddy, B. M			Person		http://example.org/6657840#Agent700-29	36052729
Gibson, Walton C	n2007064345		Gibson, Walton C	n2007064345	n2007064345	0.9411764705882353	Gibson, Walton C			Person		http://example.org/6657841#Agent100-14	
Thangadurai, D	no2005008327		Thangadurai, D	no2005008327	no2005008327	0.9333333333333333	Thangadurai, D			Person		http://example.org/6657843#Agent700-31	16948626
Sangeetha, Jeyabalan	no2014111598		Sangeetha, Jeyabalan	no2014111598	no2014111598	0.9523809523809523	Sangeetha, Jeyabalan			Person		http://example.org/6657843#Agent700-32	151147266516335480268
Dekker, Sidney	nb99053339		Dekker, Sidney	nb99053339	nb99053339	0.9333333333333333	Dekker, Sidney			Person		http://example.org/6657844#Agent100-14	305791101
