Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Winckelmann, Johann Joachim, 1717-1768	n50015795	100	Winckelmann, Johann Joachim, 1717-1768	n50015795	n50015795	1	Winckelmann, Johann Joachim, 1717-1768			Person		http://example.org/1047223#Agent600-21	
Pagnini, Cesare	n79079498	100	Pagnini, Cesare	n79079498	n79079498	0.9375	Pagnini, Cesare			Person		http://example.org/1047223#Agent700-22	
Austria. Kriminalgericht			Austria. Kriminalgericht				Austria. Kriminalgericht			Jurisdiction		http://example.org/1047223#Agent710-23	
Winckelmann-Gesellschaft	n82050648	100	Winckelmann-Gesellschaft		n82050648		Winckelmann-Gesellschaft	n82050648	0.96	Organization		http://example.org/1047223#Agent810-25	
Campbell, Wilfred, 1858?-1918	n50032507	100	Campbell, Wilfred, 1858?-1918	n50032507	n50032507	1	Campbell, Wilfred, 1858?-1918			Person		http://example.org/108592#Agent100-9	
Blumenthal, Monica D.	n89600617	100	Blumenthal, Monica D	n89600617	n89600617	0.9523809524	Blumenthal, Monica D			Person		http://example.org/100763#Agent700-24	
Dennis, Clara	nr96006660	100	Dennis, Clara	nr96006660	nr96006660	1	Dennis, Clara			Person		http://example.org/1037837#Agent100-12	
Lowey, Herta			Lowey, Herta				Lowey, Herta			Person		http://example.org/1033513#Agent100-10	
National Consultation on Transient Youth, Sainte-Adèle, Que., 1970			National Consultation on Transient Youth, Sainte-Adèle, Que., 1970				National Consultation on Transient Youth, Sainte-Adèle, Que., 1970			Meeting		http://example.org/1031068#Agent111-15	
Canadian Welfare Council	n80050783	100	Canadian Welfare Council				Canadian Welfare Council			Organization		http://example.org/1031068#Agent710-25	
Ives, Burl, 1909-1995	n85135241	100	Ives, Burl, 1909-1995	n85135241	n85135241	1	Ives, Burl, 1909-1995			Person		http://example.org/1046187#Agent100-11	
Hague, Albert, 1920-2001	n86139816	100	Hague, Albert, 1920-2001	n86139816	n86139816	1	Hague, Albert, 1920-2001			Person		http://example.org/1046187#Agent700-20	
Dubin, Arthur D			Dubin, Arthur D				Dubin, Arthur D			Person		http://example.org/1025435#Agent100-11	
Hartung, Rolf	n50028364	100	Hartung, Rolf	n50028364	n50028364	1	Hartung, Rolf			Person		http://example.org/1036236#Agent100-11	
Bray, Natalie	n87152574	100	Bray, Natalie	n87152574	n87152574	0.9285714286	Bray, Natalie			Person		http://example.org/1007338#Agent100-10	
Allen, Walter Powell, 1917-	n86811335	84	Allen, Walter Powell, 1917-				Allen, Walter Powell, 1917-			Person		http://example.org/1019619#Agent100-10	
English Language Services	n50027877	100	English Language Services		n50027877		English Language Services	n50027877	0.9615384615	Organization		http://example.org/1019619#Agent710-21	
Committee for Economic Development	n79075287	100	Committee for Economic Development				Committee for Economic Development			Organization		http://example.org/1061036#Agent110-12	
Worrall, A. J			Worrall, A. J				Worrall, A. J			Person		http://example.org/1030742#Agent100-11	
Hertz, Rosanna	n85388697	100	Hertz, Rosanna	n85388697	n85388697	1	Hertz, Rosanna			Person		http://example.org/1002673#Agent100-14	
Newman, Ernest, 1868-1959	n50004529	100	Newman, Ernest, 1868-1959	n50004529	n50004529	1	Newman, Ernest, 1868-1959			Person		http://example.org/1076434#Agent100-10	
Ellis, Havelock, 1859-1939	n78087633	100	Ellis, Havelock, 1859-1939	n78087633	n78087633	1	Ellis, Havelock, 1859-1939			Person		http://example.org/1026971#Agent100-10	
Birkenhead, Frederick Edwin Smith, Earl of, 1872-1930	n50044403	100	Birkenhead, Frederick Edwin Smith, Earl of, 1872-1930	n50044403	n50044403	0.962962963	Birkenhead, Frederick Edwin Smith, Earl of, 1872-1930			Person		http://example.org/1029621#Agent100-10	
Karttunen, Frances E.	n83127275	100	Karttunen, Frances E	n83127275	n83127275	0.9523809524	Karttunen, Frances E			Person		http://example.org/107890#Agent100-9	
Indiana University Linguistics Club	n77014760	100	Indiana University Linguistics Club		n77014760		Indiana University Linguistics Club	n77014760	0.9142857143	Organization		http://example.org/107890#Agent710-18	
Schreiner, Nikki Bryson	n87803488	100	Schreiner, Nikki Bryson	n87803488	n87803488	1	Schreiner, Nikki Bryson			Person		http://example.org/1078414#Agent100-9	
Milligan, Spike, 1918-2002	n80067021	100	Milligan, Spike, 1918-2002	n80067021	n80067021	0.962962963	Milligan, Spike, 1918-2002			Person		http://example.org/1031638#Agent100-10	
Sellers, Peter, 1925-1980	n50006864	100	Sellers, Peter, 1925-1980	n50006864	n50006864	1	Sellers, Peter, 1925-1980			Person		http://example.org/1031638#Agent700-20	
Secombe, Harry	n50004937	100	Secombe, Harry	n50004937	n50004937	0.9333333333	Secombe, Harry			Person		http://example.org/1031638#Agent700-21	
Francis, barber	nr89011118	100	Francis, barber				Francis, barber			Person		http://example.org/1075097#Agent100-11	
Johnson, Samuel, 1709-1784	n78095825	100	Johnson, Samuel, 1709-1784	n78095825	n78095825	0.962962963	Johnson, Samuel, 1709-1784			Person		http://example.org/1075097#Agent600-22	
Merry, J.	no2004113504	100	Merry, J				Merry, J			Person		http://example.org/1075097#Agent700-23	
Bragdon, Claude Fayette, 1866-1946	n50042999	100	Bragdon, Claude Fayette, 1866-1946	n50042999	n50042999	1	Bragdon, Claude Fayette, 1866-1946			Person		http://example.org/1080988#Agent100-10	
Afendras, Evangelos A.	n84123259	100	Afendras, Evangelos A	n84123259	n84123259	0.9545454545	Afendras, Evangelos A			Person		http://example.org/1052198#Agent100-9	
Tzannes, N. S. (Nicolaos S.), 1937-	n80082492	100	Tzannes, N. S. (Nicolaos S.), 1937-	n80082492	n80082492	1	Tzannes, N. S. (Nicolaos S.), 1937-			Person		http://example.org/1052198#Agent700-21	
Université Laval. Centre international de recherches sur le bilinguisme	n81089628	99	Université Laval. Centre international de recherches sur le bilinguisme		n81089628		Université Laval. Centre international de recherches sur le bilinguisme	n81089628	1	Organization		http://example.org/1052198#Agent710-22	
Purvis, Douglas D.	n50053897	100	Purvis, Douglas D	n50053897	n50053897	0.9444444444	Purvis, Douglas D			Person		http://example.org/101594#Agent100-9	
Hong, Qi	n88047033	100	Hong, Qi				Hong, Qi			Person		http://example.org/1037551#Agent100-10	
Newman, Ernest, 1868-1959	n50004529	100	Newman, Ernest, 1868-1959	n50004529	n50004529	1	Newman, Ernest, 1868-1959			Person		http://example.org/1076301#Agent100-10	
Bryan-Brown, A. N			Bryan-Brown, A. N				Bryan-Brown, A. N			Person		http://example.org/1089772#Agent700-19	
Adams, James R. (James Randolph), 1898-1956	no2003083888	100	Adams, James R. (James Randolph), 1898-1956	no2003083888	no2003083888	1	Adams, James R. (James Randolph), 1898-1956			Person		http://example.org/1014640#Agent100-10	
Granville-Barker, Harley, 1877-1946	n79084024	100	Granville-Barker, Harley, 1877-1946	n79084024	n79084024	1	Granville-Barker, Harley, 1877-1946			Person		http://example.org/1023994#Agent100-16	
Shakespeare, William, 1564-1616	n78095332	100	Shakespeare, William, 1564-1616	n78095332	n78095332	0.96875	Shakespeare, William, 1564-1616			Person		http://example.org/1023994#Agent600-25	
Landeck, Beatrice	no92015620	100	Landeck, Beatrice	no92015620	no92015620	1	Landeck, Beatrice			Person		http://example.org/1061674#Agent100-10	
Bulla, Clyde Robert	n79076135	100	Bulla, Clyde Robert	n79076135	n79076135	1	Bulla, Clyde Robert			Person		http://example.org/1076278#Agent100-11	
More, Thomas, Sir, Saint, 1478-1535	n79056176	93	More, Thomas, Sir, Saint, 1478-1535	n79056176	n79056176	0.8285714286	More, Thomas, Sir, Saint, 1478-1535			Person		http://example.org/1038751#Agent100-13	
Gallagher, Ligeia			Gallagher, Ligeia				Gallagher, Ligeia			Person		http://example.org/1038751#Agent700-22	
Benecke, Else Cecilia Mendelssohn, 1873-1917	n87830485	90	Benecke, Else Cecilia Mendelssohn, 1873-1917				Benecke, Else Cecilia Mendelssohn, 1873-1917			Person		http://example.org/1097161#Agent100-10	
Busch, Marie	no2011088274	100	Busch, Marie	no2011088274	no2011088274	0.9230769231	Busch, Marie			Person		http://example.org/1097161#Agent700-20	
Davis, Ennis	n2012016112	100	Davis, Ennis	n2012016112	n2012016112	1	Davis, Ennis			Person		http://example.org/1083369#Agent100-10	
Lehmann, Lotte	n50048302	100	Lehmann, Lotte	n50048302	n50048302	1	Lehmann, Lotte			Person		http://example.org/1075627#Agent100-10	
Holden, Frances	n84217162	100	Holden, Frances	n84217162	n84217162	1	Holden, Frances			Person		http://example.org/1075627#Agent700-19	
Miel, Alice, 1906-	n50043205	86	Miel, Alice, 1906-	n50043205	n50043205	0.8181818182	Miel, Alice, 1906-			Person		http://example.org/1065527#Agent100-11	
Brogan, Peggy, 1916-	n50041264	100	Brogan, Peggy, 1916-	n50041264	n50041264	1	Brogan, Peggy, 1916- 			Person		http://example.org/1065527#Agent700-20	
Barron, Clarence W. (Clarence Walker), 1855-1928	no2001090592	100	Barron, Clarence W. (Clarence Walker), 1855-1928	no2001090592	no2001090592	1	Barron, Clarence W. (Clarence Walker), 1855-1928			Person		http://example.org/1019095#Agent100-10	
Barron, Clarence W. (Clarence Walker), 1855-1928	no2001090592	100	Barron, Clarence W. (Clarence Walker), 1855-1928	no2001090592	no2001090592	1	Barron, Clarence W. (Clarence Walker), 1855-1928			Person		http://example.org/1019095#Agent600-19	
Pound, Arthur, 1884-1966	n50019582	100	Pound, Arthur, 1884-1966	n50019582	n50019582	1	Pound, Arthur, 1884-1966			Person		http://example.org/1019095#Agent700-24	
Moore, Samuel Taylor, 1893- 			Moore, Samuel Taylor, 1893- 				Moore, Samuel Taylor, 1893- 			Person		http://example.org/1019095#Agent700-25	
Nettleingham, F. T. (Frederick Thomas)	nr93001648	100	Nettleingham, F. T. (Frederick Thomas)	nr93001648	nr93001648	1	Nettleingham, F. T. (Frederick Thomas)			Person		http://example.org/1018338#Agent100-10	
Davis, Arthur Kyle, 1897-1972	n87870891	100	Davis, Arthur Kyle, 1897-1972	n87870891	n87870891	1	Davis, Arthur Kyle, 1897-1972			Person		http://example.org/1082832#Agent100-11	
Vasyleva, Olena	nr98013790	100	Vasyleva, Olena	nr98013790	nr98013790	1	Vasyleva, Olena			Person		http://example.org/1095987#Agent100-10	
Horecký, Ján	n81041948	90	Horecký, Ján	n81041948	n81041948	1	Horecký, Ján			Person		http://example.org/1096748#Agent100-10	
Solé, Carlos A.	n81089184	96	Solé, Carlos A	n81089184	n81089184	0.9333333333	Solé, Carlos A			Person		http://example.org/1095065#Agent100-10	
Basaj, Mieczysław	n82255217	100	Basaj, Mieczysław	n82255217	n82255217	1	Basaj, Mieczysław			Person		http://example.org/1009693#Agent100-10	
Coteanu, Ion	n81108363	100	Coteanu, Ion	n81108363	n81108363	0.9230769231	Coteanu, Ion			Person		http://example.org/1068878#Agent100-9	
Dvonč, L. (Ladislav)	n85102355	97	Dvonč, L. (Ladislav)	n85102355	n85102355	0.9047619048	Dvonč, L. (Ladislav)			Person		http://example.org/1096747#Agent700-20	
Ústav slovenského jazyka (Slovenská akadémia vied)	no89019693	96	Ústav slovenského jazyka (Slovenská akadémia vied)		no89019693		Ústav slovenského jazyka (Slovenská akadémia vied)	no89019693	1	Organization		http://example.org/1096747#Agent710-21	
Polański, Kazimierz, 1929-	n85002334	98	Polański, Kazimierz, 1929-	n85002334	n85002334	1	Polański, Kazimierz, 1929-			Person		http://example.org/1098447#Agent100-10	
Kuznet︠s︡ov, P. S. (Petr Savvich)	n85828877	100	Kuznet͡sov, P. S. (Petr Savvich)	n85828877	n85828877	0.9393939394	Kuznet͡sov, P. S. (Petr Savvich)			Person		http://example.org/1094492#Agent100-10	
Institut i︠a︡zykoznanii︠a︡ (Akademii︠a︡ nauk SSSR)	n81008096	100	Institut i͡azykoznanii͡a (Akademii͡a nauk SSSR)		n81008096		Institut i͡azykoznanii͡a (Akademii͡a nauk SSSR)	n81008096	0.88	Organization		http://example.org/1088741#Agent110-10	
Zhirmunskiĭ, V. M. (Viktor Maksimovich), 1891-1971	n81144325	99	Zhirmunskiĭ, V. M. (Viktor Maksimovich), 1891-1971	n81144325	n81144325	0.9607843137	Zhirmunskiĭ, V. M. (Viktor Maksimovich), 1891-1971			Person		http://example.org/1088741#Agent700-20	
Sunik, O. P.	n82120523	100	Sunik, O. P	n82120523	n82120523	0.8181818182	Sunik, O. P			Person		http://example.org/1088741#Agent700-21	
Zhirmunskiĭ, V. M. (Viktor Maksimovich), 1891-1971	n81144325	99	Zhirmunskiĭ, V. M. (Viktor Maksimovich), 1891-1971	n81144325	n81144325	0.9607843137	Zhirmunskiĭ, V. M. (Viktor Maksimovich), 1891-1971			Person		http://example.org/1089715#Agent700-22	
Aruti͡unova, Nina Davidovna	n81019714	93	Aruti͡unova, Nina Davidovna				Aruti͡unova, Nina Davidovna			Person		http://example.org/1089715#Agent700-23	
Institut i︠a︡zykoznanii︠a︡ (Akademii︠a︡ nauk SSSR)	n81008096	100	Institut i͡azykoznanii͡a (Akademii͡a nauk SSSR)		n81008096		Institut i͡azykoznanii͡a (Akademii͡a nauk SSSR)	n81008096	0.88	Organization		http://example.org/1089715#Agent710-24	
Institut i︠a︡zykoznanii︠a︡ (Akademii︠a︡ nauk SSSR)	n81008096	100	Institut i͡azykoznanii͡a (Akademii͡a nauk SSSR)		n81008096		Institut i͡azykoznanii͡a (Akademii͡a nauk SSSR)	n81008096	0.88	Organization		http://example.org/1094487#Agent110-10	
Serebrennikov, Boris Aleksandrovich, 1915-	n81013200	95	Serebrennikov, Boris Aleksandrovich, 1915-	n81013200	n81013200	0.84	Serebrennikov, Boris Aleksandrovich, 1915-			Person		http://example.org/1094487#Agent700-23	
Sunik, O. P.	n82120523	100	Sunik, O. P	n82120523	n82120523	0.8181818182	Sunik, O. P			Person		http://example.org/1094487#Agent700-24	
Guțu Romalo, Valeria	no2006091670	97	Guțu Romalo, Valeria	no2006091670	no2006091670	1	Guțu Romalo, Valeria			Person		http://example.org/1092675#Agent100-10	
Propp, V. I͡A. (Vladimir I͡Akovlevich), 1895-1970	n2016018922	81	Propp, V. I͡A. (Vladimir I͡Akovlevich), 1895-1970	n80001381	n80001381	0.9215686275	Propp, V. I͡A. (Vladimir I͡Akovlevich), 1895-1970			Person		http://example.org/1079761#Agent100-9	
Braginskiĭ, I. S. (Iosif Samuilovich), 1905-	n83063069	99	Braginskiĭ, I. S. (Iosif Samuilovich), 1905-	n83063069	n83063069	1	Braginskiĭ, I. S. (Iosif Samuilovich), 1905- 			Person		http://example.org/1079761#Agent700-20	
Meletinskiĭ, E. M. (Eleazar Moiseevich)	n82240887	99	Meletinskiĭ, E. M. (Eleazar Moiseevich)	n82240887	n82240887	1	Meletinskiĭ, E. M. (Eleazar Moiseevich)			Person		http://example.org/1079761#Agent700-21	
Pivtorak, H. P.	n90627084	100	Pivtorak, H. P	n90627084	n90627084	0.9333333333	Pivtorak, H. P			Person		http://example.org/1067410#Agent100-10	
Instytut movoznavstva im. O.O. Potebni	n81012033	100	Instytut movoznavstva im. O.O. Potebni		n81012033		Instytut movoznavstva im. O.O. Potebni	n81012033	0.9210526316	Organization		http://example.org/1067410#Agent710-20	
Winkler, John Kennedy, 1891-1958	no91028053	90	Winkler, John Kennedy, 1891-1958				Winkler, John Kennedy, 1891-1958			Person		http://example.org/1018194#Agent100-10	
Morgan, J. Pierpont (John Pierpont), 1837-1913	n85073820	100	Morgan, J. Pierpont (John Pierpont), 1837-1913	n85073820	n85073820	0.9787234043	Morgan, J. Pierpont (John Pierpont), 1837-1913			Person		http://example.org/1018194#Agent600-19	
Wallace, Ian, 1950-	n85293416	100	Wallace, Ian, 1950-	n85293416	n85293416	1	Wallace, Ian, 1950-			Person		http://example.org/1001737#Agent100-15	
McCraw, Thomas K.	n83201778	100	McCraw, Thomas K	n83201778	n83201778	0.9411764706	McCraw, Thomas K			Person		http://example.org/1027555#Agent100-12	
Morgan, Arthur Ernest, 1878-1975	n50006290	87	Morgan, Arthur Ernest, 1878-1975				Morgan, Arthur Ernest, 1878-1975			Person		http://example.org/1027555#Agent600-22	
Lilienthal, David Eli, 1899-1981	n80009867	100	Lilienthal, David Eli, 1899-1981				Lilienthal, David Eli, 1899-1981			Person		http://example.org/1027555#Agent600-23	
Tennessee Valley Authority	n80126249	100	Tennessee Valley Authority		n80126249		Tennessee Valley Authority	n80126249	0.9615384615	Organization		http://example.org/1027555#Agent610-24	
Weston, Jessie L. (Jessie Laidlay), 1850-1928	n50018102	100	Weston, Jessie L. (Jessie Laidlay), 1850-1928	n50018102	n50018102	1	Weston, Jessie L. (Jessie Laidlay), 1850-1928			Person		http://example.org/1068520#Agent700-24	
Historisches Museum der Stadt Wien	n50055594	100	Historisches Museum der Stadt Wien		n50055594		Historisches Museum der Stadt Wien	n50055594	1	Organization		http://example.org/1085755#Agent110-10	
Schwind, Moritz von, 1804-1871	n84093601	100	Schwind, Moritz von, 1804-1871	n84093601	n84093601	0.935483871	Schwind, Moritz von, 1804-1871			Person		http://example.org/1085755#Agent600-19	
Uhler, John Earle, 1891-1962	n87847324	100	Uhler, John Earle, 1891-1962	n87847324	n87847324	1	Uhler, John Earle, 1891-1962			Person		http://example.org/1076359#Agent100-11	
Morley, Thomas, 1552-1603?			Morley, Thomas, 1552-1603?				Morley, Thomas, 1552-1603?			Person		http://example.org/1076359#Agent600-19	
Uhler, John Earle, 1891-1962	n87847324	100	Uhler, John Earle, 1891-1962	n87847324	n87847324	1	Uhler, John Earle, 1891-1962			Person		http://example.org/1076338#Agent100-10	
Morley, Thomas, 1552-1603?			Morley, Thomas, 1552-1603?				Morley, Thomas, 1552-1603?			Person		http://example.org/1076338#Agent600-18	
Brown, John Mason, 1900-1969	n79022295	100	Brown, John Mason, 1900-1969	n79022295	n79022295	1	Brown, John Mason, 1900-1969			Person		http://example.org/1029025#Agent100-10	
Catholic Church	n79041716	100	Catholic Church				Catholic Church			Organization		http://example.org/1067387#Agent610-18	
Storey, William George, 1923-	n85369540	81	Storey, William George, 1923-				Storey, William George, 1923-			Person		http://example.org/1067387#Agent700-20	
Quinn, Frank C	n85813273	81	Quinn, Frank C				Quinn, Frank C			Person		http://example.org/1067387#Agent700-21	
Wright, David Frank	n86826487	100	Wright, David Frank				Wright, David Frank			Person		http://example.org/1067387#Agent700-22	
Lewis, Eiluned	n89624880	100	Lewis, Eiluned	n89624880	n89624880	0.9333333333	Lewis, Eiluned			Person		http://example.org/1011062#Agent100-9	
Von Sternberg, Josef, 1894-1969	n79117186	100	Von Sternberg, Josef, 1894-1969	n79117186	n79117186	0.96875	Von Sternberg, Josef, 1894-1969			Person		http://example.org/1052100#Agent100-11	
Von Sternberg, Josef, 1894-1969	n79117186	100	Von Sternberg, Josef, 1894-1969	n79117186	n79117186	0.96875	Von Sternberg, Josef, 1894-1969			Person		http://example.org/1052100#Agent700-20	
Landau, Rom, 1899-1974	n50039093	100	Landau, Rom, 1899-1974	n50039093	n50039093	1	Landau, Rom, 1899-1974			Person		http://example.org/1088378#Agent100-12	
Swaan, Wim	n50011347	100	Swaan, Wim	n50011347	n50011347	1	Swaan, Wim			Person		http://example.org/1088378#Agent700-25	
Carpenter, Allan, 1917-	n78095368	89	Carpenter, Allan, 1917-	n78095368	n78095368	0.8518518519	Carpenter, Allan, 1917-			Person		http://example.org/102809#Agent100-12	
Fortman, Janis			Fortman, Janis				Fortman, Janis			Person		http://example.org/102809#Agent700-22	
Poglazov, B. F. (Boris Fedorovich)	n83035118	100	Poglazov, B. F. (Boris Fedorovich)	n83035118	n83035118	1	Poglazov, B. F. (Boris Fedorovich)			Person		http://example.org/1051565#Agent100-11	
Rahn, Helmut, 1919-			Rahn, Helmut, 1919-				Rahn, Helmut, 1919-			Person		http://example.org/1091417#Agent100-10	
Vey, Marc, 1899-			Vey, Marc, 1899-				Vey, Marc, 1899-			Person		http://example.org/1096070#Agent100-10	
Müller, Karl, 1881-			Müller, Karl, 1881-				Müller, Karl, 1881-			Person		http://example.org/1023438#Agent100-11	
Matthews, P. H. (Peter Hugoe)	n81139473	100	Matthews, P. H. (Peter Hugoe)	n81139473	n81139473	1	Matthews, P. H. (Peter Hugoe)			Person		http://example.org/1058213#Agent100-13	
Koerber, Hans Nordewin von			Koerber, Hans Nordewin von				Koerber, Hans Nordewin von			Person		http://example.org/1099293#Agent100-10	
Reinfeld, Fred, 1910-1964	n80038481	100	Reinfeld, Fred, 1910-1964	n80038481	n80038481	0.9615384615	Reinfeld, Fred, 1910-1964			Person		http://example.org/1023756#Agent100-10	
Morphy, Paul Charles, 1837-1884	n50006293	100	Morphy, Paul Charles, 1837-1884	n50006293	n50006293	1	Morphy, Paul Charles, 1837-1884			Person		http://example.org/1023756#Agent600-18	
Soltis, Andy, 1947-	n77009878	100	Soltis, Andy, 1947-	n77009878	n77009878	1	Soltis, Andy, 1947-			Person		http://example.org/1023756#Agent700-20	
Louis, Morris, 1912-1962	n79090064	100	Louis, Morris, 1912-1962	n79090064	n79090064	1	Louis, Morris, 1912-1962			Person		http://example.org/1085225#Agent100-10	
Fried, Michael	n79089516	100	Fried, Michael	n79089516	n79089516	1	Fried, Michael			Person		http://example.org/1085225#Agent700-18	
Los Angeles County (Calif.) Museum of Art, Louis Angeles			Los Angeles County (Calif.) Museum of Art, Louis Angeles				Los Angeles County (Calif.) Museum of Art, Louis Angeles			Jurisdiction		http://example.org/1085225#Agent710-19	
Museum of Fine Arts, Boston. IV. St. Louis. City Art Museum			Museum of Fine Arts, Boston. IV. St. Louis. City Art Museum				Museum of Fine Arts, Boston. IV. St. Louis. City Art Museum			Organization		http://example.org/1085225#Agent710-20	
Louis, Morris, 1912-1962	n79090064	100	Louis, Morris, 1912-1962	n79090064	n79090064	1	Louis, Morris, 1912-1962			Person		http://example.org/1000131#Agent100-12	
Louis, Morris, 1912-1962	n79090064	100	Louis, Morris, 1912-1962	n79090064	n79090064	1	Louis, Morris, 1912-1962			Person		http://example.org/1000131#Agent600-22	
Elderfield, John	n79056366	100	Elderfield, John	n79056366	n79056366	0.9411764706	Elderfield, John			Person		http://example.org/1000131#Agent700-23	
Museum of Modern Art (New York, N.Y.)	n79021281	100	Museum of Modern Art (New York, N.Y.)		n79021281		Museum of Modern Art (New York, N.Y.)	n79021281	0.9459459459	Organization		http://example.org/1000131#Agent710-24	
