Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4
Gage, William W.	n50015447	100	Gage, William W	n50015447	n50015447	0.9375	Gage, William W			Person		http://example.org/1089108#Agent700-23
Rice, Frank A.	n79115359	100	Rice, Frank A	n79115359	n79115359	0.9285714285714286	Rice, Frank A			Person		http://example.org/1089108#Agent700-24
Center for Applied Linguistics	n50000320	100	Center for Applied Linguistics		n50000320		Center for Applied Linguistics	n50000320	0.967741935483871	Organization		http://example.org/1089108#Agent710-25
Roueche, John E.	n80021778	100	Roueche, John E	n80021778	n80021778	0.9375	Roueche, John E			Person		http://example.org/1066693#Agent100-13
American Association of Junior Colleges	n79058490	100	American Association of Junior Colleges		n79058490		American Association of Junior Colleges	n79058490	0.9230769230769231	Organization		http://example.org/1066693#Agent710-24
Little, Lawrence Calvin, 1897-	no00041233	83	Little, Lawrence Calvin, 1897-				Little, Lawrence Calvin, 1897-			Person		http://example.org/1071722#Agent100-13
Sonneck, O. G. (Oscar George), 1873-1928	n50080423	100	Sonneck, O. G. (Oscar George), 1873-1928	n50080423	n50080423	1	Sonneck, O. G. (Oscar George), 1873-1928			Person		http://example.org/1074110#Agent100-15
Upton, William Treat, 1870-1961	no93010103	100	Upton, William Treat, 1870-1961	no93010103	no93010103	1	Upton, William Treat, 1870-1961			Person		http://example.org/1074110#Agent700-27
Cross, Lowell M.	no92011693	100	Cross, Lowell M	no92011693	no92011693	0.9375	Cross, Lowell M			Person		http://example.org/1074130#Agent100-14
Tarr, Rodger L.	n80094412	100	Tarr, Rodger L	n80094412	n80094412	0.9333333333333333	Tarr, Rodger L			Person		http://example.org/1070841#Agent100-9
Carlyle, Thomas, 1795-1881	n79022968	100	Carlyle, Thomas, 1795-1881	n79022968	n79022968	0.9629629629629629	Carlyle, Thomas, 1795-1881			Person		http://example.org/1070841#Agent600-19
Dana, Richard E			Dana, Richard E				Dana, Richard E			Person		http://example.org/1070841#Agent700-20
Masui, Mitsuzō, 1885-1967	n85292583	98	Masui, Mitsuzō, 1885-1967	n85292583	n85292583	0.9230769230769231	Masui, Mitsuzō, 1885-1967			Person		http://example.org/1015460#Agent100-11
Massé, Gerturde C. E			Massé, Gerturde C. E				Massé, Gerturde C. E			Person		http://example.org/1085000#Agent100-10
Crane, Walter, 1845-1915	n79060706	100	Crane, Walter, 1845-1915	n79060706	n79060706	1	Crane, Walter, 1845-1915			Person		http://example.org/1085000#Agent600-18
Keynes, Geoffrey, 1887-1982	n80063344	100	Keynes, Geoffrey, 1887-1982	n80063344	n80063344	1	Keynes, Geoffrey, 1887-1982			Person		http://example.org/103112#Agent100-10
Berkeley, George, 1685-1753	n79055588	100	Berkeley, George, 1685-1753	n79055588	n79055588	0.9642857142857143	Berkeley, George, 1685-1753			Person		http://example.org/103112#Agent600-19
Jessop, T. E. (Thomas Edmund), 1896-1980	n50037762	100	Jessop, T. E. (Thomas Edmund), 1896-1980	n50037762	n50037762	1	Jessop, T. E. (Thomas Edmund), 1896-1980			Person		http://example.org/1012430#Agent100-12
Berkeley, George, 1685-1753	n79055588	100	Berkeley, George, 1685-1753	n79055588	n79055588	0.9642857142857143	Berkeley, George, 1685-1753			Person		http://example.org/1012430#Agent600-22
Luce, A. A. (Arthur Aston), 1882-1977	n50050832	100	Luce, A. A. (Arthur Aston), 1882-1977	n50050832	n50050832	1	Luce, A. A. (Arthur Aston), 1882-1977			Person		http://example.org/1012430#Agent700-23
Packard, David W.	n50051561	100	Packard, David W	n50051561	n50051561	0.9411764705882353	Packard, David W			Person		http://example.org/101575#Agent100-11
Homer	n78095639	100	Homer	n78095639	n78095639	0.8333333333333334	Homer			Person		http://example.org/101575#Agent600-20
Meyers, Tania			Meyers, Tania				Meyers, Tania			Person		http://example.org/101575#Agent700-21
University of British Columbia. Asian Studies Division	n80104761	93	University of British Columbia. Asian Studies Division		n80104761		University of British Columbia. Asian Studies Division	n80104761	0.8571428571428571	Organization		http://example.org/1011501#Agent110-11
University of British Columbia. Asian Studies Division	n80104761	93	University of British Columbia. Asian Studies Division		n80104761		University of British Columbia. Asian Studies Division	n80104761	0.8571428571428571	Jurisdiction		http://example.org/1011501#Agent810-24
Waheed, K. Abdul			Waheed, K. Abdul				Waheed, K. Abdul			Person		http://example.org/1099022#Agent100-10
Iqbal, Muhammad, Sir, 1877-1938	n79110521	100	Iqbal, Muhammad, Sir, 1877-1938	n79110521	n79110521	0.9354838709677419	Iqbal, Muhammad, Sir, 1877-1938			Person		http://example.org/1099022#Agent600-19
