Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
González de Cossío, Francisco	n80113671	96	González de Cossío, Francisco	n80113671	n80113671	0.9666666667	González de Cossío, Francisco			Person		http://example.org/1025866#Agent100-11	
Correa Luna, Carlos, 1874-1936			Correa Luna, Carlos, 1874-1936				Correa Luna, Carlos, 1874-1936			Person		http://example.org/1038659#Agent100-11	
Sociedad de Beneficencia de la Capital, Buenos Aires			Sociedad de Beneficencia de la Capital, Buenos Aires				Sociedad de Beneficencia de la Capital, Buenos Aires			Organization		http://example.org/1038659#Agent610-19	
Cotarelo y Mori, Emilio, 1857-1936	n85823173	100	Cotarelo y Mori, Emilio, 1857-1936	n85823173	n85823173	1	Cotarelo y Mori, Emilio, 1857-1936			Person		http://example.org/1083235#Agent100-11	
Marín y Mendoza, Joaqúin			Marín y Mendoza, Joaqúin				Marín y Mendoza, Joaqúin			Person		http://example.org/1041769#Agent100-10	
Mañer, Salvador José, 1676-1751	no2008002881	96	Mañer, Salvador José, 1676-1751	no2008002881	no2008002881	0.8787878788	Mañer, Salvador José, 1676-1751			Person		http://example.org/1076333#Agent100-9	
Ripperda, Joan Willem van, duque, 1680-1737			Ripperda, Joan Willem van, duque, 1680-1737				Ripperda, Joan Willem van, duque, 1680-1737			Person		http://example.org/1076333#Agent600-18	
Lüdtke, Helmut, 1926-	n82133614	97	Lüdtke, Helmut, 1926-	n82133614	n82133614	1	Lüdtke, Helmut, 1926-			Person		http://example.org/1062562#Agent100-12	
Madrazo, Mariano de			Madrazo, Mariano de				Madrazo, Mariano de			Person		http://example.org/1077609#Agent100-10	
Museo del Prado	n79064568	100	Museo del Prado		n79064568		Museo del Prado	n79064568	1	Organization		http://example.org/1077609#Agent610-18	
Cobo, Bernabé, 1580-1657	n88154651	98	Cobo, Bernabé, 1580-1657	n88154651	n88154651	1	Cobo, Bernabé, 1580-1657			Person		http://example.org/1066736#Agent100-11	
Jiménez de la Espada, Marcos, 1831-1898	n85053011	99	Jiménez de la Espada, Marcos, 1831-1898	n85053011	n85053011	0.9743589744	Jiménez de la Espada, Marcos, 1831-1898			Person		http://example.org/1066736#Agent700-23	
Sociedad de Bibliófilos Andaluces	n83032237	98	Sociedad de Bibliófilos Andaluces		n83032237		Sociedad de Bibliófilos Andaluces	n83032237	0.8823529412	Organization		http://example.org/1066736#Agent710-24	
Paso, Leonardo	n83175025	100	Paso, Leonardo	n83175025	n83175025	0.9333333333	Paso, Leonardo			Person		http://example.org/107483#Agent100-11	
Nykl, A. R. (Alois Richard), 1885-	nr91026152	92	Nykl, A. R. (Alois Richard), 1885-	nr91026152	nr91026152	0.8648648649	Nykl, A. R. (Alois Richard), 1885-			Person		http://example.org/1098681#Agent700-18	
Vatican. Biblioteca vaticana. Mss. (Ar. 368)			Vatican. Biblioteca vaticana. Mss. (Ar. 368)				Vatican. Biblioteca vaticana. Mss. (Ar. 368)			Organization		http://example.org/1098681#Agent710-19	
Romero Flores, Jesús, 1885-	n80139773	98	Romero Flores, Jesús, 1885-	n80139773	n80139773	1	Romero Flores, Jesús, 1885-			Person		http://example.org/1060006#Agent100-12	
Edwards, Alberto, 1874-1932	n82036066	100	Edwards, Alberto, 1874-1932	n82036066	n82036066	1	Edwards, Alberto, 1874-1932			Person		http://example.org/1046157#Agent100-11	
Frei Montalva, Eduardo, 1911-1982	n50025402	100	Frei Montalva, Eduardo, 1911-1982	n50025402	n50025402	0.9705882353	Frei Montalva, Eduardo, 1911-1982			Person		http://example.org/1046157#Agent700-21	
