Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Böll, Heinrich, 1917-1985	n79100649	98	Böll, Heinrich, 1917-1985	n79100649	n79100649	0.9615384615	Böll, Heinrich, 1917-1985			Person		http://example.org/1041954#Agent600-20	
Schwarz, Wilhelm Johannes, 1929-	nr91024926	100	Schwarz, Wilhelm Johannes, 1929-	nr91024926	nr91024926	1	Schwarz, Wilhelm Johannes, 1929-			Person		http://example.org/1064869#Agent100-11	
Lenz, Siegfried, 1926-2014	n50049781	100	Lenz, Siegfried, 1926-2014	n50049781	n50049781	0.962962963	Lenz, Siegfried, 1926-2014			Person		http://example.org/1064869#Agent600-19	
Lenz, Siegfried, 1926-2014	n50049781	100	Lenz, Siegfried, 1926-2014	n50049781	n50049781	0.962962963	Lenz, Siegfried, 1926-2014			Person		http://example.org/1064869#Agent700-20	
Greif, Hans-Jürgen, 1941-	n90688062	98	Greif, Hans-Jürgen, 1941-	n90688062	n90688062	1	Greif, Hans-Jürgen, 1941-			Person		http://example.org/1064869#Agent700-21	
Schwarz, Wilhelm Johannes, 1929-	nr91024926	100	Schwarz, Wilhelm Johannes, 1929-	nr91024926	nr91024926	1	Schwarz, Wilhelm Johannes, 1929-			Person		http://example.org/1055788#Agent100-10	
Johnson, Uwe, 1934-1984	n50039241	100	Johnson, Uwe, 1934-1984	n50039241	n50039241	0.9583333333	Johnson, Uwe, 1934-1984			Person		http://example.org/1055788#Agent600-19	
Thiel, Helmut van	n82085641	100	Thiel, Helmut van	n82085641	n82085641	1	Thiel, Helmut van			Person		http://example.org/1091868#Agent100-12	
Apuleius	n80126286	100	Apuleius	n80126286	n80126286	1	Apuleius			Person		http://example.org/1091868#Agent600-23	
Lucian, of Samosata	n79073533	100	Lucian, of Samosata	n79073533	n79073533	1	Lucian, of Samosata			Person		http://example.org/1091868#Agent600-24	
Lucius, of Patrae	n90693865	100	Lucius, of Patrae	n90693865	n90693865	1	Lucius, of Patrae			Person		http://example.org/1091868#Agent600-25	
Runes, Moriz, 1897-			Runes, Moriz, 1897-				Runes, Moriz, 1897-			Person		http://example.org/1089865#Agent100-10	
Cortsen, Søren Peter, 1878-			Cortsen, Søren Peter, 1878-				Cortsen, Søren Peter, 1878-			Person		http://example.org/1089865#Agent700-21	
Terence	n79066715	100	Terence				Terence			Person		http://example.org/1091632#Agent100-10	
Neidhart, Hans, active 1418-1489			Neidhart, Hans, active 1418-1489				Neidhart, Hans, active 1418-1489			Person		http://example.org/1091632#Agent700-19	
Fischer, Hermann, 1851-1920	n85260881	100	Fischer, Hermann, 1851-1920	n85260881	n85260881	1	Fischer, Hermann, 1851-1920			Person		http://example.org/1091632#Agent700-20	
Schäfer, Wolf	n81056402	96	Schäfer, Wolf	n81056402	n81056402	0.9285714286	Schäfer, Wolf			Person		http://example.org/1020863#Agent100-10	
Clemens, Adrian, 1931-	no99018242	100	Clemens, Adrian, 1931-	no99018242	no99018242	1	Clemens, Adrian, 1931-			Person		http://example.org/1047848#Agent100-10	
Borkenau, Franz, 1900-1957	n79007269	100	Borkenau, Franz, 1900-1957	n79007269	n79007269	1	Borkenau, Franz, 1900-1957			Person		http://example.org/1036220#Agent100-11	
