Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Pritchard, T. C. L.	no94005547	100	Pritchard, T. C. L	no94005547	no94005547	0.9473684211	Pritchard, T. C. L			Person		http://example.org/1072976#Agent100-12	
Vittani, Giovanni, 1875-			Vittani, Giovanni, 1875-				Vittani, Giovanni, 1875-			Person		http://example.org/1015892#Agent100-10	
Urrutia-Aparicio, Carlos, 1927-	n84007363	100	Urrutia-Aparicio, Carlos, 1927-	n84007363	n84007363	1	Urrutia-Aparicio, Carlos, 1927-			Person		http://example.org/1080577#Agent100-10	
Manning, William R. (William Ray), 1871-1942	n90646519	100	Manning, William R. (William Ray), 1871-1942	n90646519	n90646519	1	Manning, William R. (William Ray), 1871-1942			Person		http://example.org/1009825#Agent100-12	
Carnegie Endowment for International Peace. Division of International Law	n83189304	100	Carnegie Endowment for International Peace. Division of International Law		n83189304		Carnegie Endowment for International Peace. Division of International Law	n83189304	0.9864864865	Organization		http://example.org/1009825#Agent710-25	
Holobutsʹkyĭ, V. O. (Volodymyr O.)			Holobutsʹkyĭ, V. O. (Volodymyr O.)				Holobutsʹkyĭ, V. O. (Volodymyr O.)			Person		http://example.org/1004948#Agent100-12	
Khmelʹnyt︠s︡ʹkyĭ, Bohdan, approximately 1594-1657	n81086449	99	Khmelʹnyt͡sʹkyĭ, Bohdan, approximately 1594-1657	n81086449	n81086449	0.9591836735	Khmelʹnyt͡sʹkyĭ, Bohdan, approximately 1594-1657			Person		http://example.org/1004948#Agent600-22	
Wright, Quincy, 1890-1970	n80056647	100	Wright, Quincy, 1890-1970	n80056647	n80056647	0.9615384615	Wright, Quincy, 1890-1970			Person		http://example.org/1055088#Agent100-10	
Institute of Pacific Relations. Conference (6th : 1936 : Yosemite, Calif.)			Institute of Pacific Relations. Conference (6th : 1936 : Yosemite, Calif.)				Institute of Pacific Relations. Conference (6th : 1936 : Yosemite, Calif.)			Organization		http://example.org/1055088#Agent710-21	
McKenna, Joseph Charles			McKenna, Joseph Charles				McKenna, Joseph Charles			Person		http://example.org/1055552#Agent100-10	
Treat, Payson Jackson, 1879-			Treat, Payson Jackson, 1879-				Treat, Payson Jackson, 1879-			Person		http://example.org/1070524#Agent100-11	
Commonwealth Secretariat	n79150416	100	Commonwealth Secretariat		n79150416		Commonwealth Secretariat	n79150416	0.9583333333	Organization		http://example.org/1054591#Agent110-13	
Commonwealth Seminar, Singapore, 1970			Commonwealth Seminar, Singapore, 1970				Commonwealth Seminar, Singapore, 1970			Meeting		http://example.org/1054591#Agent711-22	
Moussa, Farag	n90636856	100	Moussa, Farag	n90636856	n90636856	0.9285714286	Moussa, Farag			Person		http://example.org/1062486#Agent100-10	
Contamine, Henry			Contamine, Henry				Contamine, Henry			Person		http://example.org/1054681#Agent100-13	
Smolenskiĭ, P	n84020053	80	Smolenskiĭ, P				Smolenskiĭ, P			Person		http://example.org/1056486#Agent100-11	
Shchetinin, Valentin Dmitrievich	n81134966	94	Shchetinin, Valentin Dmitrievich	n81134966	n81134966	0.8	Shchetinin, Valentin Dmitrievich			Person		http://example.org/1054695#Agent700-21	
Pletnev, Ė. P. (Ėrik Panteleĭmonovich)	n91030931	81	Pletnev, Ė. P. (Ėrik Panteleĭmonovich)	n91030931	n91030931	0.8536585366	Pletnev, Ė. P. (Ėrik Panteleĭmonovich)			Person		http://example.org/1054603#Agent100-10	
Fedorov, L	n97860631	90	Fedorov, L				Fedorov, L			Person		http://example.org/1054564#Agent100-11	
Miruss, Alexander	no00020403	100	Miruss, Alexander	no00020403	no00020403	0.8823529412	Miruss, Alexander			Person		http://example.org/1052576#Agent100-11	
Deutscher Bund (1815-1866)	n50074157	100	Deutscher Bund (1815-1866)				Deutscher Bund (1815-1866)			Jurisdiction		http://example.org/1052576#Agent710-21	
Lauren, Paul Gordon	n79089764	100	Lauren, Paul Gordon	n79089764	n79089764	0.95	Lauren, Paul Gordon			Person		http://example.org/103295#Agent100-14	
Thayer, Charles Wheeler, 1910-			Thayer, Charles Wheeler, 1910-				Thayer, Charles Wheeler, 1910-			Person		http://example.org/1054605#Agent100-11	
Crone, Robert Arnold	n93021267	81	Crone, Robert Arnold				Crone, Robert Arnold			Person		http://example.org/1057206#Agent100-11	
Hübner, Wolfgang	n82050589	97	Hübner, Wolfgang				Hübner, Wolfgang			Person		http://example.org/1091460#Agent100-10	
ʻAwaḍ, Luwīs, 1915-	n84010722	93	ʻAwaḍ, Luwīs, 1915-	n84010722	n84010722	0.8095238095	ʻAwaḍ, Luwīs, 1915-			Person		http://example.org/108009#Agent100-10	
Judson, J. Richard (Jay Richard)	n50062630	100	Judson, J. Richard (Jay Richard)	n50062630	n50062630	1	Judson, J. Richard (Jay Richard)			Person		http://example.org/1079172#Agent100-14	
Barendsz, Dirck, 1534-1592	nb90698504	100	Barendsz, Dirck, 1534-1592	nb90698504	nb90698504	1	Barendsz, Dirck, 1534-1592			Person		http://example.org/1079172#Agent600-25	
Slatkes, Leonard J.	n81119440	100	Slatkes, Leonard J	n81119440	n81119440	0.9473684211	Slatkes, Leonard J			Person		http://example.org/1085870#Agent100-10	
Baburen, Dirck van, ca 1595-1624			Baburen, Dirck van, ca 1595-1624				Baburen, Dirck van, ca 1595-1624			Organization		http://example.org/1085870#Agent610-18	
Benewick, Robert	n50008119	100	Benewick, Robert	n50008119	n50008119	1	Benewick, Robert			Person		http://example.org/1047316#Agent100-16	
Smith, Trevor (Trevor A.)	n85379372	100	Smith, Trevor (Trevor A.)	n85379372	n85379372	1	Smith, Trevor (Trevor A.)			Person		http://example.org/1047316#Agent700-28	
Khan, Mohammad Irshad, 1938-	no95051947	100	Khan, Mohammad Irshad, 1938-	no95051947	no95051947	1	Khan, Mohammad Irshad, 1938-			Person		http://example.org/1046205#Agent100-11	
Bogart, Ernest Ludlow, 1870-1958	n81110414	87	Bogart, Ernest Ludlow, 1870-1958				Bogart, Ernest Ludlow, 1870-1958			Person		http://example.org/1019460#Agent100-10	
Gray, Paul E.	n50032142	100	Gray, Paul E				Gray, Paul E			Person		http://example.org/1000329#Agent100-8	
McGeoch, Dorothy M., 1910-1974	n90644556	100	McGeoch, Dorothy M., 1910-1974	n90644556	n90644556	1	McGeoch, Dorothy M., 1910-1974			Person		http://example.org/1065812#Agent100-10	
Bétourné, Henriette			Bétourné, Henriette				Bétourné, Henriette			Person		http://example.org/100659#Agent100-9	
Guzmán, Daniel de			Guzmán, Daniel de				Guzmán, Daniel de			Person		http://example.org/100659#Agent700-19	
Starr, Charles	n50023291	84	Starr, Charles				Starr, Charles			Person		http://example.org/100659#Agent700-20	
Oppenheimer, Samuel P	n83192833	90	Oppenheimer, Samuel P				Oppenheimer, Samuel P			Person		http://example.org/1004031#Agent100-12	
Monroe, Walter Scott, 1882-1961	n87816571	100	Monroe, Walter Scott, 1882-1961	n87816571	n87816571	1	Monroe, Walter Scott, 1882-1961			Person		http://example.org/1059632#Agent100-10	
Streitz, Ruth, 1892-1984	no2010202737	100	Streitz, Ruth, 1892-1984	no2010202737	no2010202737	1	Streitz, Ruth, 1892-1984			Person		http://example.org/1059632#Agent700-22	
Frederick, Robert Wendell, 1899-	no2009042942	81	Frederick, Robert Wendell, 1899-				Frederick, Robert Wendell, 1899-			Person		http://example.org/1062161#Agent100-10	
Ragsdale, Clarence, Ewin, 1893- 			Ragsdale, Clarence, Ewin, 1893- 				Ragsdale, Clarence, Ewin, 1893- 			Person		http://example.org/1062161#Agent700-20	
Salisbury, Rachel, 1895-1977	no2003019494	100	Salisbury, Rachel, 1895-1977	no2003019494	no2003019494	1	Salisbury, Rachel, 1895-1977			Person		http://example.org/1062161#Agent700-21	
Brink, William Gerard, 1898-	no2015036207	89	Brink, William Gerard, 1898-				Brink, William Gerard, 1898-			Person		http://example.org/1062154#Agent100-10	
Knudsen, Charles W. (Charles William), 1890-1951	no2011044102	100	Knudsen, Charles W. (Charles William), 1890-1951	no2011044102	no2011044102	1	Knudsen, Charles W. (Charles William), 1890-1951			Person		http://example.org/1062154#Agent700-21	
Willsmer, Ray L., 1930-	n84175429	100	Willsmer, Ray L., 1930-	n84175429	n84175429	1	Willsmer, Ray L., 1930-			Person		http://example.org/1011560#Agent100-13	
Dolbeare, Kenneth M.	n50027255	100	Dolbeare, Kenneth M	n50027255	n50027255	0.95	Dolbeare, Kenneth M			Person		http://example.org/1039111#Agent100-12	
Chorley, Richard J.	n79042050	100	Chorley, Richard J	n79042050	n79042050	0.9473684211	Chorley, Richard J			Person		http://example.org/1009674#Agent100-11	
University of California, Berkeley Art Museum	n79058422	89	University of California, Berkeley Art Museum				University of California, Berkeley Art Museum			Organization		http://example.org/1081743#Agent110-10	
Selz, Peter, 1919-	n79137105	100	Selz, Peter, 1919-	n79137105	n79137105	1	Selz, Peter, 1919-			Person		http://example.org/1081743#Agent700-19	
University of California, Berkeley. Committee for Arts and Lectures	n82214301	100	University of California, Berkeley. Committee for Arts and Lectures		n82214301		University of California, Berkeley. Committee for Arts and Lectures	n82214301	1	Organization		http://example.org/1081743#Agent710-20	
Santa Barbara Museum of Art	n79058448	100	Santa Barbara Museum of Art		n79058448		Santa Barbara Museum of Art	n79058448	0.9642857143	Organization		http://example.org/1081743#Agent710-21	
Rosenberg, Sheldon	n81079899	100	Rosenberg, Sheldon	n81079899	n81079899	0.9473684211	Rosenberg, Sheldon			Person		http://example.org/1094406#Agent100-12	
Thompson, Denys, 1907-1988	n50008338	100	Thompson, Denys, 1907-1988	n50008338	n50008338	1	Thompson, Denys, 1907-1988			Person		http://example.org/1065586#Agent100-13	
Winnipeg Art Gallery	n80046909	100	Winnipeg Art Gallery		n80046909		Winnipeg Art Gallery	n80046909	1	Organization		http://example.org/1087319#Agent110-13	
Church of England	n79056234	100	Church of England		n79056234		Church of England	n79056234	1	Organization		http://example.org/1034111#Agent610-18	
Paul VI, Pope, 1897-1978	n79054084	100	Paul VI, Pope, 1897-1978	n79054084	n79054084	0.8333333333	Paul VI, Pope, 1897-1978			Person		http://example.org/1043182#Agent100-10	
Stephens, Thomas M.	n50020771	100	Stephens, Thomas M				Stephens, Thomas M			Person		http://example.org/107956#Agent100-11	
Ballinger, Raymond A., 1907-1985	n50019967	100	Ballinger, Raymond A., 1907-1985	n50019967	n50019967	1	Ballinger, Raymond A., 1907-1985			Person		http://example.org/1015363#Agent100-11	
Baker, John Calhoun, 1895-	no90027416	90	Baker, John Calhoun, 1895-	no90027416	no90027416	0.8666666667	Baker, John Calhoun, 1895-			Person		http://example.org/1004475#Agent100-12	
United States. Central Intelligence Agency. Directorate of Intelligence	n81013468	100	United States. Central Intelligence Agency. Directorate of Intelligence		n81013468		United States. Central Intelligence Agency. Directorate of Intelligence	n81013468	1	Jurisdiction		http://example.org/1001701#Agent710-31	
Konoshima, Sumiye	n85330386	100	Konoshima, Sumiye	n85330386	n85330386	1	Konoshima, Sumiye			Person		http://example.org/1027887#Agent100-11	
Hawaii. University, Honolulu. Center for Cultural and Technical Interchange Between East and West. Library			Hawaii. University, Honolulu. Center for Cultural and Technical Interchange Between East and West. Library				Hawaii. University, Honolulu. Center for Cultural and Technical Interchange Between East and West. Library			Jurisdiction		http://example.org/1027887#Agent810-20	
Hsiao, T. C			Hsiao, T. C				Hsiao, T. C			Person		http://example.org/101077#Agent100-11	
System Development Corporation	n80126031	100	System Development Corporation		n80126031		System Development Corporation	n80126031	1	Organization		http://example.org/1055834#Agent110-14	
National Referral Center for Science and Technology (U.S.)	n81054095	100	National Referral Center for Science and Technology (U.S.)		n81054095		National Referral Center for Science and Technology (U.S.)	n81054095	0.9830508475	Organization		http://example.org/1034240#Agent110-11	
Federal Council for Science and Technology (U.S.). Committee on Scientific and Technical Information Panel on Information Analysis and Data Centers			Federal Council for Science and Technology (U.S.). Committee on Scientific and Technical Information Panel on Information Analysis and Data Centers				Federal Council for Science and Technology (U.S.). Committee on Scientific and Technical Information Panel on Information Analysis and Data Centers			Organization		http://example.org/1034240#Agent710-24	
Central Opera Service (New York, N.Y.)	n83165438	100	Central Opera Service (New York, N.Y.)		n83165438		Central Opera Service (New York, N.Y.)	n83165438	1	Organization		http://example.org/1042411#Agent110-10	
Charities Aid Fund	n81086886	100	Charities Aid Fund		n81086886		Charities Aid Fund	n81086886	1	Organization		http://example.org/1050493#Agent110-11	
Livingston Booth, John Dick			Livingston Booth, John Dick				Livingston Booth, John Dick			Person		http://example.org/1050493#Agent700-21	
Sharpe, Grant William	n81043173	100	Sharpe, Grant William	n81043173	n81043173	0.9545454545	Sharpe, Grant William			Person		http://example.org/1072062#Agent100-9	
Searles, Robert K	n00073820	93	Searles, Robert K				Searles, Robert K			Person		http://example.org/1072062#Agent700-22	
Association of Interpretive Naturalists	n79097009	100	Association of Interpretive Naturalists		n79097009		Association of Interpretive Naturalists	n79097009	1	Organization		http://example.org/1072062#Agent710-23	
American Library Association	n79062941	100	American Library Association		n79062941		American Library Association	n79062941	0.9285714286	Organization		http://example.org/1001710#Agent710-27	
Eyre, John J	nb2001005958	81	Eyre, John J				Eyre, John J			Person		http://example.org/1005564#Agent100-10	
Association of British Library Schools			Association of British Library Schools				Association of British Library Schools			Organization		http://example.org/1005564#Agent710-22	
Eyre, John J	nb2001005958	81	Eyre, John J				Eyre, John J			Person		http://example.org/1005562#Agent100-10	
Association of British Library Schools			Association of British Library Schools				Association of British Library Schools			Organization		http://example.org/1005562#Agent710-21	
Associated Councils of the Arts	n79066361	100	Associated Councils of the Arts		n79066361		Associated Councils of the Arts	n79066361	0.96875	Organization		http://example.org/1077726#Agent110-10	
White, E. G. entymologist			White, E. G. entymologist				White, E. G. entymologist			Person		http://example.org/1079406#Agent700-21	
Entomological Society of New Zealand	n83200556	100	Entomological Society of New Zealand		n83200556		Entomological Society of New Zealand	n83200556	1	Organization		http://example.org/1079406#Agent710-22	
Fenwick, Dennis T.	n84034345	100	Fenwick, Dennis T	n84034345	n84034345	0.9444444444	Fenwick, Dennis T			Person		http://example.org/1076536#Agent700-19	
John Bassett Moore Society of International Law	n79059686	100	John Bassett Moore Society of International Law		n79059686		John Bassett Moore Society of International Law	n79059686	1	Organization		http://example.org/1076536#Agent710-20	
George Washington University. Social Research Group	n81003773	100	George Washington University. Social Research Group		n81003773		George Washington University. Social Research Group	n81003773	1	Organization		http://example.org/1057972#Agent110-13	
Gertler, Diane Bochner, 1914-	n50016517	80	Gertler, Diane Bochner, 1914-				Gertler, Diane Bochner, 1914-			Person		http://example.org/1057972#Agent700-24	
United States. Department of Health, Education, and Welfare. Office for Civil Rights. Data Analysis Branch	n50061594	97	United States. Dept. of Health, Education, and Welfare. Office for Civil Rights. Data Analysis Branch		n50061594		United States. Dept. of Health, Education, and Welfare. Office for Civil Rights. Data Analysis Branch	n50061594	0.9433962264	Jurisdiction		http://example.org/1057972#Agent710-25	
International Planned Parenthood Federation	n79100951	100	International Planned Parenthood Federation		n79100951		International Planned Parenthood Federation	n79100951	0.9772727273	Organization		http://example.org/1030871#Agent110-13	
University of Manchester	n80126193	100	University of Manchester		n80126193		University of Manchester	n80126193	0.96	Organization		http://example.org/1036419#Agent110-12	
Bates, Alan, 1929 August-	n50025791	100	Bates, Alan, 1929 August-	n50025791	n50025791	1	Bates, Alan, 1929 August-			Person		http://example.org/1007193#Agent100-15	
California Society of Certified Public Accountants	n81079043	100	California Society of Certified Public Accountants		n81079043		California Society of Certified Public Accountants	n81079043	1	Organization		http://example.org/1026264#Agent110-10	
Special Libraries Association. Transportation Division	no96068438	100	Special Libraries Association. Transportation Division		no96068438		Special Libraries Association. Transportation Division	no96068438	0.9818181818	Organization		http://example.org/1024307#Agent110-12	
Eyre, John J	nb2001005958	81	Eyre, John J				Eyre, John J			Person		http://example.org/1005566#Agent100-12	
Association of British Library Schools			Association of British Library Schools				Association of British Library Schools			Organization		http://example.org/1005566#Agent710-25	
National Bureau for Co-operation in Child Care	n80104821	100	National Bureau for Co-operation in Child Care		n80104821		National Bureau for Co-operation in Child Care	n80104821	1	Organization		http://example.org/1032634#Agent110-15	
Pringle, M. L. Kellmer (Mia Lilly Kellmer)	n50022520	100	Pringle, M. L. Kellmer (Mia Lilly Kellmer)	n50022520	n50022520	1	Pringle, M. L. Kellmer (Mia Lilly Kellmer)			Person		http://example.org/1032634#Agent700-26	
Davie, Ronald	n50035677	100	Davie, Ronald	n50035677	n50035677	0.9285714286	Davie, Ronald			Person		http://example.org/1032634#Agent700-27	
Hancock, Louis Edwin			Hancock, Louis Edwin				Hancock, Louis Edwin			Person		http://example.org/1032634#Agent700-28	
United States. Congress. Senate. Committee on the Judiciary	n82209587	100	United States. Congress. Senate. Committee on the Judiciary				United States. Congress. Senate. Committee on the Judiciary			Jurisdiction		http://example.org/103885#Agent110-10	
United States. 91st Congress, 2d session. House			United States. 91st Congress, 2d session. House				United States. 91st Congress, 2d session. House			Jurisdiction		http://example.org/103885#Agent810-23	
Kingston, William	n83168288	100	Kingston, William				Kingston, William			Person		http://example.org/1002421#Agent700-23	
Biggs, Alfred John			Biggs, Alfred John				Biggs, Alfred John			Person		http://example.org/1061552#Agent100-11	
Wright, Wilmer	n79059736	100	Wright, Wilmer	n79059736	n79059736	0.9333333333	Wright, Wilmer			Person		http://example.org/1016129#Agent100-10	
Lynch, Thomas D.	n92058558	100	Lynch, Thomas D				Lynch, Thomas D			Person		http://example.org/105074#Agent100-11	
Institute of Chartered Accountants of Scotland	n81133563	100	Institute of Chartered Accountants of Scotland		n81133563		Institute of Chartered Accountants of Scotland	n81133563	0.9782608696	Organization		http://example.org/105074#Agent710-20	
Ducrot, Oswald	n81017187	100	Ducrot, Oswald	n81017187	n81017187	0.9333333333	Ducrot, Oswald			Person		http://example.org/1089428#Agent100-10	
Nascimento, Amauri Mascaro	n50044431	100	Nascimento, Amauri Mascaro	n50044431	n50044431	1	Nascimento, Amauri Mascaro			Person		http://example.org/1001164#Agent700-21	
Balladore Pallieri, Giorgio, 1905-1980	n88001772	100	Balladore Pallieri, Giorgio, 1905-1980	n88001772	n88001772	1	Balladore Pallieri, Giorgio, 1905-1980			Person		http://example.org/1055402#Agent100-10	
Sereni, Angelo Piero, 1908-	no97008919	100	Sereni, Angelo Piero, 1908-	no97008919	no97008919	1	Sereni, Angelo Piero, 1908-			Person		http://example.org/1055405#Agent100-10	
Young, Jim, 1937-			Young, Jim, 1937-				Young, Jim, 1937-			Person		http://example.org/1072941#Agent100-10	
Young, Jim, 1937-			Young, Jim, 1937-				Young, Jim, 1937-			Person		http://example.org/1072941#Agent600-18	
Taylor, Jim, 1937-	n85817175	100	Taylor, Jim, 1937-	n85817175	n85817175	1	Taylor, Jim, 1937-			Person		http://example.org/1072941#Agent700-19	
Demaris, Ovid	n80087667	100	Demaris, Ovid	n80087667	n80087667	0.9285714286	Demaris, Ovid			Person		http://example.org/1037014#Agent100-14	
Seelye, John D			Seelye, John D				Seelye, John D			Person		http://example.org/1006656#Agent100-11	
Jaffe, A. J., 1912-1997	n50036725	100	Jaffe, A. J., 1912-1997	n50036725	n50036725	1	Jaffe, A. J., 1912-1997			Person		http://example.org/1002924#Agent100-12	
Day, Lincoln H., 1928-	n83187848	100	Day, Lincoln H., 1928-	n83187848	n83187848	1	Day, Lincoln H., 1928-			Person		http://example.org/1002924#Agent700-23	
Adams, Walter, 1922-1990	no2005079774	100	Adams, Walter, 1922-1990	no2005079774	no2005079774	1	Adams, Walter, 1922-1990			Person		http://example.org/1002924#Agent700-24	
Columbia University. Bureau of Applied Social Research	n79082162	100	Columbia University. Bureau of Applied Social Research		n79082162		Columbia University. Bureau of Applied Social Research	n79082162	1	Organization		http://example.org/1002924#Agent710-25	
Pepper, Susan, 1943-			Pepper, Susan, 1943-				Pepper, Susan, 1943-			Person		http://example.org/1042600#Agent100-9	
Schmidt, Richard, 1862-1944	n82053101	100	Schmidt, Richard, 1862-1944	n82053101	n82053101	1	Schmidt, Richard, 1862-1944			Person		http://example.org/1055206#Agent700-21	
Grabowsky, Adolf, 1880-1969	n82053100	100	Grabowsky, Adolf, 1880-1969	n82053100	n82053100	1	Grabowsky, Adolf, 1880-1969			Person		http://example.org/1055206#Agent700-22	
Rohde, Hans			Rohde, Hans				Rohde, Hans			Person		http://example.org/1055206#Agent700-23	
Zeitschrift für politik			Zeitschrift für politik				Zeitschrift für politik			Organization		http://example.org/1055206#Agent710-24	
Wheeler-Bennett, John Wheeler, Sir, 1902-1975	n50019057	100	Wheeler-Bennett, John Wheeler, Sir, 1902-1975	n50019057	n50019057	1	Wheeler-Bennett, John Wheeler, Sir, 1902-1975			Person		http://example.org/1057743#Agent100-11	
Davis, Jerome, 1891-1979	n89608975	100	Davis, Jerome, 1891-1979	n89608975	n89608975	1	Davis, Jerome, 1891-1979			Person		http://example.org/1055203#Agent100-10	
Melman, Seymour	n50007223	100	Melman, Seymour	n50007223	n50007223	1	Melman, Seymour			Person		http://example.org/1054783#Agent100-13	
Buck, Tim, 1891-1973			Buck, Tim, 1891-1973				Buck, Tim, 1891-1973			Person		http://example.org/1066174#Agent100-9	
Thomas, Hugh, 1931-	n50010176	86	Thomas, Hugh, 1931-	n50010176	n50010176	0.8260869565	Thomas, Hugh, 1931-			Person		http://example.org/1055273#Agent100-10	
Steffes, Johann Peter, 1885-1955	no2012119536	100	Steffes, Johann Peter, 1885-1955	no2012119536	no2012119536	1	Steffes, Johann Peter, 1885-1955			Person		http://example.org/1055265#Agent100-10	
Toll, Johannes Michael, 1878-	n95001135	100	Toll, Johannes Michael, 1878-	n95001135	n95001135	1	Toll, Johannes Michael, 1878- 			Person		http://example.org/1055265#Agent700-19	
Allende Gossens, Salvador, 1908-1973	n50022993	100	Allende Gossens, Salvador, 1908-1973	n50022993	n50022993	0.972972973	Allende Gossens, Salvador, 1908-1973			Person		http://example.org/1034809#Agent600-21	
Evans, Leslie	n79133799	100	Evans, Leslie				Evans, Leslie			Person		http://example.org/1034809#Agent700-23	
Manning, Diana H. (Diana Helen)	n86130208	100	Manning, Diana H. (Diana Helen)	n86130208	n86130208	1	Manning, Diana H. (Diana Helen)			Person		http://example.org/101544#Agent100-11	
Muir, Shirley L			Muir, Shirley L				Muir, Shirley L			Person		http://example.org/100488#Agent100-10	
Disciples of Christ	n80125898	100	Disciples of Christ		n80125898		Disciples of Christ	n80125898	1	Organization		http://example.org/100488#Agent610-18	
Srivastava, Kirpa Dayal	n50029588	100	Srivastava, Kirpa Dayal	n50029588	n50029588	1	Srivastava, Kirpa Dayal			Person		http://example.org/1013898#Agent100-13	
Baer, Walter E.	n78080655	100	Baer, Walter E	n78080655	n78080655	0.9333333333	Baer, Walter E			Person		http://example.org/1009773#Agent100-14	
Cleugh, Mary Frances			Cleugh, Mary Frances				Cleugh, Mary Frances			Person		http://example.org/1069968#Agent100-13	
Welch, I. David (Ira David), 1940-	n50002431	100	Welch, I. David (Ira David), 1940-	n50002431	n50002431	1	Welch, I. David (Ira David), 1940-			Person		http://example.org/1055973#Agent100-11	
Smith, Thomas Vernor, 1890-1964	n50013220	100	Smith, Thomas Vernor, 1890-1964	n50013220	n50013220	1	Smith, Thomas Vernor, 1890-1964			Person		http://example.org/1024141#Agent100-10	
Jessup, Michael H.	no00045542	100	Jessup, Michael H	no00045542	no00045542	0.9444444444	Jessup, Michael H			Person		http://example.org/1069942#Agent100-13	
Kiley, Margaret A., 1928-	no00045539	100	Kiley, Margaret A., 1928-	no00045539	no00045539	1	Kiley, Margaret A., 1928- 			Person		http://example.org/1069942#Agent700-25	
Grey, Loren	n50031043	100	Grey, Loren	n50031043	n50031043	1	Grey, Loren			Person		http://example.org/1004469#Agent100-11	
Cranford, Peter Gordon, 1908-	n81089199	100	Cranford, Peter Gordon, 1908-	n81089199	n81089199	1	Cranford, Peter Gordon, 1908-			Person		http://example.org/1029036#Agent100-10	
United States. Congress. Senate. Committee on Government Operations. Subcommittee on Intergovernmental Relations	n79049561	100	United States. Congress. Senate. Committee on Government Operations. Subcommittee on Intergovernmental Relations		n79049561		United States. Congress. Senate. Committee on Government Operations. Subcommittee on Intergovernmental Relations	n79049561	1	Jurisdiction		http://example.org/1078675#Agent110-10	
United States. Congress. Senate. Committee on Government Operations. Subcommittee on Budgeting, Management, and Expenditures	n50080731	100	United States. Congress. Senate. Committee on Government Operations. Subcommittee on Budgeting, Management, and Expenditures		n50080731		United States. Congress. Senate. Committee on Government Operations. Subcommittee on Budgeting, Management, and Expenditures	n50080731	1	Jurisdiction		http://example.org/1078675#Agent710-21	
American Institute of Certified Public Accountants	n79036129	100	American Institute of Certified Public Accountants		n79036129		American Institute of Certified Public Accountants	n79036129	0.92	Organization		http://example.org/1001152#Agent710-23	
American Institute of Certified Public Accountants. Technical Information Division	n86815872	100	American Institute of Certified Public Accountants. Technical Information Division		n86815872		American Institute of Certified Public Accountants. Technical Information Division	n86815872	1	Organization		http://example.org/1001152#Agent710-24	
Foreman, Lewis	n50026055	100	Foreman, Lewis				Foreman, Lewis			Person		http://example.org/1024651#Agent100-10	
Stedman, Murray Salisbury, 1917-			Stedman, Murray Salisbury, 1917-				Stedman, Murray Salisbury, 1917-			Person		http://example.org/1045694#Agent100-11	
Stedman, Susan (Winter)			Stedman, Susan (Winter)				Stedman, Susan (Winter)			Person		http://example.org/1045694#Agent700-21	
Conference on Discontinuous Groups and Riemann Surfaces (1973 : University of Maryland)	n80059242	100	Conference on Discontinuous Groups and Riemann Surfaces (1973 : University of Maryland)		n80059242		Conference on Discontinuous Groups and Riemann Surfaces (1973 : University of Maryland)	n80059242	0.9772727273	Meeting		http://example.org/1008610#Agent111-11	
Greenberg, Leon	nr94013671	100	Greenberg, Leon	nr94013671	nr94013671	0.9375	Greenberg, Leon			Person		http://example.org/1008610#Agent700-22	
Creighton, James Lesley, 1934-			Creighton, James Lesley, 1934-				Creighton, James Lesley, 1934-			Person		http://example.org/1023566#Agent100-11	
Luckyj, George Stephen Nestor, 1919-2001	n50047310	83	Luckyj, George Stephen Nestor, 1919-2001				Luckyj, George Stephen Nestor, 1919-2001			Person		http://example.org/107745#Agent700-20	
Kushel, Gerald	n90674026	100	Kushel, Gerald	n90674026	n90674026	0.9333333333	Kushel, Gerald			Person		http://example.org/1060922#Agent100-13	
Liu, Dai, 1930-	n82103109	100	Liu, Dai, 1930-	n82103109	n82103109	1	Liu, Dai, 1930-			Person		http://example.org/1010010#Agent100-13	
Engel, Carl, 1883-1944	n82019987	100	Engel, Carl, 1883-1944	n82019987	n82019987	1	Engel, Carl, 1883-1944			Person		http://example.org/1073082#Agent100-10	
Summo, Faustino, -1611	n99257707	100	Summo, Faustino, -1611	n99257707	n99257707	1	Summo, Faustino, -1611			Person		http://example.org/1054613#Agent100-10	
Corradini, Enrico, 1868-1931	n50020315	100	Corradini, Enrico, 1868-1931	n50020315	n50020315	1	Corradini, Enrico, 1868-1931			Person		http://example.org/1048686#Agent100-13	
Riccoboni, Luigi, 1676-1753	n85279792	100	Riccoboni, Luigi, 1676-1753	n85279792	n85279792	1	Riccoboni, Luigi, 1676-1753			Person		http://example.org/1060123#Agent100-10	
Mamczarz, Irène	n82250445	96	Mamczarz, Irène	n82250445	n82250445	1	Mamczarz, Irène			Person		http://example.org/1060123#Agent700-20	
Banchieri, Adriano, -1634	n81024793		Banchieri, Adriano, -1634	n81024793	n81024793	0.8620689655	Banchieri, Adriano, -1634			Person		http://example.org/1092837#Agent100-11	
Silva, Alcionilio Bruzzi Alves da, 1901-	n81042195	100	Silva, Alcionilio Bruzzi Alves da, 1901-	n81042195	n81042195	1	Silva, Alcionilio Bruzzi Alves da, 1901-			Person		http://example.org/1029515#Agent100-10	
