Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Derennes, Charles, 1882-1930	nr95037403	100	Derennes, Charles, 1882-1930	nr95037403	nr95037403	1	Derennes, Charles, 1882-1930			Person		http://example.org/10714#Agent100-10	
Auclair, Elie-J. (Elie-Joseph), 1866-1946	no95029667	100	Auclair, Elie-J. (Elie-Joseph), 1866-1946	no95029667	no95029667	0.9534883721	Auclair, Elie-J. (Elie-Joseph), 1866-1946			Person		http://example.org/1012344#Agent100-9	
Caron, mère, 1808-1888			Caron, mère, 1808-1888				Caron, mère, 1808-1888			Person		http://example.org/1012344#Agent600-17	
Sisters of Providence (Montréal, Quebec)			Sisters of Providence (Montréal, Quebec)				Sisters of Providence (Montréal, Quebec)			Organization		http://example.org/1012344#Agent610-18	
Gamelin, Emélie, 1800-1851			Gamelin, Emélie, 1800-1851				Gamelin, Emélie, 1800-1851			Person		http://example.org/1024185#Agent600-17	
Sisters of Providence (Montréal, Quebec)			Sisters of Providence (Montréal, Quebec)				Sisters of Providence (Montréal, Quebec)			Organization		http://example.org/1024185#Agent610-18	
Tessier, Rose-de-Lima			Tessier, Rose-de-Lima				Tessier, Rose-de-Lima			Person		http://example.org/1024185#Agent700-19	
Auclair, Elie-J. (Elie-Joseph), 1866-1946	no95029667	100	Auclair, Elie-J. (Elie-Joseph), 1866-1946	no95029667	no95029667	0.9534883721	Auclair, Elie-J. (Elie-Joseph), 1866-1946			Person		http://example.org/1028987#Agent100-9	
Forbes, John, 1864-1926	no2007076360	100	Forbes, John, 1864-1926	no2007076360	no2007076360	1	Forbes, John, 1864-1926			Person		http://example.org/1028987#Agent600-17	
White Fathers	n50069716	100	White Fathers		n50069716		White Fathers	n50069716	1	Organization		http://example.org/1028987#Agent610-18	
Granet, Dominique, 1810-1866			Granet, Dominique, 1810-1866				Granet, Dominique, 1810-1866			Person		http://example.org/1038460#Agent600-17	
Séminaire de St. Sulpice (Montréal)			Séminaire de St. Sulpice (Montréal)				Séminaire de St. Sulpice (Montréal)			Jurisdiction		http://example.org/1038460#Agent610-18	
Faillon, Etienne Michel, 1799-1870	n81150152	100	Faillon, Etienne Michel, 1799-1870	n81150152	n81150152	0.9411764706	Faillon, Etienne Michel, 1799-1870			Person		http://example.org/1021656#Agent100-9	
Youville, Marguerite d', 1701-1771	n87903462	100	Youville, Marguerite d', 1701-1771	n87903462	n87903462	0.9428571429	Youville, Marguerite d', 1701-1771			Person		http://example.org/1021656#Agent600-17	
Leblond de Brumath, A. (Adrien), 1854-1939			Leblond de Brumath, A. (Adrien), 1854-1939				Leblond de Brumath, A. (Adrien), 1854-1939			Person		http://example.org/1031468#Agent100-9	
Olier, Jean-Jacques, 1608-1657	n82129182	100	Olier, Jean-Jacques, 1608-1657	n82129182	n82129182	1	Olier, Jean-Jacques, 1608-1657			Person		http://example.org/1031468#Agent600-18	
Séminaire de St. Sulpice (Montréal)			Séminaire de St. Sulpice (Montréal)				Séminaire de St. Sulpice (Montréal)			Jurisdiction		http://example.org/1031468#Agent610-19	
Burigny, M. de (Jean Lévesque), 1692-1785	n85273674	99	Burigny, M. de (Jean Lévesque), 1692-1785	n85273674	n85273674	1	Burigny, M. de (Jean Lévesque), 1692-1785			Person		http://example.org/1020267#Agent100-9	
Erasmus, Desiderius, -1536	n79055814	100	Erasmus, Desiderius, -1536	n79055814	n79055814	1	Erasmus, Desiderius, -1536			Person		http://example.org/1020267#Agent600-17	
Waltz, René, 1875-	no94009754	97	Waltz, René, 1875-	no94009754	no94009754	1	Waltz, René, 1875-			Person		http://example.org/1092021#Agent100-12	
Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.	n79004229	100	Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D	n79004229	n79004229	0.9807692308	Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D			Person		http://example.org/1092021#Agent600-21	
Plutarch	n79026763	100	Plutarch	n79026763	n79026763	1	Plutarch			Person		http://example.org/1091405#Agent100-9	
Themistocles, approximately 524 B.C.-approximately 459 B.C.	n83177742	100	Themistocles, approximately 524 B.C.-approximately 459 B.C	n83177742	n83177742	0.9830508475	Themistocles, approximately 524 B.C.-approximately 459 B.C			Person		http://example.org/1091405#Agent600-21	
Flacelière, Robert, 1904-	n50003252	88	Flacelière, Robert, 1904-	n50003252	n50003252	0.8620689655	Flacelière, Robert, 1904-			Person		http://example.org/1091405#Agent700-22	
Colletet, Guillaume, 1598-1659	n82223008	100	Colletet, Guillaume, 1598-1659	n82223008	n82223008	1	Colletet, Guillaume, 1598-1659			Person		http://example.org/1082172#Agent100-10	
Beaulieu, Eustorg de, -1552	no2003102493	100	Beaulieu, Eustorg de, -1552	no2003102493	no2003102493	1	Beaulieu, Eustorg de, -1552			Person		http://example.org/1082172#Agent600-18	
Tamizey de Larroque, Philippe, 1828-1898	n2004022758	100	Tamizey de Larroque, Philippe, 1828-1898	n2004022758	n2004022758	1	Tamizey de Larroque, Philippe, 1828-1898			Person		http://example.org/1082172#Agent700-19	
Association de la jeunesse canadienne			Association de la jeunesse canadienne				Association de la jeunesse canadienne			Organization		http://example.org/102670#Agent110-10	
Gabus, Jean	n83016643	100	Gabus, Jean	n83016643	n83016643	1	Gabus, Jean			Person		http://example.org/102445#Agent100-10	
Boussinot, Roger	n50045303	100	Boussinot, Roger	n50045303	n50045303	0.9411764706	Boussinot, Roger			Person		http://example.org/100043#Agent100-9	
Touraine, Alain	n79075230	100	Touraine, Alain	n79075230	n79075230	1	Touraine, Alain			Person		http://example.org/1043492#Agent100-12	
Fèvre, Justin Louis Pierre, 1829-1907			Fèvre, Justin Louis Pierre, 1829-1907				Fèvre, Justin Louis Pierre, 1829-1907			Person		http://example.org/1075136#Agent100-10	
Tardivel, Jules Paul, 1851-1905	nr95026899	100	Tardivel, Jules Paul, 1851-1905	nr95026899	nr95026899	0.9677419355	Tardivel, Jules Paul, 1851-1905			Person		http://example.org/1075136#Agent600-19	
Bekombo, Manga	n85327077	100	Bekombo, Manga	n85327077	n85327077	1	Bekombo, Manga			Person		http://example.org/1029694#Agent100-10	
Massion, Anne	no2008084729	100	Massion, Anne	no2008084729	no2008084729	1	Massion, Anne			Person		http://example.org/1029694#Agent700-20	
Villeneuve, Jean Marie Rodrigue, 1883-1947	n92032877	100	Villeneuve, Jean Marie Rodrigue, 1883-1947	n92032877	n92032877	0.9523809524	Villeneuve, Jean Marie Rodrigue, 1883-1947			Person		http://example.org/1024628#Agent600-17	
Villeneuve, Ubald, 1907-	n2004091248	100	Villeneuve, Ubald, 1907-	n2004091248	n2004091248	1	Villeneuve, Ubald, 1907-			Person		http://example.org/1024628#Agent700-18	
