Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	blank
Interdepartmental Skilled Manpower Training Research Committee (Canada)	n88649305	100	Interdepartmental Skilled Manpower Training Research Committee (Canada)				Interdepartmental Skilled Manpower Training Research Committee (Canada)			Organization		http://example.org/1000551#Agent710-26	
Society of Chemical Industry (Great Britain). Pesticides Group	n85342034	100	Society of Chemical Industry (Great Britain). Pesticides Group		n85342034		Society of Chemical Industry (Great Britain). Pesticides Group	n85342034	1	Organization		http://example.org/1055513#Agent710-20	
Hetzler, Stanley A.	no97004741	100	Hetzler, Stanley A	no97004741	no97004741	0.9473684211	Hetzler, Stanley A			Person		http://example.org/1024937#Agent100-15	
Burks, Richard Voyles, 1913-	n50032327	100	Burks, Richard Voyles, 1913-	n50032327	n50032327	1	Burks, Richard Voyles, 1913-			Person		http://example.org/1018910#Agent100-11	
Columbia University Seminar on Technology and Social Change	no94027383	100	Columbia University Seminar on Technology and Social Change		no94027383		Columbia University Seminar on Technology and Social Change	no94027383	1	Meeting		http://example.org/105561#Agent111-11	
Morse, Dean	n79063835	100	Morse, Dean	n79063835	n79063835	1	Morse, Dean			Person		http://example.org/105561#Agent700-23	
Warner, Aaron W., 1908-	n99282097	100	Warner, Aaron W., 1908-	n99282097	n99282097	1	Warner, Aaron W., 1908-			Person		http://example.org/105561#Agent700-24	
Hagley Museum	n50077866	100	Hagley Museum				Hagley Museum			Organization		http://example.org/1072448#Agent710-21	
Henry Francis du Pont Winterthur Museum	n79131965	100	Henry Francis du Pont Winterthur Museum		n79131965		Henry Francis du Pont Winterthur Museum	n79131965	0.9743589744	Organization		http://example.org/1072448#Agent710-22	
Dechame, Alix			Dechame, Alix				Dechame, Alix			Person		http://example.org/1061120#Agent100-10	
Capdupuy, Renée			Capdupuy, Renée				Capdupuy, Renée			Person		http://example.org/1061120#Agent700-20	
Grützmacher, Friedrich, 1832-1903	n81125406	98	Grützmacher, Friedrich, 1832-1903	n81125406	n81125406	1	Grützmacher, Friedrich, 1832-1903			Person		http://example.org/106558#Agent100-9	
Katz, Helmut			Katz, Helmut				Katz, Helmut			Person		http://example.org/1045191#Agent100-11	
DeGregori, Thomas R.	n88079231	100	DeGregori, Thomas R	n88079231	n88079231	0.9	DeGregori, Thomas R			Person		http://example.org/1079905#Agent100-9	
Peter McLoughlin Associates	no97010849	100	Peter McLoughlin Associates		no97010849		Peter McLoughlin Associates	no97010849	1	Organization		http://example.org/1079905#Agent810-20	
Aerospace Education Foundation	n88282644	94	Aerospace Education Foundation		n88282644		Aerospace Education Foundation	n88282644	0.8108108108	Organization		http://example.org/1061625#Agent110-11	
Phillips, Almarin	n50010268	100	Phillips, Almarin	n50010268	n50010268	0.9444444444	Phillips, Almarin			Person		http://example.org/1004014#Agent100-12	
Hall, Cameron P.	no2003035580	100	Hall, Cameron P	no2003035580	no2003035580	0.9375	Hall, Cameron P			Person		http://example.org/1024929#Agent100-15	
Taylor, James Chapman, 1937-	n92059402	86	Taylor, James Chapman, 1937-				Taylor, James Chapman, 1937-			Person		http://example.org/1013868#Agent100-12	
University of Michigan. Center for Research on Utilization of Scientific Knowledge	no2010107007	100	University of Michigan. Center for Research on Utilization of Scientific Knowledge		no2010107007		University of Michigan. Center for Research on Utilization of Scientific Knowledge	no2010107007	1	Organization		http://example.org/1013868#Agent710-24	
Weiss, John H	no2015004682	86	Weiss, John H				Weiss, John H			Person		http://example.org/1024966#Agent100-12	
Harvard University. Program on Technology and Society	n83029457	100	Harvard University. Program on Technology and Society		n83029457		Harvard University. Program on Technology and Society	n83029457	0.9433962264	Organization		http://example.org/1024966#Agent710-24	
Buchanan, R. A. (Robert Angus), 1930-	n79068671	100	Buchanan, R. A. (Robert Angus), 1930-	n79068671	n79068671	1	Buchanan, R. A. (Robert Angus), 1930-			Person		http://example.org/1024914#Agent100-11	
Ogburn, William F., 1886-1959	n50029677	100	Ogburn, William F., 1886-1959	n50029677	n50029677	1	Ogburn, William F., 1886-1959			Person		http://example.org/1030720#Agent100-13	
Nimkoff, Meyer Francis, 1904- 			Nimkoff, Meyer Francis, 1904- 				Nimkoff, Meyer Francis, 1904- 			Person		http://example.org/1030720#Agent700-24	
Taviss, Irene	n50008656	100	Taviss, Irene	n50008656	n50008656	1	Taviss, Irene			Person		http://example.org/1030405#Agent100-12	
Burbank, Judith	no2002113529	100	Burbank, Judith	no2002113529	no2002113529	1	Burbank, Judith			Person		http://example.org/1030405#Agent700-26	
Rothschild, Joan	n83068837	100	Rothschild, Joan	n83068837	n83068837	1	Rothschild, Joan			Person		http://example.org/1030405#Agent700-27	
Bellow, Saul	n79078646	100	Bellow, Saul	n79078646	n79078646	1	Bellow, Saul			Person		http://example.org/1075543#Agent700-21	
Llewelyn, G. I. W			Llewelyn, G. I. W				Llewelyn, G. I. W			Person		http://example.org/1050404#Agent100-12	
Hamlin, A. G.	nb98084685	100	Hamlin, A. G	nb98084685	nb98084685	0.9230769231	Hamlin, A. G			Person		http://example.org/1050404#Agent700-25	
Programmes Analysis Unit			Programmes Analysis Unit				Programmes Analysis Unit			Organization		http://example.org/1050404#Agent710-26	
National Economic Development Office	n80050380	100	National Economic Development Office				National Economic Development Office			Organization		http://example.org/1050404#Agent710-27	
Taviss, Irene	n50008656	100	Taviss, Irene	n50008656	n50008656	1	Taviss, Irene			Person		http://example.org/1024953#Agent100-12	
Meissner, Martin, 1927-	n93118449	100	Meissner, Martin, 1927-	n93118449	n93118449	0.8518518519	Meissner, Martin, 1927-			Person		http://example.org/1000398#Agent100-12	
Olsen, Fred A			Olsen, Fred A				Olsen, Fred A			Person		http://example.org/1008422#Agent100-11	
United States. Patent Office. Office of Technology Assessment and Forecast	n80066871	100	United States. Patent Office. Office of Technology Assessment and Forecast		n80066871		United States. Patent Office. Office of Technology Assessment and Forecast	n80066871	1	Jurisdiction		http://example.org/1071041#Agent110-9	
Baranson, Jack	n50022059	100	Baranson, Jack	n50022059	n50022059	0.9333333333	Baranson, Jack			Person		http://example.org/105419#Agent100-10	
Pula, Fred John	no2002003385	100	Pula, Fred John	no2002003385	no2002003385	1	Pula, Fred John			Person		http://example.org/1007823#Agent100-12	
Goff, Robert J.	no2005095203	100	Goff, Robert J	no2005095203	no2005095203	0.9333333333	Goff, Robert J			Person		http://example.org/1007823#Agent700-22	
National School Public Relations Association	n79107713	100	National School Public Relations Association				National School Public Relations Association			Organization		http://example.org/1061814#Agent710-24	
Kreps, Juanita Morris			Kreps, Juanita Morris				Kreps, Juanita Morris			Person		http://example.org/1000341#Agent700-22	
National Council on the Aging. Committee on Employment and Retirement	n50063063	100	National Council on the Aging. Committee on Employment and Retirement		n50063063		National Council on the Aging. Committee on Employment and Retirement	n50063063	1	Organization		http://example.org/1000341#Agent710-23	
Taylor, Marjorie A.	n86827830	100	Taylor, Marjorie A	n86827830	n86827830	0.9473684211	Taylor, Marjorie A			Person		http://example.org/103166#Agent100-11	
Calder, Nigel, 1931-2014	n79066131	100	Calder, Nigel, 1931-2014	n79066131	n79066131	1	Calder, Nigel, 1931-2014			Person		http://example.org/105585#Agent100-10	
Solorzano Olvera, Salvador			Solorzano Olvera, Salvador				Solorzano Olvera, Salvador			Person		http://example.org/1047254#Agent100-11	
Cosenza, Paolo	n84131231	100	Cosenza, Paolo	n84131231	n84131231	1	Cosenza, Paolo			Person		http://example.org/1038542#Agent100-10	
Aristotle	n79004182	100	Aristotle	n79004182	n79004182	1	Aristotle			Person		http://example.org/1038542#Agent600-19	
Naples (Italy) Università. Istituto di storia della filosofia			Naples (Italy) Università. Istituto di storia della filosofia				Naples (Italy) Università. Istituto di storia della filosofia			Jurisdiction		http://example.org/1038542#Agent810-21	
Dickinson, William R.	n50027325	100	Dickinson, William R	n50027325	n50027325	0.9523809524	Dickinson, William R			Person		http://example.org/1069543#Agent700-24	
Society of Economic Paleontologists and Mineralogists	n79055482	100	Society of Economic Paleontologists and Mineralogists		n79055482		Society of Economic Paleontologists and Mineralogists	n79055482	0.9814814815	Organization		http://example.org/1069543#Agent710-25	
Goltz, Herbert Charles Walter, 1942-			Goltz, Herbert Charles Walter, 1942-				Goltz, Herbert Charles Walter, 1942-			Person		http://example.org/1037046#Agent100-11	
Tecumseh, Shawnee Chief, 1768-1813	n80020620	100	Tecumseh, Shawnee Chief, 1768-1813	n80020620	n80020620	1	Tecumseh, Shawnee Chief, 1768-1813			Person		http://example.org/1037046#Agent600-21	
Northwest Indian Confederation			Northwest Indian Confederation				Northwest Indian Confederation			Organization		http://example.org/1037046#Agent610-22	
Ficowski, Jerzy	n84003601	100	Ficowski, Jerzy	n84003601	n84003601	1	Ficowski, Jerzy			Person		http://example.org/1066561#Agent100-9	
Witwicki, Zdzisław	n85291161	100	Witwicki, Zdzisław	n85291161	n85291161	1	Witwicki, Zdzisław			Person		http://example.org/1066561#Agent700-18	
Eberlin, Johann Ernst, 1702-1762	n85000655	100	Eberlin, Johann Ernst, 1702-1762	n85000655	n85000655	1	Eberlin, Johann Ernst, 1702-1762			Person		http://example.org/1071703#Agent100-12	
Pauly, Reinhard G.	n86128753	100	Pauly, Reinhard G	n86128753	n86128753	0.9444444444	Pauly, Reinhard G			Person		http://example.org/1071703#Agent700-24	
Gounod, Charles, 1818-1893	n79107989	100	Gounod, Charles, 1818-1893				Gounod, Charles, 1818-1893			Person		http://example.org/1002698#Agent100-17	
Houbart, François-Henri	n84156777	98	Houbart, François-Henri	n84156777	n84156777	0.9166666667	Houbart, François-Henri			Person		http://example.org/1002698#Agent700-37	
Brandeis, Philippe	n86145389	100	Brandeis, Philippe	n86145389	n86145389	1	Brandeis, Philippe			Person		http://example.org/1002698#Agent700-38	
Havard de La Montagne, Joachim	n80095902	100	Havard de La Montagne, Joachim	n80095902	n80095902	1	Havard de La Montagne, Joachim			Person		http://example.org/1002698#Agent700-39	
Gounod, Charles, 1818-1893	n79107989	100	Gounod, Charles, 1818-1893				Gounod, Charles, 1818-1893			Person		http://example.org/1002698#Agent700-40	
Chœurs de la Madeleine (Paris, France)	n86145390	100	Chœurs de la Madeleine (Paris, France)		n86145390		Chœurs de la Madeleine (Paris, France)	n86145390	1	Organization		http://example.org/1002698#Agent710-41	
Hegvik, Ted	n82140335	100	Hegvik, Ted	n82140335	n82140335	1	Hegvik, Ted			Person		http://example.org/1000474#Agent100-18	
Malenke, Ferde	n82140334	100	Malenke, Ferde	n82140334	n82140334	1	Malenke, Ferde			Person		http://example.org/1000474#Agent700-35	
Ahramjian, Sylvia	n85219049	100	Ahramjian, Sylvia	n85219049	n85219049	1	Ahramjian, Sylvia			Person		http://example.org/1000474#Agent700-36	
Goebel, Joe	n85219048	100	Goebel, Joe	n85219048	n85219048	1	Goebel, Joe			Person		http://example.org/1000474#Agent700-37	
Prokofiev, Sergey, 1891-1953	n80020330	100	Prokofiev, Sergey, 1891-1953	n80020330	n80020330	1	Prokofiev, Sergey, 1891-1953			Person		http://example.org/1000474#Agent700-38	
Khachaturi͡an, Aram, 1903-1978	n81059831	100	Khachaturi͡an, Aram, 1903-1978	n81059831	n81059831	0.935483871	Khachaturi͡an, Aram, 1903-1978			Person		http://example.org/1000474#Agent700-39	
Tomasi, Henri, 1901-1971	n81100650	100	Tomasi, Henri, 1901-1971	n81100650	n81100650	1	Tomasi, Henri, 1901-1971			Person		http://example.org/1000474#Agent700-40	
Hindemith, Paul, 1895-1963	n79077225	100	Hindemith, Paul, 1895-1963	n79077225	n79077225	0.962962963	Hindemith, Paul, 1895-1963			Person		http://example.org/1000474#Agent700-41	
West Chester String Quartet	n85219050	100	West Chester String Quartet				West Chester String Quartet			Organization		http://example.org/1000474#Agent710-42	
Peiper, Tadeusz, 1891-1969	n80162688	100	Peiper, Tadeusz, 1891-1969	n80162688	n80162688	1	Peiper, Tadeusz, 1891-1969			Person		http://example.org/1097738#Agent100-10	
Valentine, Kim, 1928-			Valentine, Kim, 1928-				Valentine, Kim, 1928-			Person		http://example.org/1065448#Agent100-11	
Lembeck, Ruth	no2003100067	100	Lembeck, Ruth	no2003100067	no2003100067	1	Lembeck, Ruth			Person		http://example.org/1000299#Agent100-13	
